ID	Species	AST-based group	WGS - AMR markers
S1	Enterobacter hormaechei	3GC-resistant	AcrA, AcrB, AcrD, ACT-17, APH(3'')-Ib, APH(6)-Id, argR, BacA, BaeR, CpxA, CRP, csgG, CusA, cusS, cycA, DfrA14, EmrB, EmrR, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, folC, galF, GlpT, gnd, H-NS, iroB, iroC, IroN, iucD, iutA, KPC-3, MarA, MdtB, MdtC, MdtK, MerR, MsbA, ompR, OqxA6, OqxB24, OqxR, parC, parE, PatA, porin, QnrS7, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SilA, SilB, SilC, sotB, sugE, Sul2, TEM-1, tesA, ugd, UhpT, Vga(C), vipB-tssC, YojI
S2	Enterobacter hormaechei	CP CRE	AAC(3)-II, AAC(6')-Ib7, AAC(6')-IIc, aadA2, AcrA, AcrB, AcrD, ACT-17, APH(3'')-Ib, APH(6)-Id, argR, Arr, BacA, BaeR, CatII, CpxA, CRP, csgG, cycA, EmrB, EmrR, EreA2, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, galF, GlpT, gnd, gtrB, H-NS, iroB, iroC, IroN, iucD, iutA, KPC-3, MarA, MCR-9, MdtB, MdtC, MdtK, MerR, MsbA, ompR, OqxA6, OqxB, OqxR, parC, parE, PatA, porin, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SHV-12, SilA, SilB, SilC, sotB, sugE, Sul1, Sul2, TEM-1, tesA, ugd, UhpT, vipB-tssC, YojI
S3	Enterobacter hormaechei	CP CRE	AAC(3)-II, AAC(6')-Ib-cr, AAC(6')-IIc, aadA2, AcrA, AcrB, AcrD, ACT-17, APH(3'')-Ib, APH(3')-Ia, APH(6)-Id, argR, Arr, Arr-3, BacA, BaeR, CatB3, CpxA, CRP, csgG, cycA, DfrA19, EmrB, EmrR, EreA2, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, FosA, galF, GlpT, gnd, H-NS, iroB, iroC, IroN, iucD, iutA, KPC-2, MarA, MCR-9, MdtB, MdtC, MdtK, Mph(A), Mrx, MsbA, ompR, OqxA6, OqxB, OqxR, OXA-1, parC, parE, PatA, porin, qacEdelta1, QnrB20, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SilA, SilB, SilC, sotB, srpC, sugE, Sul1, Sul2, tesA, ugd, UhpT, Vga(C), YojI
S4	Enterobacter hormaechei	CP CRE	AAC(3)-IIc, AAC(6')-Ib7, AcrA, AcrB, AcrD, ACT-56, APH(3'')-Ib, APH(6)-Id, argR, BacA, BaeR, BRP(MBL), CatA10, CatII, CpxA, CRP, csgG, CusA, cusS, cycA, DfrA14, EmrB, EmrR, entA, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, FloR, folC, FosA, galF, GlpT, gnd, H-NS, hcp-tssD, iroB, iroC, IroN, iucD, iutA, KPC-3, MarA, MdtB, MdtC, MdtK, MerR, MsbA, NDM-7, ompR, parC, parE, PatA, porin, QacE, QnrB10, QnrS7, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SHV-12, SilA, SilB, SilC, sotB, sugE, Sul2, TEM-1, tesA, TmrB, ugd, UhpT, Vga(C), vipB-tssC, YojI
S5	Enterobacter hormaechei	CP CRE	aadA2, AcrA, AcrB, AcrD, ACT-17, APH(3')-Ia, argR, BacA, BaeR, CatII, clpV-tssH, CpxA, CRP, csgG, cycA, DfrA14, EmrB, EmrR, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, folC, FosA, galF, GlpT, gnd, H-NS, hcp-tssD, iroB, iroC, IroN, iucD, iutA, KPC-3, MarA, MdtB, MdtC, MdtK, MsbA, ompR, OqxA6, OqxB, OqxR, parC, parE, PatA, porin, QnrS7, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SHV-12, SilA, SilB, SilC, sotB, sugE, Sul1, Sul2, TEM-1, tesA, ugd, UhpT, vipB-tssC, YojI
S6	Enterobacter hormaechei	CP CRE	AcrA, AcrB, AcrD, ACT-16, APH(3')-Ia, argR, BacA, BaeR, CpxA, CRP, csgG, cycA, EmrB, EmrR, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, folC, FosA2, galF, GlpT, gnd, H-NS, iucD, iutA, KPC-3, MarA, MdtB, MdtC, MdtK, MsbA, ompR, OqxA, OqxB9, OqxR, parC, parE, PatA, porin, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SHV-12, SilA, SilB, SilC, sotB, sugE, TEM-1, tesA, ugd, UhpT, Vga(C), vipA-tssB, YojI
S7	Enterobacter hormaechei	CP CRE	AcrA, AcrB, AcrD, ACT-17, ANT(2'')-Ia, ANT(3'')-IIa, argR, BacA, BaeR, CpxA, CRP, csgG, cusS, cycA, EmrB, EmrR, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, FosA, galF, GlpT, gnd, H-NS, hcp-tssD, iroB, iroC, IroN, iucD, iutA, KPC-3, MarA, MdtB, MdtC, MdtK, MsbA, ompR, OqxA6, OqxB, OqxR, parC, parE, PatA, porin, QnrS7, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SHV-7, SilA, SilB, SilC, sotB, sugE, Sul1, TEM-1, tesA, ugd, UhpT, Vga(C), vipB-tssC, YojI
S8	Enterobacter hormaechei	CP CRE	AcrA, AcrB, AcrD, ACT-17, ANT(3'')-IIa, argR, BacA, BaeR, CpxA, CRP, csgG, cycA, EmrB, EmrR, flhA, fliA, fliG, fliI, fliJ, fliP, fliQ, fliY, FloR, FosA, galF, GlpT, gnd, gyrA, H-NS, iroB, iroC, IroN, iucD, iutA, KPC-3, MarA, MdtB, MdtC, MdtK, MerR, MsbA, ompR, OqxA6, OqxB, OqxR, parC, parE, PatA, porin, PtsI, RamA, rcsB, RobA, RomA, RosB, rpoS, Rpsl, setB, SilA, SilB, SilC, sotB, sugE, Sul1, TEM-1, tesA, Tet(G), ugd, UhpT, virB, YojI
S9	Escherichia coli	3GC-resistant	aadA5, AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampH, ampR, APH(3'')-Ib, APH(6)-Id, argR, aslA, BacA, BaeR, BaeS, cheY, chuS, chuT, chuU, chuV, chuW, chuX, chuY, CpxA, CRP, csgE, csgG, CTX-M-27, cusF, cusR, Dfr, eae, EC-145, EmrA, EmrB, EmrD, EmrE, EmrK, EmrR, EmrY, entB, entC, entE, entF, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, fyuA, GadW, GadX, GlpT, gnd, gspL, gspM, gyrA, H-NS, irp1, irp2, IucA, iucB, iucC, iucD, iutA, KdpE, KPC-3, kpsC, kpsD, kpsE, kpsF, kpsM, kpsS, kpsU, MacA, MacB, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(A), Mrx, MsbA, MsrB, OmpA, ompR, papB, papI, parC, parE, PatA, PhoQ, PmrC, PmrE, PmrF, PmrL, PtsI, rcsB, rnfC, RosB, rpoS, Rpsl, sfaH, shuA, SoxR, srpC, Sul1, Sul2, Tet(A), TolC, UhpT, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, ybtA, ybtE, YbtQ, ybtS, ybtT, yheI, ykgK-ecpR, YojI
S10	Escherichia coli	CP CRE	AAC(3)-IIa, AAC(6')-Ib-cr, aadA5, AcrA, AcrB, AcrD, AcrE, AcrF, AcrS, allB, ampC1, ampH, APH(3'')-Ib, APH(6)-Id, argR, BacA, BaeR, BaeS, BRP(MBL), cheY, clpV-tssH, CMY-59, CpxA, CRP, csgE, csgG, cusF, cusR, cycA, Dfr, EC-148, EmrA, EmrB, EmrD, EmrK, EmrR, EmrY, entB, entC, entD, entE, entF, espL1, espR1, EspX1, espX5, EvgA, EvgS, fdeC, fepA, fepB, fepC, fepD, fepG, fes, fha, fimA, fimB, fimC, fimD, fimE, fimF, fimG, fimH, fimI, flhA, fliA, fliG, fliI, fliQ, fliY, fliZ, GadW, GadX, GlpT, gnd, gspA, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gyrA, H-NS, hcp1-tssD1, hcp2-tssD2, KdpE, LpfA, MacA, manB, manC, MarA, MarR, MdfA, mdlB, MdtA, MdtB, MdtC, MdtE, MdtF, MdtG, MdtH, MdtM, MdtN, MdtO, MdtP, Mph(A), Mph(B), Mrx, MsbA, MsrB, NDM-5, OmpA, ompR, parC, parE, PatA, PhoQ, PmrC, PmrF, PmrL, rcsB, rnfC, RosB, rpoS, Rpsl, sfaH, SoxR, sugE, Sul1, Sul2, TEM-1, Tet(B), tetC, TmrB, TolC, tssA, tssB, tssC, tssF, tssG, tssJ, tssL, tssM, Vga(C), vgrG-tssI, yagW-ecpD, yagX-ecpC, yagY-ecpB, yagZ-ecpA, yheI, ykgK-ecpR, YojI
