"samples","enterobacter","klebsciella","escherichia","enterobacter.rel","escherichia.rel","klebsciella.rel","enterobacter.relTot","escherichia.relTot","klebsciella.relTot"
"CAMDA23_MetaSUB_gCSD16_AKL_10",361,288,130,0.463414634146341,0.166880616174583,0.369704749679076,0.000103481507768566,3.72648088917274e-05,8.25558843139807e-05
"CAMDA23_MetaSUB_gCSD16_AKL_11",940,471,142,0.605280103026401,0.0914359304571797,0.30328396651642,0.00047617552032307,7.19328977509318e-05,0.000238594329864006
"CAMDA23_MetaSUB_gCSD16_AKL_12",624,534,167,0.470943396226415,0.126037735849057,0.403018867924528,0.000425352364216142,0.000113836289782205,0.000364003465531121
"CAMDA23_MetaSUB_gCSD16_AKL_13",325,556,70,0.341745531019979,0.0736067297581493,0.584647739221872,9.33247531991007e-05,2.01007160736525e-05,0.000159657116242154
"CAMDA23_MetaSUB_gCSD16_AKL_14",10419,3781,1206,0.676294950019473,0.0782811891470856,0.245423860833442,0.0038733205945114,0.000448337137631323,0.00140560756001993
"CAMDA23_MetaSUB_gCSD16_AKL_1",365,116,46,0.692599620493359,0.0872865275142315,0.22011385199241,0.000122766325566878,1.5471920482401e-05,3.90161473034461e-05
"CAMDA23_MetaSUB_gCSD16_AKL_2",175,311,129,0.284552845528455,0.209756097560976,0.505691056910569,6.48625248052827e-05,4.78129468564655e-05,0.00011526997265396
"CAMDA23_MetaSUB_gCSD16_AKL_3",16475,10242,2689,0.560259810922941,0.0914439230089097,0.348296266068149,0.00381534074987714,0.000622728453803924,0.00237187981549267
"CAMDA23_MetaSUB_gCSD16_AKL_4",27881,2941,794,0.881863613360324,0.0251138663967611,0.093022520242915,0.00887326328332065,0.00025269434550255,0.000935987493857682
"CAMDA23_MetaSUB_gCSD16_AKL_5",4144,8949,1807,0.278120805369128,0.121275167785235,0.600604026845638,0.000795748124211981,0.000346987659375253,0.00171842421900893
"CAMDA23_MetaSUB_gCSD16_AKL_6",1513,1617,390,0.429829545454545,0.110795454545455,0.459375,0.000460196220611924,0.000118622951777033,0.000491829007752466
"CAMDA23_MetaSUB_gCSD16_AKL_7",5112,10020,1888,0.300352526439483,0.110928319623972,0.588719153936545,0.00151814332734134,0.000560691432320119,0.00297570347025826
"CAMDA23_MetaSUB_gCSD16_AKL_8",5839,10986,2162,0.307526202138305,0.113867382946226,0.578606414915468,0.00147566914987153,0.000546394365819873,0.00277645166646491
"CAMDA23_MetaSUB_gCSD16_AKL_9",27083,30922,6226,0.421649982095873,0.0969313882704613,0.481418629633666,0.00669534534686724,0.00153916553297624,0.00764440677974482
"CAMDA23_MetaSUB_gCSD16_BER_10",19173,23066,7231,0.387568223165555,0.146169395593289,0.466262381241156,0.000885718724504058,0.000334044338230263,0.0010655603243838
"CAMDA23_MetaSUB_gCSD16_BER_11",6167,8372,2328,0.365625185273018,0.138020987727515,0.496353826999466,0.000971985784136568,0.000366917935052689,0.00131951759117745
"CAMDA23_MetaSUB_gCSD16_BER_12",8560,11262,2964,0.375669270604757,0.130079873606601,0.494250855788642,0.000447124241566811,0.000154821992056545,0.000588260888846428
"CAMDA23_MetaSUB_gCSD16_BER_13",11352,15155,3880,0.37358080758219,0.127686181590812,0.498733010826998,0.0012514728397762,0.000427740893087707,0.00167072506050108
"CAMDA23_MetaSUB_gCSD16_BER_14",13117,12275,2509,0.470126518762768,0.0899250922905989,0.439948388946633,0.000405121198938846,7.74909726414245e-05,0.000379115858578512
"CAMDA23_MetaSUB_gCSD16_BER_15",377669,25553,8148,0.918076184456815,0.0198069864112599,0.062116829131925,0.0111890524695869,0.000241397624698331,0.000757048785458572
"CAMDA23_MetaSUB_gCSD16_BER_1",570,672,143,0.411552346570397,0.103249097472924,0.485198555956679,0.000441220865876598,0.00011069225231641,0.000520176178717673
"CAMDA23_MetaSUB_gCSD16_BER_2",842,1497,305,0.318456883509834,0.11535552193646,0.566187594553706,0.000458000236071381,0.000165902698339396,0.000814283080046148
"CAMDA23_MetaSUB_gCSD16_BER_3",472,754,99,0.35622641509434,0.0747169811320755,0.569056603773585,0.000556245624868893,0.000116670162843264,0.00088857881599819
"CAMDA23_MetaSUB_gCSD16_BER_4",751,278,193,0.614566284779051,0.157937806873977,0.227495908346972,0.000450638845068445,0.000115809982820519,0.000166814379399504
"CAMDA23_MetaSUB_gCSD16_BER_5",8633,2952,139,0.736352780620948,0.011856021835551,0.2517911975435,0.00566167414517443,9.11586593512389e-05,0.00193597383025077
"CAMDA23_MetaSUB_gCSD16_BER_6",532,1105,139,0.29954954954955,0.0782657657657658,0.622184684684685,0.000494667907675628,0.00012924593828367,0.00102745871801047
"CAMDA23_MetaSUB_gCSD16_BER_7",618,653,222,0.413931681178835,0.148693904889484,0.437374413931681,0.000417375518426994,0.000149931011473775,0.000441013290506193
"CAMDA23_MetaSUB_gCSD16_BER_8",9579,8494,2495,0.465723453908985,0.121304939712174,0.412971606378841,0.000279932389562669,7.29127583212087e-05,0.000248224837346832
"CAMDA23_MetaSUB_gCSD16_BER_9",27539,26948,5020,0.462785890735544,0.0843598232140757,0.452854286050381,0.000696562667230749,0.000126974276099291,0.00068161410205651
"CAMDA23_MetaSUB_gCSD16_BOG_10",20803,32949,10795,0.322292283142516,0.167242474475963,0.51046524238152,0.00102787455671273,0.000533380081705231,0.00162800743975041
"CAMDA23_MetaSUB_gCSD16_BOG_11",8784,12226,3370,0.360295324036095,0.138228055783429,0.501476620180476,0.000473985051987807,0.000181845358059985,0.000659715533424742
"CAMDA23_MetaSUB_gCSD16_BOG_12",11842,13945,3810,0.400108119066122,0.12872926310099,0.471162617832888,0.000565547137723527,0.000181956983172322,0.000665981661506045
"CAMDA23_MetaSUB_gCSD16_BOG_13",17332,20796,5690,0.395545209731161,0.129855310602949,0.474599479665891,0.000879365931094891,0.000288690984764016,0.00105511734958743
"CAMDA23_MetaSUB_gCSD16_BOG_14",15538,18843,5202,0.392542252987394,0.131420054063613,0.476037692948993,0.000863735136937707,0.000289171719806278,0.0010474553472337
