"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"28090","Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA,NA
"40324","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",NA,NA
"316","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA,NA
"83655","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",NA,NA
"584","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae",NA,NA
"549","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA,NA
"122277","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae",NA,NA
"635","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae",NA,NA
"2014542","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Alcanivoracaceae",NA,NA
"642","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",NA,NA
"2904242","Bacteria","Pseudomonadota","Gammaproteobacteria","Cellvibrionales","Microbulbiferaceae",NA,NA
"2182432","Bacteria","Pseudomonadota","Gammaproteobacteria","Chromatiales","Ectothiorhodospiraceae",NA,NA
"1675686","Bacteria","Pseudomonadota","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae",NA,NA
"412034","Bacteria","Pseudomonadota","Gammaproteobacteria","","Celerinatantimonadaceae",NA,NA
"185951","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA
"1892855","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingosinicellaceae",NA,NA
"2861285","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA
"379","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae",NA,NA
"2984843","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae",NA,NA
"1349819","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Aurantimonadaceae",NA,NA
"1437009","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylocystaceae",NA,NA
"121719","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae",NA,NA
"2528642","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Lichenihabitantaceae",NA,NA
"1702325","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Chelatococcaceae",NA,NA
"2233851","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Blastochloridaceae",NA,NA
"171437","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Geminicoccaceae",NA,NA
"2861282","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA
"34073","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"391953","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae",NA,NA
"85643","Bacteria","Pseudomonadota","Betaproteobacteria","Rhodocyclales","Zoogloeaceae",NA,NA
"189426","Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae",NA,NA
"1397","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA,NA
"51665","Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae",NA,NA
"1491","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae",NA,NA
"100886","Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae",NA,NA
"2973977","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Cellulomonadaceae",NA,NA
"1274","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermacoccaceae",NA,NA
"2917725","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Bogoriellaceae",NA,NA
"60920","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Sanguibacteraceae",NA,NA
"1883","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae",NA,NA
"57704","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Tsukamurellaceae",NA,NA
"1747","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae",NA,NA
"304895","Bacteria","Actinomycetota","Actinomycetes","Catenulisporales","Catenulisporaceae",NA,NA
"1891644","Bacteria","Actinomycetota","Actinomycetes","Sporichthyales","Sporichthyaceae",NA,NA
"419479","Bacteria","Actinomycetota","Actinomycetes","Jiangellales","Jiangellaceae",NA,NA
"2853227","Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Calotrichaceae",NA,NA
"82654","Bacteria","Cyanobacteriota","Cyanophyceae","Pseudanabaenales","Pseudanabaenaceae",NA,NA
"2710758","Bacteria","Chloroflexota","Candidatus Thermofonsia","Phototrophicales","Phototrophicaceae",NA,NA
"191579","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Crocinitomicaceae",NA,NA
"999","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Bernardetiaceae",NA,NA
"185300","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae",NA,NA
"833","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA,NA
"2528010","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae",NA,NA
"927083","Bacteria","Myxococcota","Myxococcia","Polyangiales","Sandaracinaceae",NA,NA
"2995304","Bacteria","Myxococcota","Myxococcia","Nannocystales","Nannocystaceae",NA,NA
"184914","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae",NA,NA
"218208","Bacteria","Thermodesulfobacteriota","Desulfobacteria","Desulfobacterales","Desulfatibacillaceae",NA,NA
"894","Bacteria","Thermodesulfobacteriota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae",NA,NA
"2798577","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Breznakiellaceae",NA,NA
"299308","Archaea","Euryarchaeota","Methanomicrobia","Methanomicrobiales","Methanomicrobiaceae",NA,NA
"2725666","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae",NA,NA
