"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1094892","Viruses","Nucleocytoviricota","Megaviricetes","Imitervirales",NA,NA,NA
"369960","Viruses","Artverviricota","Revtraviricetes","Ortervirales",NA,NA,NA
"119164","Viruses","Pisuviricota","Pisoniviricetes","Sobelivirales",NA,NA,NA
"12742","Viruses","Pisuviricota","Pisoniviricetes","Picornavirales",NA,NA,NA
"337051","Viruses","Cossaviricota","Papovaviricetes","Zurhausenvirales",NA,NA,NA
"1891726","Viruses","Cossaviricota","Papovaviricetes","Sepolyvirales",NA,NA,NA
"2023057","Viruses","Nucleocytoviricota","Megaviricetes","Algavirales",NA,NA,NA
"2169700","Viruses","Preplasmiviricota","Tectiliviricetes","Kalamavirales",NA,NA,NA
"2955582","Viruses","Uroviricota","Caudoviricetes","Crassvirales",NA,NA,NA
"2011088","Viruses","Hofneiviricota","Faserviricetes","Tubulavirales",NA,NA,NA
"2704413","Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales",NA,NA,NA
"103722","Viruses","Kitrinoviricota","Alsuviricetes","Tymovirales",NA,NA,NA
"2844585","Viruses","Cressdnaviricota","Repensiviricetes","Geplafuvirales",NA,NA,NA
"56947","Viruses","","Naldaviricetes","Lefavirales",NA,NA,NA
"1307800","Viruses","Kitrinoviricota","Flasuviricetes","Amarillovirales",NA,NA,NA
"2170145","Viruses","Cressdnaviricota","Arfiviricetes","Baphyvirales",NA,NA,NA
"1513278","Viruses","Kitrinoviricota","Alsuviricetes","Martellivirales",NA,NA,NA
"74501","Viruses","Pisuviricota","Pisoniviricetes","Nidovirales",NA,NA,NA
"1678905","Viruses","Duplornaviricota","Chrymotiviricetes","Ghabrivirales",NA,NA,NA
"2846071","Viruses","Kitrinoviricota","Alsuviricetes","Hepelivirales",NA,NA,NA
"2747343","Viruses","Saleviricota","Huolimaviricetes","Haloruvirales",NA,NA,NA
"10376","Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA,NA
"10279","Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales",NA,NA,NA
"2956429","Viruses","Uroviricota","Caudoviricetes","Kirjokansivirales",NA,NA,NA
"2845700","Viruses","Negarnaviricota","Monjiviricetes","Jingchuvirales",NA,NA,NA
"1983561","Viruses","Kitrinoviricota","Magsaviricetes","Nodamuvirales",NA,NA,NA
"2844158","Viruses","Negarnaviricota","Monjiviricetes","Mononegavirales",NA,NA,NA
"10497","Viruses","Nucleocytoviricota","Pokkesviricetes","Asfuvirales",NA,NA,NA
"2843841","Viruses","Taleaviricota","Tokiviricetes","Primavirales",NA,NA,NA
"40058","Viruses","Duplornaviricota","Resentoviricetes","Reovirales",NA,NA,NA
"2560707","Viruses","Negarnaviricota","Ellioviricetes","Bunyavirales",NA,NA,NA
"1080799","Viruses","Pisuviricota","Stelpaviricetes","Patatavirales",NA,NA,NA
"346882","Viruses","Taleaviricota","Tokiviricetes","Ligamenvirales",NA,NA,NA
"2050587","Viruses","Cressdnaviricota","Arfiviricetes","Cirlivirales",NA,NA,NA
"2955317","Viruses","Dividoviricota","Laserviricetes","Halopanivirales",NA,NA,NA
"1557034","Viruses","Preplasmiviricota","Maveriviricetes","Priklausovirales",NA,NA,NA
"1137801","Viruses","Cressdnaviricota","Arfiviricetes","Mulpavirales",NA,NA,NA
"2843389","Viruses","Uroviricota","Caudoviricetes","Thumleimavirales",NA,NA,NA
"130309","Viruses","Preplasmiviricota","Tectiliviricetes","Rowavirales",NA,NA,NA
"2170046","Viruses","Negarnaviricota","Milneviricetes","Serpentovirales",NA,NA,NA
"675060","Viruses","Pisuviricota","Duplopiviricetes","Durnavirales",NA,NA,NA
"1655646","Viruses","Phixviricota","Malgrandaviricetes","Petitvirales",NA,NA,NA
"10660","Viruses","Preplasmiviricota","Tectiliviricetes","Vinavirales",NA,NA,NA
"2956583","Viruses","Lenarviricota","Howeltoviricetes","Cryppavirales",NA,NA,NA
"2746926","Viruses","Cossaviricota","Quintoviricetes","Piccovirales",NA,NA,NA
"2169857","Viruses","Duplornaviricota","Vidaverviricetes","Mindivirales",NA,NA,NA
"2956349","Viruses","Negarnaviricota","Insthoviricetes","Articulavirales",NA,NA,NA
"2025397","Viruses","Pisuviricota","Stelpaviricetes","Stellavirales",NA,NA,NA
