"OTU","Level","abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"9606","Class",1019691547,"Eukaryota","Chordata","Mammalia",NA,NA,NA
"316","Class",618757355,"Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA
"1747","Class",288119720,"Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA
"288000","Class",157476883,"Bacteria","Pseudomonadota","Alphaproteobacteria",NA,NA,NA
"1280","Class",148311860,"Bacteria","Bacillota","Bacilli",NA,NA,NA
"2861282","Class",79121602,"Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA
"29370","Class",32193955,"Bacteria","Bacillota","Clostridia",NA,NA,NA
"343874","Class",16075272,"Bacteria","Bacteroidota","Flavobacteriia",NA,NA,NA
"2596915","Class",9917037,"Bacteria","Bacteroidota","Cytophagia",NA,NA,NA
"980427","Class",6895120,"Bacteria","Deinococcota","Deinococci",NA,NA,NA
"2482728","Class",4529569,"Bacteria","Bacteroidota","Sphingobacteriia",NA,NA,NA
"165179","Class",4407862,"Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA
"119532","Class",4242228,"Bacteria","Cyanobacteriota","Cyanophyceae",NA,NA,NA
"83451","Class",3226071,"Bacteria","Myxococcota","Myxococcia",NA,NA,NA
"29466","Class",2017058,"Bacteria","Bacillota","Negativicutes",NA,NA,NA
"179637","Class",1924497,"Archaea","Euryarchaeota","Halobacteria",NA,NA,NA
"1260","Class",1826196,"Bacteria","Bacillota","Tissierellia",NA,NA,NA
"2528023","Class",1767873,"Bacteria","Planctomycetota","Planctomycetia",NA,NA,NA
"851","Class",1568927,"Bacteria","Fusobacteriota","Fusobacteriia",NA,NA,NA
"49319","Class",1335044,"Bacteria","Actinomycetota","Rubrobacteria",NA,NA,NA
"2722752","Class",1194553,"Bacteria","Actinomycetota","Acidimicrobiia",NA,NA,NA
"2884022","Class",1193234,"Bacteria","Actinomycetota","Thermoleophilia",NA,NA,NA
"28198","Class",1043271,"Bacteria","Campylobacterota","Epsilonproteobacteria",NA,NA,NA
"1982251","Class",878259,"Viruses","Uroviricota","Caudoviricetes",NA,NA,NA
"2502779","Class",850434,"Bacteria","Bacteroidota","Chitinophagia",NA,NA,NA
"74426","Class",602559,"Bacteria","Actinomycetota","Coriobacteriia",NA,NA,NA
"861299","Class",440779,"Bacteria","Gemmatimonadota","Gemmatimonadetes",NA,NA,NA
"158","Class",433807,"Bacteria","Spirochaetota","Spirochaetia",NA,NA,NA
"2102","Class",401428,"Bacteria","Mycoplasmatota","Mollicutes",NA,NA,NA
"876","Class",359741,"Bacteria","Thermodesulfobacteriota","Desulfovibrionia",NA,NA,NA
"2802971","Class",340954,"Bacteria","Acidobacteriota","Vicinamibacteria",NA,NA,NA
"2802975","Class",330418,"Bacteria","Thermodesulfobacteriota","Desulfuromonadia",NA,NA,NA
"100886","Class",327534,"Bacteria","Bacillota","Erysipelotrichia",NA,NA,NA
"1473598","Class",300751,"Bacteria","Acidobacteriota","Terriglobia",NA,NA,NA
"239935","Class",210596,"Bacteria","Verrucomicrobiota","Verrucomicrobiae",NA,NA,NA
"1882749","Class",195268,"Bacteria","Verrucomicrobiota","Opitutae",NA,NA,NA
"1608957","Class",167682,"Bacteria","Actinomycetota","Nitriliruptoria",NA,NA,NA
"2208","Class",162818,"Archaea","Euryarchaeota","Methanomicrobia",NA,NA,NA
"2807512","Class",140590,"Bacteria","Planctomycetota","Phycisphaerae",NA,NA,NA
"184117","Class",114467,"Archaea","Thermoproteota","Thermoprotei",NA,NA,NA
"83564","Class",110833,"Bacteria","Thermodesulfobacteriota","Desulfobacteria",NA,NA,NA
"2984951","Class",104837,"Bacteria","Thermotogota","Thermotogae",NA,NA,NA
"2899133","Class",96432,"Bacteria","Candidatus Saccharibacteria","Candidatus Saccharimonadia",NA,NA,NA
"2173","Class",85657,"Archaea","Euryarchaeota","Methanobacteria",NA,NA,NA
"651822","Class",68106,"Bacteria","Synergistota","Synergistia",NA,NA,NA
"959","Class",63257,"Bacteria","Bdellovibrionota","Bdellovibrionia",NA,NA,NA
"2292766","Class",60008,"Bacteria","","Deltaproteobacteria",NA,NA,NA
"894","Class",59112,"Bacteria","Thermodesulfobacteriota","Desulfobulbia",NA,NA,NA
"2057","Class",58458,"Bacteria","Thermomicrobiota","Thermomicrobia",NA,NA,NA
"225148","Class",57628,"Bacteria","Chlamydiota","Chlamydiia",NA,NA,NA
"274537","Class",55407,"Bacteria","Chlorobiota","Chlorobiia",NA,NA,NA
"33059","Class",55272,"Bacteria","Pseudomonadota","Acidithiobacillia",NA,NA,NA
"1353260","Class",55255,"Archaea","Nitrososphaerota","Nitrososphaeria",NA,NA,NA
"3004094","Class",51002,"Bacteria","Chloroflexota","Tepidiformia",NA,NA,NA
"2263","Class",50657,"Archaea","Euryarchaeota","Thermococci",NA,NA,NA
"42253","Class",49702,"Bacteria","Nitrospirota","Nitrospiria",NA,NA,NA
"120962","Class",49204,"Bacteria","Chloroflexota","Chloroflexia",NA,NA,NA
"39152","Class",46165,"Archaea","Euryarchaeota","Methanococci",NA,NA,NA
"1806508","Class",38435,"Bacteria","Chloroflexota","Ardenticatenia",NA,NA,NA
"56947","Class",36857,"Viruses","","Naldaviricetes",NA,NA,NA
"985782","Class",33869,"Viruses","Nucleocytoviricota","Megaviricetes",NA,NA,NA
"458032","Class",33005,"Bacteria","Acidobacteriota","Blastocatellia",NA,NA,NA
"2350","Class",31230,"Bacteria","Bacteroidota","Saprospiria",NA,NA,NA
"2818388","Class",28993,"Bacteria","Acidobacteriota","Holophagae",NA,NA,NA
"197162","Class",27891,"Bacteria","Deferribacterota","Deferribacteres",NA,NA,NA
"309806","Class",24080,"Bacteria","Aquificota","Aquificae",NA,NA,NA
"960","Class",23991,"Bacteria","Bdellovibrionota","Bacteriovoracia",NA,NA,NA
"1555112","Class",20875,"Bacteria","Bacillota","Limnochordia",NA,NA,NA
"10376","Class",20828,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"10279","Class",20694,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"453230","Class",20102,"Bacteria","Thermodesulfobacteriota","Desulfarculia",NA,NA,NA
