"OTU","Level","abundance","Kingdom","Phylum","Class","Order","Family","Genus"
"316","Phylum",855575815,"Bacteria","Pseudomonadota",NA,NA,NA,NA
"316","Class",618757355,"Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA
"316","Genus",227223542,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
"1280","Phylum",184708059,"Bacteria","Bacillota",NA,NA,NA,NA
"1280","Class",148311860,"Bacteria","Bacillota","Bacilli",NA,NA,NA
"543","Order",146397481,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA
"469","Order",132192372,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
"469","Family",132192372,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
"1280","Order",126935116,"Bacteria","Bacillota","Bacilli","Bacillales",NA,NA
"1747","Order",100087449,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales",NA,NA
"1747","Family",79516422,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae",NA
"1747","Genus",72833080,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
"288000","Order",64434208,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA
"2936682","Genus",41773446,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Lysinibacillus"
"1270","Family",39764946,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae",NA
"1280","Family",38340331,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae",NA
"549","Family",37537514,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"1280","Genus",37527310,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"549","Genus",30275392,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"288000","Family",27966060,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
"288000","Genus",26695213,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
"38304","Family",24460060,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae",NA
