"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,11,"Family","Genus",0.000494042392280108,0.000495374721230546,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
316,17,"Genus","Genus",0.012810552760166,0.012810552760166,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
549,13,"Order","Genus",0.0257220752535633,0.00881181484510778,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
1270,11,"Family","Genus",0.0522812974893566,0.0238984334003458,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Micrococcus"
1282,39,"Phylum","Genus",0.0764966202964509,0.0189522584907306,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,46,"Order","Genus",0.0609709462073593,0.0375486171729654,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
9606,16,"Phylum","Genus",0.270286029153157,0.272813416358816,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo"
28090,12,"Family","Genus",0.0517208287558313,0.0376863507172395,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter"
34062,14,"Genus","Genus",0.0107403900205002,0.0107403900205002,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
38304,12,"Order","Genus",0.0406149354576832,0.0279677146573529,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
119219,14,"Genus","Genus",0.0134698835857767,0.0134698835857767,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
288000,65,"Class","Genus",0.178223036918604,0.0913017329206674,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,21,"Family","Genus",0.0164203918483792,0.00241834459151498,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1028416,15,"Genus","Genus",0.00348820803430605,0.00348820803430605,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter"
2596915,20,"Phylum","Genus",0.01613963196643,0.00620704809704031,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2861282,14,"Family","Genus",0.0121478666725957,0.00969924851944601,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
