"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
316,16,"Order","Genus",0.0249107138927012,0.00730011644061869,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
549,16,"Family","Genus",0.00560054085690534,0.00469878411932498,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
1397,13,"Family","Family",0.0100906995006658,0.0100906995006658,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae",NA
1747,17,"Order","Genus",0.0360278610696462,0.021906004069855,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
9606,17,"Class","Class",0.212832487395858,0.212832487395858,"Eukaryota","Chordata","Mammalia",NA,NA,NA
28090,41,"Order","Family",0.029546359674504,0.029546359674504,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
28454,22,"Class","Order",0.000849258368225791,0.000849258368225791,"Bacteria","Bacteroidota","Sphingobacteriia","Sphingobacteriales",NA,NA
29370,46,"Class","Family",0.00665948737854383,0.00212041012537409,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae",NA
49319,14,"Class","Order",0.00121169010093126,0.00121169010093126,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales",NA,NA
59779,11,"Order","Family",0.0129310743694822,0.0119972530867249,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae",NA
62322,16,"Order","Family",0.000961722057874916,0.000689669497106823,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA
83451,13,"Phylum","Family",0.00102133756716652,0.000567136942365346,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Archangiaceae",NA
119219,20,"Class","Family",0.03567891569849,0.00879109862489065,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae",NA
165179,20,"Class","Family",0.00117528254942176,0.000694258141431091,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae",NA
185951,28,"Order","Family",0.0144351997247447,0.0126005268162248,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA
207340,16,"Order","Family",0.00530638718505087,0.0035406655734993,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA
544580,29,"Order","Genus",0.00320658287552338,0.0027999556043878,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Actinomyces"
2080419,29,"Phylum","Family",0.00329580483148297,0.00323837747751209,"Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae",NA
2487072,36,"Class","Family",0.00370334170139599,0.00231488320609568,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae",NA
2502779,11,"Class","Family",0.000327139109863356,0.000327139109863356,"Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
2596915,21,"Phylum","Family",0.00981466793367138,0.00333216463620203,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae",NA
2736640,11,"Order","Family",0.00186679981880276,0.00186679981880276,"Bacteria","Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae",NA
2851567,25,"Order","Family",0.00728544172842839,0.00728544172842839,"Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae",NA
2853227,11,"Order","Family",0.00108388452560505,0.000253635159201895,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Calotrichaceae",NA
2861285,31,"Order","Family",0.00448202057450212,0.00448202057450212,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA
2973977,13,"Family","Genus",0.00220869901007599,0.00205296044317389,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Cellulomonadaceae","Cellulomonas"
