"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
316,34,"Order","Genus",0.0579006305648166,0.0179714926575939,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
1270,16,"Family","Genus",0.0768770278303285,0.0357121276972409,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Micrococcus"
1274,11,"Family","Genus",0.0038972068536813,0.0036612523928321,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermacoccaceae","Dermacoccus"
1282,112,"Phylum","Genus",0.112978575160563,0.0376884811972626,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1397,11,"Family","Genus",0.0174111228375878,0.00613564736261971,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Niallia"
1747,58,"Order","Genus",0.0875325139184578,0.0577537642214844,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
28090,23,"Order","Genus",0.0708774928066924,0.0499742755971838,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter"
38304,32,"Order","Genus",0.065751453464194,0.0483322698757023,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
49319,24,"Class","Genus",0.00293637539568925,0.00284382079863583,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter"
59779,39,"Order","Genus",0.0295291941335621,0.0256011544553757,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus"
119219,14,"Class","Genus",0.0833489334101906,0.015132131401479,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
157779,17,"Genus","Genus",0.00155293054637287,0.00155293054637287,"Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Kushneria"
189426,12,"Family","Genus",0.0130265658692703,0.0124338516647868,"Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
288000,148,"Class","Genus",0.219117715953176,0.106793271413425,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
322509,12,"Family","Genus",0.00234831701557065,0.00237552811351991,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Dietziaceae","Dietzia"
546871,32,"Family","Genus",0.0212849012645067,0.00293009042649621,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1196095,11,"Genus","Genus",0.000363926703877058,0.000363926703877058,"Bacteria","Pseudomonadota","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella"
2080419,16,"Phylum","Genus",0.00818201860176421,0.00827678307497475,"Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
2502779,12,"Class","Family",0.00078676309602357,0.00080307122464073,"Bacteria","Bacteroidota","Chitinophagia","Chitinophagales","Chitinophagaceae",NA
2596915,55,"Phylum","Genus",0.0260780872745806,0.00855777823860189,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2851567,15,"Order","Genus",0.0152802874265867,0.00946312881362385,"Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Modestobacter"
