"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
316,33,"Order","Genus",0.0261700602006694,0.00782675297256065,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
1270,15,"Family","Genus",0.0379448624646477,0.0168891625967809,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Micrococcus"
1282,43,"Phylum","Genus",0.0494560492642989,0.0150387409681001,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,40,"Order","Genus",0.0426946359271096,0.0263009529251021,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
28090,13,"Order","Genus",0.031171567261356,0.0214751603049077,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter"
38304,20,"Order","Genus",0.0323806462603504,0.0225946713736803,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
59779,16,"Genus","Genus",0.0140026415092208,0.0140026415092208,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus"
119219,11,"Order","Genus",0.0398579259540249,0.00743529767604208,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
157779,17,"Genus","Genus",0.000953706411107059,0.000953706411107059,"Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Kushneria"
288000,76,"Order","Genus",0.0701967544944167,0.0529115908959146,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,32,"Family","Genus",0.0112013153284277,0.00146614288930419,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1196095,11,"Genus","Genus",0.000236124928165828,0.000236124928165828,"Bacteria","Pseudomonadota","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella"
2596915,23,"Phylum","Genus",0.013518475391539,0.0039581471152848,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2851567,11,"Order","Genus",0.00794095715149188,0.00473812213426498,"Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Modestobacter"
