"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,28,"Class","Genus",0.000640622558511736,0.000657287771896958,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
316,33,"Order","Genus",0.0579006305648166,0.0179714926575939,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
549,17,"Order","Genus",0.0334454513243968,0.0105778705440782,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
1270,12,"Family","Genus",0.0768770278303285,0.0357121276972409,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Micrococcus"
1275,13,"Genus","Genus",0.0264400219417718,0.0264400219417718,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Kocuria"
1282,67,"Phylum","Genus",0.112978575160563,0.0376884811972626,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1397,12,"Family","Genus",0.0174111228375878,0.00613564736261971,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Niallia"
1747,48,"Order","Genus",0.0875325139184578,0.0577537642214844,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
28090,46,"Order","Genus",0.0708774928066924,0.0499742755971838,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter"
29370,11,"Class","Genus",0.0147519979470451,0.0024193256924021,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora"
34062,14,"Genus","Genus",0.0177281189215066,0.0177281189215066,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
38304,19,"Order","Genus",0.065751453464194,0.0483322698757023,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
49319,26,"Class","Genus",0.00293637539568925,0.00284382079863583,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter"
51665,21,"Family","Genus",0.00264212505235642,0.00254928490661523,"Bacteria","Bacillota","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus"
59779,20,"Order","Genus",0.0295291941335621,0.0256011544553757,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus"
76853,15,"Family","Genus",0.00248764364098451,0.00158936342527945,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Solibacillus"
94625,19,"Family","Genus",0.00148531100184319,0.0014809506748014,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Brucella"
119219,14,"Genus","Genus",0.015132131401479,0.015132131401479,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
288000,128,"Phylum","Genus",0.502083562076187,0.106793271413425,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
322509,22,"Family","Genus",0.00234831701557065,0.00237552811351991,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Dietziaceae","Dietzia"
546871,21,"Family","Genus",0.0212849012645067,0.00293009042649621,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1028416,19,"Genus","Genus",0.00415247201108205,0.00415247201108205,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Psychrobacter"
2080419,15,"Phylum","Genus",0.00818201860176421,0.00827678307497475,"Bacteria","Deinococcota","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
2596915,47,"Phylum","Genus",0.0260780872745806,0.00855777823860189,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2714952,11,"Genus","Genus",0.0021163267140653,0.0021163267140653,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia"
2851567,14,"Order","Genus",0.0152802874265867,0.00946312881362385,"Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Modestobacter"
2861282,18,"Family","Genus",0.0149639174511522,0.0118194023263644,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia"
2861285,20,"Order","Genus",0.00989820099440535,0.00806399208775789,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
2989820,13,"Genus","Genus",0.000436381552959416,0.000436381552959416,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Weeksellaceae","Kaistella"
