"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
316,29,"Genus","Genus",0.0179714926575939,0.0179714926575939,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
1282,12,"Family","Genus",0.0383573350996204,0.0376884811972626,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,27,"Order","Genus",0.0875325139184578,0.0577537642214844,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
34062,15,"Genus","Genus",0.0177281189215066,0.0177281189215066,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
34073,11,"Family","Genus",0.027744594877371,0.0080000665629764,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax"
59779,13,"Order","Genus",0.0295291941335621,0.0256011544553757,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Paracoccus"
62322,13,"Order","Genus",0.00265345161772856,0.0018393478001355,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
76853,14,"Family","Genus",0.00248764364098451,0.00158936342527945,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Solibacillus"
157779,18,"Genus","Genus",0.00155293054637287,0.00155293054637287,"Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Kushneria"
189426,15,"Genus","Genus",0.0124338516647868,0.0124338516647868,"Bacteria","Bacillota","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
262209,11,"Family","Genus",0.00833609278122676,0.00574933269765941,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae","Janibacter"
288000,27,"Family","Genus",0.107392295207462,0.106793271413425,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,22,"Family","Genus",0.0212849012645067,0.00293009042649621,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1196095,12,"Genus","Genus",0.000363926703877058,0.000363926703877058,"Bacteria","Pseudomonadota","Gammaproteobacteria","Orbales","Orbaceae","Gilliamella"
1768242,16,"Genus","Genus",0.000357545947820532,0.000357545947820532,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","","Paucibacter"
2596915,17,"Class","Genus",0.0094702841204453,0.00855777823860189,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2714952,18,"Genus","Genus",0.0021163267140653,0.0021163267140653,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae","Kinneretia"
2851567,11,"Order","Genus",0.0152802874265867,0.00946312881362385,"Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Modestobacter"
