"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,33,"Class","Genus",6.21553814990577e-05,6.21553814990577e-05,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
316,20,"Phylum","Genus",0.118190605985057,0.0093291860160635,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
565,16,"Genus","Genus",4.53954977623297e-05,4.53954977623297e-05,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,12,"Genus","Genus",0.000273545721592116,0.000273545721592116,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
851,21,"Phylum","Genus",0.000144805751804013,8.60855114700237e-05,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
1280,73,"Phylum","Genus",0.0148615218381091,0.00474168024469819,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,40,"Order","Genus",0.0230878386240248,0.0152006464294998,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
9606,107,"Phylum","Genus",0.096714864115811,0.096714864115811,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo"
38304,12,"Family","Genus",0.00488315174035047,0.00488315174035047,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
49319,17,"Class","Genus",0.000493919731662094,0.000363776480806243,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter"
119219,16,"Genus","Genus",0.0022643484766404,0.0022643484766404,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
131568,12,"Order","Genus",0.000104790052977081,0.000104790052977081,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae","Kineococcus"
225148,14,"Order","Genus",9.08958776789698e-06,4.60707831610998e-06,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
288000,59,"Order","Genus",0.0255275308064797,0.0140912118861165,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,12,"Genus","Genus",0.000483889397060518,0.000483889397060518,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
712435,12,"Family","Genus",5.30679636131218e-05,5.30679636131218e-05,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
1458307,14,"Genus","Genus",7.91576956451877e-05,7.91576956451877e-05,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Octadecabacter"
1528099,27,"Family","Genus",5.67169196060411e-05,5.67169196060411e-05,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
2086471,12,"Genus","Genus",5.45913693080132e-05,5.45913693080132e-05,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2596915,24,"Class","Genus",0.00292466605228567,0.00232017668332945,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2713640,26,"Phylum","Genus",1.52277011703925e-05,1.09879358274171e-05,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2939494,14,"Genus","Genus",0.000349271085967177,0.000349271085967177,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
