"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
316,12,"Class","Genus",0.0875502220618164,0.0153145908847552,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
565,16,"Genus","Genus",7.02658107336195e-05,7.02658107336195e-05,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,12,"Genus","Genus",0.000442481834342022,0.000442481834342022,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
1280,30,"Family","Genus",0.0074094964830438,0.0071987474049675,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,29,"Family","Genus",0.026045458771126,0.0229209627932665,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
9606,26,"Phylum","Genus",0.141304558112865,0.141304558112865,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo"
119219,16,"Genus","Genus",0.00435023653565439,0.00435023653565439,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
288000,31,"Genus","Genus",0.0281072202954191,0.0281072202954191,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,12,"Genus","Genus",0.000842930852035558,0.000842930852035558,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1458307,14,"Genus","Genus",0.000122390104459976,0.000122390104459976,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Octadecabacter"
1528099,14,"Family","Genus",8.43298152568987e-05,8.43298152568987e-05,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
2086471,12,"Genus","Genus",9.46914963843968e-05,9.46914963843968e-05,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2596915,14,"Genus","Genus",0.00406611191035999,0.00406611191035999,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2713640,12,"Order","Genus",2.28752987543462e-05,1.6401134763586e-05,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2939494,14,"Genus","Genus",0.00165487623753822,0.00165487623753822,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
