"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,11,"Order","Genus",0.000228727719931051,0.000233499008663516,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
316,13,"Class","Genus",0.162768699545317,0.0290943954047601,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
565,15,"Genus","Genus",0.000166293842632544,0.000166293842632544,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,12,"Genus","Genus",0.000981091526400049,0.000981091526400049,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
1280,30,"Family","Genus",0.0192092610352108,0.0188485493204046,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,28,"Family","Genus",0.0563077009479116,0.0520295718736304,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
9606,29,"Phylum","Genus",0.356692399714161,0.361950326264037,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo"
119219,17,"Genus","Genus",0.00693790887853385,0.00693790887853385,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
288000,31,"Genus","Genus",0.0438664259583817,0.0438664259583817,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,12,"Genus","Genus",0.00117466338266686,0.00117466338266686,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1458307,15,"Genus","Genus",0.000307228862524928,0.000307228862524928,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Octadecabacter"
1528099,16,"Family","Genus",0.000196550062613435,0.000197693050613778,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
1980928,13,"Genus","Genus",8.90183909496875e-06,8.90183909496875e-06,"Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Sepunavirus"
2086471,13,"Genus","Genus",0.00013320022700176,0.00013320022700176,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2596915,14,"Genus","Genus",0.00601327731640864,0.00601327731640864,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2713640,12,"Family","Genus",4.94064079163874e-05,3.83153789855663e-05,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2939494,11,"Genus","Genus",0.00087477020707141,0.00087477020707141,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
