"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,11,"Class","Genus",0.000228604143166475,0.000233499008663516,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
1260,12,"Genus","Genus",0.000178277800985809,0.000178277800985809,"Bacteria","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia"
131568,16,"Order","Genus",0.000244586113754703,0.000253589107839102,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae","Kineococcus"
147322,11,"Family","Genus",9.16955120133239e-05,9.21487937549854e-05,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Sirenicapillariaceae","Limnospira"
187101,11,"Genus","Genus",9.58522531526018e-06,9.58522531526018e-06,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sneathia"
225148,19,"Order","Genus",2.61910617718579e-05,1.27143476492648e-05,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
1528099,20,"Family","Genus",0.000196550062613435,0.000197693050613778,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
2049890,11,"Phylum","Genus",4.13237087918719e-07,3.79212448278002e-07,"Viruses","Dividoviricota","Laserviricetes","Halopanivirales","Sphaerolipoviridae","Alphasphaerolipovirus"
2713640,50,"Phylum","Genus",5.19102825363916e-05,3.83153789855663e-05,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2811781,11,"Genus","Genus",5.4248652223391e-05,5.4248652223391e-05,"Bacteria","Actinomycetota","Actinomycetes","Actinomycetales","Actinomycetaceae","Varibaculum"
2846050,13,"Genus","Genus",3.13586678078955e-06,3.13586678078955e-06,"Viruses","Uroviricota","Caudoviricetes","","","Rahariannevirus"
2939494,22,"Genus","Genus",0.00087477020707141,0.00087477020707141,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
