"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,15,"Class","Family",0.000228604143166475,0.000232002034811381,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
1603,13,"Genus","Genus",2.77389166660877e-06,2.77389166660877e-06,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
147322,11,"Family","Genus",9.16955120133239e-05,9.21487937549854e-05,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Sirenicapillariaceae","Limnospira"
225148,20,"Phylum","Genus",4.75546091302148e-05,1.27143476492648e-05,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
861299,17,"Phylum","Order",0.000356569658251547,0.000356933793012045,"Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales",NA,NA
1397703,12,"Genus","Genus",5.14130192405887e-05,5.14130192405887e-05,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Scytonemataceae","Brasilonema"
1528099,16,"Family","Family",0.000196550062613435,0.000196550062613435,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae",NA
1891644,13,"Order","Family",6.25947426045852e-05,6.36462108824958e-05,"Bacteria","Actinomycetota","Actinomycetes","Sporichthyales","Sporichthyaceae",NA
1980928,17,"Family","Genus",2.47473108301982e-05,8.90183909496875e-06,"Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Sepunavirus"
2713640,21,"Phylum","Genus",5.19102825363916e-05,3.83153789855663e-05,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2807512,17,"Class","Class",0.000128191464961207,0.000128191464961207,"Bacteria","Planctomycetota","Phycisphaerae",NA,NA,NA
2881056,12,"Family","Genus",2.81185715969616e-05,2.85578132324434e-05,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Demequinaceae","Demequina"
