"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
22,12,"Order","Genus",0.0011658075260796,0.000762630584754928,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
297,45,"Class","Genus",0.000146438849756244,0.000146438849756244,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
316,46,"Phylum","Genus",0.197477439483875,0.0114821656723449,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
565,25,"Genus","Genus",0.000130987555576885,0.000130987555576885,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,12,"Genus","Genus",0.000385536266629546,0.000385536266629546,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
1280,74,"Phylum","Genus",0.03627656043174,0.015860700854945,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,57,"Order","Genus",0.0535271681441937,0.0387146799474347,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
29370,16,"Genus","Genus",0.00062248796167427,0.00062248796167427,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora"
38304,11,"Family","Genus",0.0126144647314202,0.0126144647314202,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
49319,16,"Class","Genus",0.000956063772230802,0.000715493875014023,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter"
119219,11,"Genus","Genus",0.00376871490255048,0.00376871490255048,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
225148,18,"Order","Genus",2.12876852673464e-05,9.88485894147968e-06,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
288000,59,"Class","Genus",0.0814665950834442,0.0226004782095833,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,15,"Genus","Genus",0.000860651958693317,0.000860651958693317,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
712435,13,"Family","Genus",0.000174388651366068,0.000174388651366068,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
1458307,27,"Genus","Genus",0.000244179979933838,0.000244179979933838,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Octadecabacter"
1528099,23,"Family","Genus",0.000156694401127398,0.000156694401127398,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
2086471,11,"Genus","Genus",9.80780818259539e-05,9.80780818259539e-05,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2596915,25,"Class","Genus",0.00562432327986585,0.00441720383019186,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2713640,15,"Phylum","Genus",4.51269614570401e-05,3.26318005290376e-05,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2939494,11,"Genus","Genus",0.000322576879745471,0.000322576879745471,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
2962858,11,"Genus","Genus",0.000456653349776982,0.000456653349776982,"Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Niallia"
