"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
22,12,"Order","Genus",0.0012596493845206,0.000815029925941647,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
297,40,"Class","Genus",0.000169831507203726,0.000169831507203726,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
316,46,"Phylum","Genus",0.222218812664062,0.0117849913760081,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
565,24,"Genus","Genus",0.000138762502694322,0.000138762502694322,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,12,"Genus","Genus",0.000397062994753413,0.000397062994753413,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
1280,75,"Phylum","Genus",0.0388531623817051,0.016667313598664,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,54,"Order","Genus",0.0590151139302023,0.0419809352467345,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
29370,16,"Genus","Genus",0.000657078234897267,0.000657078234897267,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora"
38304,12,"Family","Genus",0.0138308650326813,0.0138308650326813,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium"
49319,15,"Family","Genus",0.000845562245834706,0.000845562245834706,"Bacteria","Actinomycetota","Rubrobacteria","Rubrobacterales","Rubrobacteraceae","Rubrobacter"
165179,11,"Class","Genus",0.00222508439758131,0.000960595636719456,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
225148,16,"Order","Genus",2.36371529628462e-05,1.10985103620736e-05,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
262209,11,"Family","Genus",0.00374024173143061,0.00241656141620534,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae","Janibacter"
288000,46,"Order","Genus",0.0481844852847537,0.0264041659641808,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,15,"Genus","Genus",0.000987143724484451,0.000987143724484451,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
712435,14,"Family","Genus",0.000189796959817104,0.000189796959817104,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
1458307,26,"Genus","Genus",0.000257318115005646,0.000257318115005646,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Octadecabacter"
1528099,25,"Family","Genus",0.000169364879902168,0.000169364879902168,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
1980928,33,"Family","Genus",2.45284390785433e-05,9.38882327708109e-06,"Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Sepunavirus"
1982251,19,"Genus","Genus",0.000172844162415632,0.000172844162415632,"Viruses","Uroviricota","Caudoviricetes","","","Pahexavirus"
2086471,11,"Genus","Genus",0.000111735744766321,0.000111735744766321,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2596915,27,"Class","Genus",0.00639857684323918,0.00503172718184831,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2713640,16,"Phylum","Genus",4.8408815383434e-05,3.49205810492455e-05,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Cavemovirus"
2939494,11,"Genus","Genus",0.000367237713702855,0.000367237713702855,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
