"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,12,"Class","Genus",0.000234569044273212,0.000234569044273212,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
316,38,"Phylum","Genus",0.286482475038028,0.0131954360052978,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
565,24,"Genus","Genus",0.000180073985750746,0.000180073985750746,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,12,"Genus","Genus",0.000469524161026908,0.000469524161026908,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
1280,29,"Order","Genus",0.0347989076639169,0.0229467196065274,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1747,36,"Order","Genus",0.0731219148397909,0.051074264213332,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Propionibacteriaceae","Cutibacterium"
29370,16,"Genus","Genus",0.000951886981995082,0.000951886981995082,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora"
288000,26,"Genus","Genus",0.037126876868537,0.037126876868537,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
546871,15,"Genus","Genus",0.00127902973762091,0.00127902973762091,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Friedmanniella"
1458307,26,"Genus","Genus",0.000357797644868263,0.000357797644868263,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Octadecabacter"
1528099,16,"Family","Genus",0.000207991170425688,0.000207991170425688,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
1980928,19,"Family","Genus",3.2348825071795e-05,1.19300621905658e-05,"Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Sepunavirus"
1982251,19,"Genus","Genus",0.000211107258751417,0.000211107258751417,"Viruses","Uroviricota","Caudoviricetes","","","Pahexavirus"
2086471,11,"Genus","Genus",0.000147805782959417,0.000147805782959417,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2596915,17,"Genus","Genus",0.00668605433529289,0.00668605433529289,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter"
2939494,11,"Genus","Genus",0.000601392745761363,0.000601392745761363,"Bacteria","Bacillota","Bacilli","Bacillales","Planococcaceae","Rummeliibacillus"
