"OTU","Comparisons","min_tax","max_tax","rel_ab_min_tax","rel_ab_max_tax","Kingdom","Phylum","Class","Order","Family","Genus"
297,19,"Class","Family",0.01097675660239,0.01097675660239,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
959,11,"Phylum","Phylum",0.0053669057760694,0.0053669057760694,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
1603,11,"Genus","Genus",0.000174450360722224,0.000174450360722224,"Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Amylolactobacillus"
2057,12,"Phylum","Class",0.003450487473388,0.003450487473388,"Bacteria","Thermomicrobiota","Thermomicrobia",NA,NA,NA
2098,11,"Order","Genus",0.00252407453323287,0.00160002773934677,"Bacteria","Mycoplasmatota","","Mycoplasmoidales","Metamycoplasmataceae","Metamycoplasma"
29394,12,"Genus","Genus",0.00730744475190562,0.00730744475190562,"Bacteria","Bacillota","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum"
147322,15,"Family","Genus",0.00338531669191252,0.00338531669191252,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Sirenicapillariaceae","Limnospira"
225148,22,"Phylum","Genus",0.00303463672248938,0.000862597150324533,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
453230,11,"Class","Order",0.00118491466739187,0.00118491466739187,"Bacteria","Thermodesulfobacteriota","Desulfarculia","Desulfarculales",NA,NA
651822,11,"Phylum","Phylum",0.00403139637670965,0.00403139637670965,"Bacteria","Synergistota",NA,NA,NA,NA
861299,17,"Phylum","Class",0.0233172768086351,0.0233172768086351,"Bacteria","Gemmatimonadota","Gemmatimonadetes",NA,NA,NA
1056807,13,"Genus","Genus",0.00594494969566187,0.00594494969566187,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Morococcus"
1397703,14,"Genus","Genus",0.00265436644439365,0.00265436644439365,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Scytonemataceae","Brasilonema"
1528099,19,"Family","Genus",0.0214156365079916,0.0214156365079916,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
1817405,12,"Genus","Genus",0.00370119843134686,0.00370119843134686,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Abyssicoccus"
1982626,13,"Genus","Genus",0.00145327291912702,0.00145327291912702,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibacillus"
2364647,11,"Genus","Genus",0.0197790522988474,0.0197790522988474,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Kalamiella"
2807512,20,"Class","Class",0.00812601920646926,0.00812601920646926,"Bacteria","Planctomycetota","Phycisphaerae",NA,NA,NA
