"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
1282,"DEN16_vs_NYC17","_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
1282,"NYC16_vs_BAL17","_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
1282,"NYC16_vs_DEN17","_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
1282,"NYC16_vs_MIN17","_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
1282,"BAL17_vs_NYC17","_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
1747,"DEN16_vs_NYC16","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"DEN16_vs_NYC17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"NYC16_vs_SAC16","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"NYC16_vs_BAL17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"NYC16_vs_DEN17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"NYC16_vs_MIN17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"NYC16_vs_SAN17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"SAC16_vs_NYC17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"BAL17_vs_NYC17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"MIN17_vs_NYC17","_Phylum",1,"Bacteria","Actinomycetota",NA,NA,NA,NA
1747,"DEN16_vs_NYC17","_Class",5,"Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA
1747,"MIN17_vs_NYC17","_Class",5,"Bacteria","Actinomycetota","Actinomycetes",NA,NA,NA
9606,"DEN16_vs_NYC16","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"NYC16_vs_SAC16","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"NYC16_vs_BAL17","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"NYC16_vs_DEN17","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"NYC16_vs_MIN17","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"NYC16_vs_SAN17","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"SAC16_vs_NYC17","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"BAL17_vs_NYC17","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"DEN17_vs_NYC17","_Phylum",1,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"MIN17_vs_NYC17","_Phylum",2,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"NYC17_vs_SAN17","_Phylum",1,"Eukaryota","Chordata",NA,NA,NA,NA
9606,"DEN17_vs_NYC17","_Class",4,"Eukaryota","Chordata","Mammalia",NA,NA,NA
9606,"NYC17_vs_SAN17","_Class",4,"Eukaryota","Chordata","Mammalia",NA,NA,NA
28090,"DEN16_vs_NYC17","_Class",4,"Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA
28090,"MIN17_vs_NYC17","_Class",4,"Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA
28090,"NYC17_vs_SAN17","_Class",3,"Bacteria","Pseudomonadota","Gammaproteobacteria",NA,NA,NA
28198,"DEN16_vs_NYC16","_Phylum",5,"Bacteria","Campylobacterota",NA,NA,NA,NA
