"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
316,"NYC16_vs_SAC16","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
490,"SAC16_vs_NYC17","AB_Genus",5,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
549,"NYC16_vs_DEN17","AB_Family",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
549,"NYC16_vs_SAN17","AB_Family",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
549,"DEN16_vs_NYC16","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
549,"NYC16_vs_DEN17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
549,"NYC16_vs_SAN17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
1164,"DEN16_vs_NYC16","AB_Genus",1,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Trichormus"
1274,"MIN17_vs_NYC17","AB_Genus",4,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermacoccaceae","Dermacoccus"
1282,"DEN16_vs_NYC17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
1282,"DEN16_vs_NYC17","AB_Class",3,"Bacteria","Bacillota","Bacilli",NA,NA,NA
1282,"DEN16_vs_NYC17","AB_Order",4,"Bacteria","Bacillota","Bacilli","Bacillales",NA,NA
1282,"DEN16_vs_NYC17","AB_Family",2,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae",NA
1282,"DEN16_vs_NYC17","AB_Genus",1,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1282,"NYC16_vs_MIN17","AB_Genus",5,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1382,"DEN17_vs_NYC17","AB_Genus",1,"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella"
28090,"NYC16_vs_MIN17","AB_Order",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
28090,"NYC16_vs_SAN17","AB_Order",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
28090,"MIN17_vs_NYC17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
28090,"NYC16_vs_MIN17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
28090,"NYC16_vs_SAN17","AB_Family",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
28090,"MIN17_vs_NYC17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
34062,"MIN17_vs_NYC17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
40566,"SAC16_vs_NYC17","AB_Genus",4,"Bacteria","Actinomycetota","Actinomycetes","Pseudonocardiales","Pseudonocardiaceae","Actinosynnema"
