"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
316,"NYC16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
642,"BAL17_vs_NYC17","AB_Order",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
642,"NYC17_vs_SAN17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
642,"BAL17_vs_NYC17","AB_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",NA
642,"BAL17_vs_NYC17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
1747,"DEN16_vs_NYC16","AB_Order",3,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales",NA,NA
1747,"DEN16_vs_NYC17","AB_Order",3,"Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales",NA,NA
1873,"NYC16_vs_SAN17","AB_Order",5,"Bacteria","Actinomycetota","Actinomycetes","Micromonosporales",NA,NA
28068,"NYC16_vs_MIN17","AB_Genus",5,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Rubrivivax"
28090,"NYC16_vs_SAN17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
28090,"NYC17_vs_SAN17","AB_Order",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales",NA,NA
28090,"NYC17_vs_SAN17","AB_Family",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae",NA
29370,"DEN16_vs_NYC17","AB_Class",2,"Bacteria","Bacillota","Clostridia",NA,NA,NA
29370,"NYC16_vs_SAN17","AB_Class",1,"Bacteria","Bacillota","Clostridia",NA,NA,NA
34062,"NYC16_vs_SAC16","AB_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
34062,"NYC16_vs_BAL17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
37921,"BAL17_vs_NYC17","AB_Genus",4,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Arthrobacter"
43675,"BAL17_vs_NYC17","AB_Genus",5,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Rothia"
62322,"SAC16_vs_NYC17","AB_Order",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales",NA,NA
62322,"MIN17_vs_NYC17","AB_Order",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales",NA,NA
74426,"NYC16_vs_DEN17","AB_Class",3,"Bacteria","Actinomycetota","Coriobacteriia",NA,NA,NA
74426,"DEN17_vs_NYC17","AB_Class",3,"Bacteria","Actinomycetota","Coriobacteriia",NA,NA,NA
119219,"DEN16_vs_NYC16","AB_Class",1,"Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA
119219,"DEN16_vs_NYC17","AB_Class",1,"Bacteria","Pseudomonadota","Betaproteobacteria",NA,NA,NA
119219,"DEN16_vs_NYC17","AB_Order",5,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales",NA,NA
131568,"NYC16_vs_SAC16","AB_Order",2,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales",NA,NA
131568,"NYC16_vs_SAC16","AB_Family",4,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae",NA
