"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
407,"NYC16_vs_SAN17","_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylobacterium"
490,"SAC16_vs_NYC17","_Genus",4,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
565,"DEN16_vs_NYC16","_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_DEN17","_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_SAN17","_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,"DEN16_vs_NYC16","_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"NYC16_vs_DEN17","_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
1280,"DEN16_vs_NYC17","_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
1280,"DEN16_vs_NYC17","_Class",5,"Bacteria","Bacillota","Bacilli",NA,NA,NA
1280,"DEN16_vs_NYC17","_Order",3,"Bacteria","Bacillota","Bacilli","Bacillales",NA,NA
1280,"DEN16_vs_NYC17","_Family",2,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae",NA
1280,"BAL17_vs_NYC17","_Family",4,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae",NA
1280,"DEN16_vs_NYC17","_Genus",1,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
1280,"BAL17_vs_NYC17","_Genus",3,"Bacteria","Bacillota","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
28901,"NYC17_vs_SAN17","_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella"
34062,"MIN17_vs_NYC17","_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Moraxella"
48736,"NYC16_vs_MIN17","_Genus",3,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
100886,"NYC17_vs_SAN17","_Genus",1,"Bacteria","Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium"
119219,"NYC16_vs_BAL17","_Genus",3,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
119219,"NYC16_vs_DEN17","_Genus",4,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
119219,"NYC16_vs_SAN17","_Genus",3,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
129727,"MIN17_vs_NYC17","_Genus",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus"
131568,"NYC16_vs_SAC16","_Order",2,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales",NA,NA
131568,"NYC16_vs_SAC16","_Family",5,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae",NA
131568,"NYC16_vs_SAC16","_Genus",4,"Bacteria","Actinomycetota","Actinomycetes","Kineosporiales","Kineosporiaceae","Kineococcus"
225148,"BAL17_vs_NYC17","_Order",5,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales",NA,NA
225148,"BAL17_vs_NYC17","_Family",1,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae",NA
225148,"BAL17_vs_NYC17","_Genus",2,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
288000,"NYC16_vs_BAL17","_Order",4,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales",NA,NA
288000,"NYC16_vs_BAL17","_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
288000,"NYC16_vs_DEN17","_Family",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
288000,"NYC16_vs_MIN17","_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
288000,"NYC16_vs_SAN17","_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae",NA
288000,"NYC16_vs_BAL17","_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
288000,"NYC16_vs_DEN17","_Genus",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
288000,"NYC16_vs_MIN17","_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
288000,"NYC16_vs_SAN17","_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium"
392593,"NYC16_vs_MIN17","_Genus",4,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Inhella"
680114,"MIN17_vs_NYC17","_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","","Bixzunavirus"
1353260,"SAC16_vs_NYC17","_Class",5,"Archaea","Nitrososphaerota","Nitrososphaeria",NA,NA,NA
1353260,"SAC16_vs_NYC17","_Order",1,"Archaea","Nitrososphaerota","Nitrososphaeria","Nitrososphaerales",NA,NA
1353260,"SAC16_vs_NYC17","_Family",3,"Archaea","Nitrososphaerota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
1528099,"NYC17_vs_SAN17","_Family",3,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae",NA
1528099,"NYC17_vs_SAN17","_Genus",4,"Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Lawsonellaceae","Lawsonella"
1658671,"DEN16_vs_NYC16","_Genus",3,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Intrasporangiaceae","Arsenicicoccus"
1882682,"NYC16_vs_SAC16","_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga"
1978566,"MIN17_vs_NYC17","_Genus",5,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Cryobacterium"
1982251,"NYC17_vs_SAN17","_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","","Pahexavirus"
1982900,"NYC16_vs_MIN17","_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","","Rosebushvirus"
2086471,"SAC16_vs_NYC17","_Genus",2,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
2558174,"DEN16_vs_NYC16","_Genus",4,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Hydrogenosomobacter"
2713640,"DEN17_vs_NYC17","_Phylum",2,"Viruses","Artverviricota",NA,NA,NA,NA
2713640,"DEN17_vs_NYC17","_Class",3,"Viruses","Artverviricota","Revtraviricetes",NA,NA,NA
2713640,"DEN17_vs_NYC17","_Order",4,"Viruses","Artverviricota","Revtraviricetes","Ortervirales",NA,NA
2713640,"DEN17_vs_NYC17","_Family",5,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae",NA
