"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
2039,"NYC16_vs_SAC16","_Family",3,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Tropherymataceae",NA
2039,"NYC16_vs_SAC16","_Genus",4,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Tropherymataceae","Tropheryma"
10298,"NYC16_vs_DEN17","_Genus",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus"
28446,"NYC16_vs_BAL17","_Genus",4,"Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum"
55206,"DEN17_vs_NYC17","_Genus",4,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta"
81462,"MIN17_vs_NYC17","_Genus",5,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Thermanaerovibrio"
129727,"MIN17_vs_NYC17","_Genus",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus"
129727,"NYC17_vs_SAN17","_Genus",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus"
138072,"NYC17_vs_SAN17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Candidatus Hamiltonella"
225148,"SAC16_vs_NYC17","_Family",1,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae",NA
225148,"BAL17_vs_NYC17","_Family",1,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae",NA
225148,"SAC16_vs_NYC17","_Genus",2,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
225148,"BAL17_vs_NYC17","_Genus",2,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
320497,"NYC16_vs_SAN17","_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Neoasaia"
391953,"DEN16_vs_NYC17","_Genus",5,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Aquincola"
577489,"DEN16_vs_NYC17","_Genus",4,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Aphanothecaceae","Euhalothece"
577489,"NYC16_vs_BAL17","_Genus",3,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Aphanothecaceae","Euhalothece"
680114,"NYC16_vs_MIN17","_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Bixzunavirus"
680114,"MIN17_vs_NYC17","_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","","Bixzunavirus"
693075,"DEN16_vs_NYC16","_Phylum",4,"Bacteria","Caldisericota",NA,NA,NA,NA
693075,"DEN16_vs_NYC16","_Class",5,"Bacteria","Caldisericota","Caldisericia",NA,NA,NA
1056807,"SAC16_vs_NYC17","_Genus",3,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Morococcus"
1196083,"SAC16_vs_NYC17","_Genus",4,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
1197717,"NYC16_vs_SAN17","_Family",4,"Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae",NA
1267021,"NYC17_vs_SAN17","_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Orbales","Orbaceae","Frischella"
1449781,"NYC16_vs_MIN17","_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae","Ochrobactrum"
1505757,"NYC16_vs_DEN17","_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Siccibacter"
1602345,"NYC16_vs_SAN17","_Genus",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Parasaccharibacter"
1920865,"NYC16_vs_SAC16","_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","Drexlerviridae","Tlsvirus"
1922246,"BAL17_vs_NYC17","_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","","Sextaecvirus"
1980928,"BAL17_vs_NYC17","_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Sepunavirus"
1982900,"NYC16_vs_BAL17","_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","","Rosebushvirus"
1982900,"NYC16_vs_DEN17","_Genus",1,"Viruses","Uroviricota","Caudoviricetes","","","Rosebushvirus"
1982903,"NYC16_vs_SAN17","_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Acadianvirus"
1985711,"NYC16_vs_BAL17","_Genus",1,"Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Friunavirus"
2005460,"NYC17_vs_SAN17","_Genus",4,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Chroococcaceae","Chondrocystis"
2169536,"NYC16_vs_DEN17","_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","Ackermannviridae","Kuttervirus"
2528020,"DEN16_vs_NYC16","_Genus",3,"Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Poriferisphaera"
