"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
1164,"SAC16_vs_NYC17","AB_Genus",5,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Trichormus"
10397,"NYC16_vs_SAN17","Viruses_Genus",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Quwivirus"
13642,"DEN17_vs_NYC17","Eukarya_Order",1,"Eukaryota","Evosea","Eumycetozoa","Acytosteliales",NA,NA
55206,"DEN17_vs_NYC17","AB_Genus",3,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Sediminispirochaeta"
84032,"DEN16_vs_NYC17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoclostridium"
129727,"MIN17_vs_NYC17","Viruses_Genus",2,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Parapoxvirus"
142864,"SAC16_vs_NYC17","AB_Genus",4,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermum"
147322,"NYC16_vs_BAL17","AB_Family",4,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Sirenicapillariaceae",NA
147322,"NYC16_vs_BAL17","AB_Genus",5,"Bacteria","Cyanobacteriota","Cyanophyceae","Oscillatoriales","Sirenicapillariaceae","Limnospira"
225148,"SAC16_vs_NYC17","AB_Family",1,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae",NA
225148,"BAL17_vs_NYC17","AB_Family",1,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae",NA
225148,"SAC16_vs_NYC17","AB_Genus",2,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
225148,"BAL17_vs_NYC17","AB_Genus",2,"Bacteria","Chlamydiota","Chlamydiia","Parachlamydiales","Rhabdochlamydiaceae","Candidatus Rhabdochlamydia"
391953,"DEN16_vs_NYC17","AB_Genus",4,"Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Sphaerotilaceae","Aquincola"
577489,"DEN16_vs_NYC17","AB_Genus",2,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Aphanothecaceae","Euhalothece"
577489,"NYC16_vs_BAL17","AB_Genus",2,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Aphanothecaceae","Euhalothece"
680114,"NYC16_vs_MIN17","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Bixzunavirus"
693075,"DEN16_vs_NYC16","AB_Phylum",3,"Bacteria","Caldisericota",NA,NA,NA,NA
693075,"DEN16_vs_NYC16","AB_Class",4,"Bacteria","Caldisericota","Caldisericia",NA,NA,NA
693075,"DEN16_vs_NYC16","AB_Order",5,"Bacteria","Caldisericota","Caldisericia","Caldisericales",NA,NA
1080349,"NYC17_vs_SAN17","Eukarya_Phylum",4,"Eukaryota","Ascomycota",NA,NA,NA,NA
1080349,"NYC17_vs_SAN17","Eukarya_Class",2,"Eukaryota","Ascomycota","Saccharomycetes",NA,NA,NA
1080349,"NYC17_vs_SAN17","Eukarya_Order",3,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA
1080349,"NYC17_vs_SAN17","Eukarya_Family",5,"Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae",NA
1195070,"MIN17_vs_NYC17","Viruses_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","","Keshuvirus"
1196083,"SAC16_vs_NYC17","AB_Genus",3,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
1196083,"NYC17_vs_SAN17","AB_Genus",1,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Snodgrassella"
1505757,"NYC16_vs_DEN17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Siccibacter"
1623306,"NYC16_vs_MIN17","Viruses_Genus",4,"Viruses","Uroviricota","Caudoviricetes","","","Timquatrovirus"
1755682,"NYC16_vs_DEN17","Viruses_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","","Woodruffvirus"
1883414,"NYC16_vs_DEN17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Pistricoccus"
1920865,"NYC16_vs_SAC16","Viruses_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","Drexlerviridae","Tlsvirus"
1922246,"NYC16_vs_DEN17","Viruses_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","","Sextaecvirus"
1922246,"BAL17_vs_NYC17","Viruses_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","","Sextaecvirus"
1980928,"BAL17_vs_NYC17","Viruses_Genus",4,"Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Sepunavirus"
1982900,"NYC16_vs_MIN17","Viruses_Genus",1,"Viruses","Uroviricota","Caudoviricetes","","","Rosebushvirus"
1985711,"NYC16_vs_BAL17","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Friunavirus"
2169658,"NYC16_vs_SAC16","Viruses_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","","Wizardvirus"
2546360,"DEN16_vs_NYC17","AB_Genus",5,"Bacteria","Cyanobacteriota","Cyanophyceae","Chroococcales","Aphanothecaceae","Crocosphaera"
2558174,"DEN16_vs_NYC16","AB_Genus",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Hydrogenosomobacter"
2558174,"DEN16_vs_NYC17","AB_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus Hydrogenosomobacter"
2560499,"NYC16_vs_DEN17","Viruses_Genus",4,"Viruses","Uroviricota","Caudoviricetes","","","Ghobesvirus"
2713640,"DEN17_vs_NYC17","Viruses_Phylum",4,"Viruses","Artverviricota",NA,NA,NA,NA
2713640,"DEN17_vs_NYC17","Viruses_Class",5,"Viruses","Artverviricota","Revtraviricetes",NA,NA,NA
2713640,"DEN17_vs_NYC17","Viruses_Family",2,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae",NA
2731985,"DEN16_vs_NYC16","Viruses_Genus",1,"Viruses","Uroviricota","Caudoviricetes","","Autographiviridae","Tritonvirus"
2733155,"NYC16_vs_SAC16","Viruses_Genus",1,"Viruses","Uroviricota","Caudoviricetes","","","Shapirovirus"
2733155,"NYC16_vs_SAN17","Viruses_Genus",4,"Viruses","Uroviricota","Caudoviricetes","","","Shapirovirus"
2733202,"MIN17_vs_NYC17","Viruses_Genus",4,"Viruses","Uroviricota","Caudoviricetes","","","Quhwahvirus"
2734263,"MIN17_vs_NYC17","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Oneupvirus"
2748760,"NYC16_vs_SAN17","Viruses_Genus",1,"Viruses","Uroviricota","Caudoviricetes","","","Poindextervirus"
2843389,"NYC16_vs_MIN17","Viruses_Family",5,"Viruses","Uroviricota","Caudoviricetes","Thumleimavirales","Hafunaviridae",NA
2946794,"NYC16_vs_SAC16","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Amginevirus"
2946797,"NYC16_vs_SAN17","Viruses_Genus",2,"Viruses","Uroviricota","Caudoviricetes","","","Anayavirus"
2948789,"NYC16_vs_SAN17","Viruses_Genus",3,"Viruses","Uroviricota","Caudoviricetes","","","Kroosvirus"
