"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
297,"BOG16_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"NYC16_vs_TOK17","_Class",4,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"TOK16_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"BAL17_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DEN17_vs_TOK17","_Class",3,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DOH17_vs_TOK17","_Class",3,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR17_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"NYC17_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"SAN17_vs_TOK17","_Class",3,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"SAO17_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"BOG16_vs_TOK17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"NYC16_vs_TOK17","_Order",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"TOK16_vs_TOK17","_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"BAL17_vs_TOK17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"DEN17_vs_TOK17","_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"DOH17_vs_TOK17","_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR17_vs_TOK17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"NYC17_vs_TOK17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"SAN17_vs_TOK17","_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"SAO17_vs_TOK17","_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"BOG16_vs_TOK17","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"NYC16_vs_TOK17","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"TOK16_vs_TOK17","_Family",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"BAL17_vs_TOK17","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"DEN17_vs_TOK17","_Family",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"DOH17_vs_TOK17","_Family",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"ILR17_vs_TOK17","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"MIN17_vs_TOK17","_Family",1,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"NYC17_vs_TOK17","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"SAN17_vs_TOK17","_Family",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"SAO17_vs_TOK17","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"BOG16_vs_TOK17","_Genus",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
297,"TOK16_vs_TOK17","_Genus",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
297,"BAL17_vs_TOK17","_Genus",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
