"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
41,"DOH17_vs_ILR17","AB_Genus",1,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Stigmatella"
41,"ILR17_vs_NYC17","AB_Genus",5,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Stigmatella"
41,"ILR17_vs_VIE17","AB_Genus",4,"Bacteria","Myxococcota","Myxococcia","Myxococcales","Archangiaceae","Stigmatella"
159,"NYC17_vs_TOK17","AB_Genus",5,"Bacteria","Spirochaetota","Spirochaetia","Brachyspirales","Brachyspiraceae","Brachyspira"
192,"SAC16_vs_DEN17","AB_Family",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae",NA
204,"BER16_vs_VIE17","AB_Family",5,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae",NA
204,"DEN16_vs_ZRH17","AB_Family",4,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae",NA
210,"DEN17_vs_DOH17","AB_Family",1,"Bacteria","Campylobacterota","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae",NA
237,"BOG16_vs_VIE17","AB_Genus",5,"Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
279,"BER16_vs_MIN17","AB_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Xanthobacter"
279,"BER16_vs_TOK17","AB_Genus",4,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Xanthobacter"
279,"NYC16_vs_BAL17","AB_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Xanthobacter"
279,"NYC16_vs_SAO17","AB_Genus",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Xanthobacter"
279,"NYC16_vs_TOK17","AB_Genus",4,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Xanthobacter"
297,"NYC17_vs_SAO17","AB_Class",5,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
316,"AKL16_vs_ILR16","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"BER16_vs_VIE17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"BOG16_vs_BAL17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"BOG16_vs_SAN17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"BOG16_vs_TOK17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"BOG16_vs_VIE17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"DOH16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"DOH16_vs_DEN17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"DOH16_vs_SAN17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"DOH16_vs_TOK17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"DOH16_vs_VIE17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"DOH17_vs_TOK17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
