"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
56,"NYC16_vs_ZRH17","AB_Order",3,"Bacteria","Myxococcota","Myxococcia","Polyangiales",NA,NA
192,"ILR16_vs_BAL17","AB_Family",4,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae",NA
297,"BOG16_vs_SAO17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"BOG16_vs_TOK17","AB_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
316,"AKL16_vs_DEN17","AB_Order",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
316,"DEN16_vs_DEN17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
316,"LIS16_vs_DEN17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
316,"BAL17_vs_DEN17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA
316,"DOH16_vs_DEN17","AB_Family",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA
316,"ILR16_vs_DEN17","AB_Family",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA
316,"BAL17_vs_ILR17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"BER16_vs_BAL17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"BOG16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"DOH17_vs_VIE17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"NYC16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
316,"TOK16_vs_BAL17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
408,"BER16_vs_MIN17","AB_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum"
408,"ILR16_vs_MIN17","AB_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum"
408,"MIN17_vs_VIE17","AB_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum"
490,"ILR16_vs_LIS16","AB_Order",4,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales",NA,NA
490,"ILR16_vs_TOK16","AB_Family",5,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae",NA
