"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
9,"MIN17_vs_SAN17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera"
22,"BER16_vs_DEN16","_Order",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales",NA,NA
22,"BER16_vs_DEN16","_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA
22,"BOG16_vs_BAL17","_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA
22,"DEN16_vs_BAL17","_Family",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae",NA
22,"BER16_vs_BOG16","_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
22,"BER16_vs_DEN16","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
22,"BOG16_vs_BAL17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
22,"DEN16_vs_BAL17","_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella"
63,"DOH16_vs_MIN17","_Genus",1,"Bacteria","Pseudomonadota","Betaproteobacteria","Neisseriales","Neisseriaceae","Vitreoscilla"
297,"TOK16_vs_SAO17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DEN17_vs_SAO17","_Class",3,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DOH17_vs_SAO17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR17_vs_SAO17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
