"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
158,"DEN17_vs_ZRH17","_Phylum",5,"Bacteria","Spirochaetota",NA,NA,NA,NA
316,"AKL16_vs_BER16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_BOG16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_DEN16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_DOH16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_ILR16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_LIS16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_NYC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_SAC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_TOK16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_BAL17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_DEN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_DOH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_ILR17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_MIN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_NYC17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_SAN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_SAO17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_TOK17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_VIE17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"AKL16_vs_ZRH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_BOG16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_DEN16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_DOH16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_ILR16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_LIS16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_NYC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_SAC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_TOK16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_BAL17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_DOH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_ILR17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_MIN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_NYC17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_SAN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_SAO17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_TOK17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BER16_vs_VIE17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_DEN16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_DOH16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_ILR16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_LIS16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_NYC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_SAC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_TOK16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_BAL17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_DOH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_ILR17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_MIN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_NYC17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_SAN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_SAO17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_TOK17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_VIE17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"BOG16_vs_ZRH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_DOH16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_ILR16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_LIS16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_NYC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_SAC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_TOK16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_BAL17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_DEN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_DOH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_ILR17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_MIN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_NYC17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_SAN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_SAO17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_TOK17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_VIE17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DEN16_vs_ZRH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_ILR16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_LIS16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_NYC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_SAC16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_TOK16","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_BAL17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_DEN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_DOH17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_ILR17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_MIN17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
316,"DOH16_vs_NYC17","_Phylum",1,"Bacteria","Pseudomonadota",NA,NA,NA,NA
