"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
128,"ILR16_vs_BAL17","_Genus",4,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
128,"ILR16_vs_ILR17","_Genus",4,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
128,"ILR16_vs_SAC16","_Genus",5,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
128,"ILR16_vs_SAN17","_Genus",4,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
270,"LIS16_vs_TOK17","_Genus",5,"Bacteria","Deinococcota","Deinococci","Thermales","Thermaceae","Thermus"
297,"AKL16_vs_SAO17","_Order",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"LIS16_vs_SAO17","_Order",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"DEN16_vs_SAO17","_Genus",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
297,"ILR16_vs_SAO17","_Genus",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
500,"BAL17_vs_MIN17","_Family",5,"Bacteria","Thermomicrobiota","Thermomicrobia","Thermomicrobiales","Thermomicrobiaceae",NA
565,"BOG16_vs_SAO17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"DOH16_vs_SAO17","_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_SAO17","_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"TOK16_vs_SAO17","_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,"DOH16_vs_TOK17","_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"NYC16_vs_TOK17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"SAC16_vs_TOK17","_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
747,"DEN16_vs_LIS16","_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurella"
833,"DOH17_vs_VIE17","_Phylum",4,"Bacteria","Fibrobacterota",NA,NA,NA,NA
999,"SAC16_vs_ILR17","_Family",5,"Bacteria","Bacteroidota","Cytophagia","Cytophagales","Bernardetiaceae",NA
1100,"MIN17_vs_SAO17","_Genus",3,"Bacteria","Chlorobiota","Chlorobiia","Chlorobiales","Chlorobiaceae","Pelodictyon"
1164,"DOH17_vs_SAN17","_Genus",4,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Trichormus"
1164,"SAC16_vs_DOH17","_Genus",3,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Trichormus"
