"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
94,"DEN16_vs_SAC16","_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Stellaceae",NA
94,"DEN16_vs_MIN17","_Family",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Stellaceae",NA
94,"DEN16_vs_SAN17","_Family",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Stellaceae",NA
297,"AKL16_vs_SAO17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"AKL16_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"BER16_vs_ILR16","_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"BOG16_vs_ILR16","_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DEN16_vs_SAO17","_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DOH16_vs_ILR16","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_NYC16","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_BAL17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_DEN17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_DOH17","_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_ILR17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_MIN17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_NYC17","_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_SAO17","_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_TOK17","_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"AKL16_vs_SAO17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"AKL16_vs_TOK17","_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"BER16_vs_ILR16","_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"BOG16_vs_ILR16","_Order",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"DOH16_vs_ILR16","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_NYC16","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_BAL17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_DEN17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_DOH17","_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_ILR17","_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_MIN17","_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_NYC17","_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_SAO17","_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_TOK17","_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"AKL16_vs_SAO17","_Family",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"BER16_vs_ILR16","_Family",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"DOH16_vs_ILR16","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"ILR16_vs_NYC16","_Family",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"ILR16_vs_BAL17","_Family",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"ILR16_vs_DEN17","_Family",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"ILR16_vs_TOK17","_Family",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
500,"BER16_vs_ILR17","_Order",1,"Bacteria","Thermomicrobiota","Thermomicrobia","Thermomicrobiales",NA,NA
500,"ILR16_vs_SAN17","_Order",4,"Bacteria","Thermomicrobiota","Thermomicrobia","Thermomicrobiales",NA,NA
500,"BER16_vs_ILR17","_Family",2,"Bacteria","Thermomicrobiota","Thermomicrobia","Thermomicrobiales","Thermomicrobiaceae",NA
500,"BAL17_vs_MIN17","_Genus",5,"Bacteria","Thermomicrobiota","Thermomicrobia","Thermomicrobiales","Thermomicrobiaceae","Thermomicrobium"
542,"ILR17_vs_ZRH17","_Genus",4,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Zymomonadaceae","Zymomonas"
565,"BER16_vs_SAO17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"BOG16_vs_SAO17","_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"DOH16_vs_SAO17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_SAO17","_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,"DOH16_vs_SAO17","_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"DOH16_vs_TOK17","_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"NYC16_vs_SAO17","_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
569,"AKL16_vs_LIS16","_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia"
833,"BER16_vs_DOH17","_Phylum",3,"Bacteria","Fibrobacterota",NA,NA,NA,NA
833,"ILR16_vs_DOH17","_Phylum",1,"Bacteria","Fibrobacterota",NA,NA,NA,NA
833,"ILR16_vs_SAO17","_Phylum",1,"Bacteria","Fibrobacterota",NA,NA,NA,NA
833,"DOH17_vs_ZRH17","_Phylum",5,"Bacteria","Fibrobacterota",NA,NA,NA,NA
833,"BER16_vs_DOH17","_Class",4,"Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA
833,"ILR16_vs_DOH17","_Class",3,"Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA
833,"ILR16_vs_SAO17","_Class",3,"Bacteria","Fibrobacterota","Fibrobacteria",NA,NA,NA
833,"BER16_vs_DOH17","_Order",5,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales",NA,NA
833,"ILR16_vs_DOH17","_Order",5,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales",NA,NA
833,"ILR16_vs_SAO17","_Order",5,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales",NA,NA
833,"BER16_vs_DOH17","_Family",2,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA
833,"TOK16_vs_SAO17","_Family",2,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA
833,"BER16_vs_DOH17","_Genus",1,"Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Fibrobacter"
948,"BER16_vs_BAL17","_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
948,"BOG16_vs_BAL17","_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
948,"NYC16_vs_BAL17","_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
948,"TOK16_vs_BAL17","_Genus",2,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
948,"BAL17_vs_DOH17","_Genus",3,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
948,"BAL17_vs_VIE17","_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
959,"DEN16_vs_LIS16","_Phylum",1,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
959,"LIS16_vs_SAC16","_Phylum",5,"Bacteria","Bdellovibrionota",NA,NA,NA,NA
