"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
9,"DEN16_vs_LIS16","AB_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Buchnera"
128,"ILR16_vs_DEN17","AB_Genus",3,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
128,"ILR16_vs_ILR17","AB_Genus",4,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
128,"ILR16_vs_SAC16","AB_Genus",4,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
128,"ILR16_vs_SAN17","AB_Genus",4,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
128,"ILR16_vs_TOK16","AB_Genus",5,"Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Isosphaera"
297,"DEN16_vs_SAO17","AB_Class",5,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"AKL16_vs_SAO17","AB_Family",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"ILR16_vs_SAO17","AB_Genus",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae","Hydrogenophilus"
565,"DOH16_vs_SAO17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_SAO17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"TOK16_vs_SAO17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,"DOH16_vs_TOK17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"NYC16_vs_TOK17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"SAC16_vs_TOK17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"TOK16_vs_TOK17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
826,"BOG16_vs_DOH17","AB_Genus",5,"Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sebaldella"
940,"TOK16_vs_NYC17","AB_Genus",5,"Bacteria","Aquificota","Aquificae","Aquificales","Aquificaceae","Hydrogenobacter"
948,"BAL17_vs_DOH17","AB_Genus",5,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Anaplasma"
1164,"SAC16_vs_NYC17","AB_Genus",5,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Trichormus"
1164,"TOK16_vs_DOH17","AB_Genus",4,"Bacteria","Cyanobacteriota","Cyanophyceae","Nostocales","Nostocaceae","Trichormus"
1260,"AKL16_vs_BAL17","AB_Genus",1,"Bacteria","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia"
1260,"AKL16_vs_BER16","AB_Genus",4,"Bacteria","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia"
1260,"AKL16_vs_DEN17","AB_Genus",1,"Bacteria","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia"
1260,"AKL16_vs_DOH16","AB_Genus",4,"Bacteria","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia"
1260,"AKL16_vs_DOH17","AB_Genus",5,"Bacteria","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia"
1260,"AKL16_vs_TOK16","AB_Genus",2,"Bacteria","Bacillota","Tissierellia","Tissierellales","Peptoniphilaceae","Finegoldia"
1379,"DEN16_vs_LIS16","AB_Genus",4,"Bacteria","Bacillota","Bacilli","Bacillales","","Gemella"
1379,"LIS16_vs_TOK16","AB_Genus",4,"Bacteria","Bacillota","Bacilli","Bacillales","","Gemella"
1382,"DEN17_vs_SAN17","AB_Genus",2,"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella"
1382,"SAN17_vs_ZRH17","AB_Genus",2,"Bacteria","Actinomycetota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella"
1505,"BER16_vs_VIE17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium"
1505,"BER16_vs_ZRH17","AB_Genus",1,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium"
1505,"BOG16_vs_VIE17","AB_Genus",2,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium"
1505,"BOG16_vs_ZRH17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium"
1505,"DEN16_vs_ZRH17","AB_Genus",5,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium"
1505,"DOH16_vs_VIE17","AB_Genus",3,"Bacteria","Bacillota","Clostridia","Eubacteriales","Peptostreptococcaceae","Paeniclostridium"
