"OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
138,"DEN16_vs_SAN17","AB_Genus",5,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Borreliaceae","Borrelia"
138,"MIN17_vs_SAN17","AB_Genus",5,"Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Borreliaceae","Borrelia"
297,"AKL16_vs_DOH16","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"AKL16_vs_SAO17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"AKL16_vs_TOK17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"BER16_vs_ILR16","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"BOG16_vs_ILR16","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DEN16_vs_SAO17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"DOH16_vs_ILR16","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_NYC16","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_TOK16","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_BAL17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_DEN17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_DOH17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_ILR17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_MIN17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_NYC17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_SAO17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_TOK17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"ILR16_vs_ZRH17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"LIS16_vs_SAO17","AB_Class",3,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
297,"AKL16_vs_DOH16","AB_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"AKL16_vs_SAO17","AB_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"BER16_vs_ILR16","AB_Order",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"BOG16_vs_ILR16","AB_Order",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"DOH16_vs_ILR16","AB_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_NYC16","AB_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_BAL17","AB_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_DEN17","AB_Order",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_DOH17","AB_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_ILR17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_MIN17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_NYC17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_SAO17","AB_Order",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_TOK17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_ZRH17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
297,"ILR16_vs_NYC16","AB_Family",5,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
297,"ILR16_vs_BAL17","AB_Family",4,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales","Hydrogenophilaceae",NA
500,"ILR16_vs_SAN17","AB_Order",3,"Bacteria","Thermomicrobiota","Thermomicrobia","Thermomicrobiales",NA,NA
565,"BER16_vs_SAO17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"BOG16_vs_SAO17","AB_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"DOH16_vs_SAO17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
565,"NYC16_vs_SAO17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Atlantibacter"
566,"BER16_vs_TOK17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"BOG16_vs_TOK17","AB_Genus",4,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"DOH16_vs_SAO17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"DOH16_vs_TOK17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"NYC16_vs_SAO17","AB_Genus",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
566,"SAC16_vs_TOK17","AB_Genus",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
