"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
41,1.13388117383845e-10,"zinb",204.931978344346,"DOH17","ILR17","DOH17_vs_ILR17",7.30786416538879e-08,"_Genus",1,"41_Genus"
43,6.63148219078456e-17,"zinb",206.592497537994,"BOG16","ZRH17","BOG16_vs_ZRH17",2.6641979701477e-14,"_Genus",5,"43_Genus"
138,1.29551197041619e-08,"zinb",90.1470128018038,"SAC16","SAN17","SAC16_vs_SAN17",1.653936948898e-06,"_Family",5,"138_Family"
192,3.55717223417e-30,"zinb",294.395244235729,"SAC16","DEN17","SAC16_vs_DEN17",1.28413917653537e-27,"_Family",2,"192_Family"
204,6.2982513442521e-24,"zinb",183.469351043852,"DEN16","VIE17","DEN16_vs_VIE17",6.6131639114647e-22,"_Family",5,"204_Family"
279,8.41085561073528e-13,"zinb",212.732114137982,"DOH16","NYC16","DOH16_vs_NYC16",2.60736523932794e-10,"_Genus",5,"279_Genus"
279,5.42186456671745e-27,"zinb",265.386202902437,"NYC16","DOH17","NYC16_vs_DOH17",2.50490142982346e-24,"_Genus",4,"279_Genus"
279,1.02416260810821e-52,"zinb",320.590902497157,"NYC16","TOK17","NYC16_vs_TOK17",5.74896610684741e-50,"_Genus",3,"279_Genus"
297,5.42312632130475e-20,"zinb",262.000200761622,"NYC17","SAO17","NYC17_vs_SAO17",2.11501926530885e-17,"_Family",5,"297_Family"
297,2.84691923593505e-14,"zinb",144.34238415757,"NYC17","TOK17","NYC17_vs_TOK17",1.75560019549328e-12,"_Order",5,"297_Order"
316,2.23308751433072e-21,"zinb",396.450047032884,"AKL16","ILR16","AKL16_vs_ILR16",9.84791593819847e-19,"_Genus",3,"316_Genus"
316,1.23856596014504e-33,"zinb",383.13504690499,"BOG16","BAL17","BOG16_vs_BAL17",4.95839239378066e-31,"_Genus",4,"316_Genus"
316,1.54015162849794e-30,"zinb",378.216220213722,"BOG16","SAN17","BOG16_vs_SAN17",2.10846757941368e-27,"_Genus",1,"316_Genus"
316,4.94424729419324e-96,"zinb",402.988092981718,"BOG16","TOK17","BOG16_vs_TOK17",8.42499738930528e-93,"_Genus",1,"316_Genus"
316,4.18610487515387e-29,"zinb",431.47081985555,"BOG16","VIE17","BOG16_vs_VIE17",6.22892405422897e-26,"_Genus",1,"316_Genus"
316,2.84504209897681e-28,"zinb",403.202331043353,"DEN17","ILR17","DEN17_vs_ILR17",1.59749113857548e-25,"_Genus",4,"316_Genus"
316,3.84854492833762e-40,"zinb",289.945148828117,"DOH16","BAL17","DOH16_vs_BAL17",1.50285679451584e-37,"_Genus",3,"316_Genus"
316,4.54094990951051e-46,"zinb",308.067356354231,"DOH16","DEN17","DOH16_vs_DEN17",3.68271037661303e-43,"_Genus",1,"316_Genus"
316,2.87368706885597e-35,"zinb",290.413139462867,"DOH16","SAN17","DOH16_vs_SAN17",1.17964854176538e-32,"_Genus",2,"316_Genus"
316,8.31449854024031e-82,"zinb",315.598484532236,"DOH16","TOK17","DOH16_vs_TOK17",7.5495646745382e-79,"_Genus",1,"316_Genus"
316,1.25256122893161e-37,"zinb",336.013863589742,"DOH16","VIE17","DOH16_vs_VIE17",5.26701996765744e-35,"_Genus",2,"316_Genus"
316,8.17544439814374e-21,"zinb",315.99660631931,"DOH17","TOK17","DOH17_vs_TOK17",1.07425339391609e-17,"_Genus",1,"316_Genus"
316,1.35925138675209e-09,"zinb",328.831532780263,"DOH17","VIE17","DOH17_vs_VIE17",5.63636241706532e-07,"_Genus",3,"316_Genus"
316,3.74068287063229e-61,"zinb",386.527315367709,"ILR16","BAL17","ILR16_vs_BAL17",2.13967060200167e-58,"_Genus",3,"316_Genus"
316,3.34502924163497e-70,"zinb",404.947702825632,"ILR16","DEN17","ILR16_vs_DEN17",3.98058479754562e-67,"_Genus",3,"316_Genus"
316,2.48121261433121e-119,"zinb",411.54691633328,"ILR16","TOK17","ILR16_vs_TOK17",3.7912928746981e-116,"_Genus",1,"316_Genus"
316,2.97668520127588e-58,"zinb",432.915538901168,"ILR16","VIE17","ILR16_vs_VIE17",1.9928907422542e-55,"_Genus",4,"316_Genus"
316,3.54479373487634e-49,"zinb",413.125567157656,"ILR17","TOK17","ILR17_vs_TOK17",5.37390730207252e-46,"_Genus",1,"316_Genus"
316,1.37422662366749e-22,"zinb",431.010042443889,"ILR17","VIE17","ILR17_vs_VIE17",1.91567191339248e-19,"_Genus",1,"316_Genus"
316,1.01400594622112e-48,"zinb",331.998916503987,"LIS16","DEN17","LIS16_vs_DEN17",4.64414723369274e-46,"_Genus",3,"316_Genus"
316,6.68753841428531e-85,"zinb",339.639243184604,"LIS16","TOK17","LIS16_vs_TOK17",7.89129532885667e-82,"_Genus",2,"316_Genus"
316,1.05120183573484e-39,"zinb",359.94426995686,"LIS16","VIE17","LIS16_vs_VIE17",5.48201757335719e-37,"_Genus",4,"316_Genus"
358,5.02275513446242e-27,"zinb",358.892987735835,"AKL16","NYC16","AKL16_vs_NYC16",1.37020760068135e-24,"_Genus",5,"358_Genus"
358,5.72832276141207e-28,"zinb",383.3309384759,"AKL16","TOK16","AKL16_vs_TOK16",1.91469188300199e-25,"_Genus",5,"358_Genus"
408,1.48645869207374e-30,"zinb",121.541679787769,"DOH16","MIN17","DOH16_vs_MIN17",2.63103188497052e-28,"_Genus",5,"408_Genus"
408,2.56861793295014e-19,"zinb",172.038801990425,"DOH16","SAC16","DOH16_vs_SAC16",7.62879526086192e-17,"_Genus",5,"408_Genus"
408,2.56488469949488e-17,"zinb",217.142976940273,"MIN17","VIE17","MIN17_vs_VIE17",2.8059838612474e-14,"_Genus",1,"408_Genus"
408,8.38014597766838e-14,"zinb",270.200388483654,"SAN17","VIE17","SAN17_vs_VIE17",2.45957284444567e-11,"_Genus",5,"408_Genus"
490,1.67540406414193e-32,"zinb",326.919939300254,"ILR16","NYC17","ILR16_vs_NYC17",1.29760044767793e-29,"_Genus",3,"490_Genus"
549,7.34230334729913e-18,"zinb",253.202029357923,"AKL16","DEN16","AKL16_vs_DEN16",2.19779613529154e-15,"_Genus",5,"549_Genus"
549,8.18302273588915e-14,"zinb",278.801129587013,"DEN17","DOH17","DEN17_vs_DOH17",2.57613557973906e-11,"_Family",4,"549_Family"
549,3.14576288614603e-15,"zinb",269.907147257856,"DEN17","ZRH17","DEN17_vs_ZRH17",9.00474626159302e-13,"_Genus",5,"549_Genus"
549,1.92352302869584e-35,"zinb",264.341402635994,"LIS16","DEN17","LIS16_vs_DEN17",4.40486773571348e-33,"_Genus",5,"549_Genus"
549,8.96189636009501e-52,"zinb",578.493222742572,"NYC16","DEN17","NYC16_vs_DEN17",3.43240630591639e-49,"_Family",5,"549_Family"
549,1.55019993793565e-27,"zinb",548.416727034571,"NYC16","SAN17","NYC16_vs_SAN17",1.05413595779624e-24,"_Genus",5,"549_Genus"
549,1.17640305876287e-09,"zinb",291.235912414734,"SAC16","SAN17","SAC16_vs_SAN17",2.25281185753089e-07,"_Family",3,"549_Family"
562,3.35934496374501e-10,"zinb",313.795776281282,"NYC17","VIE17","NYC17_vs_VIE17",1.59008994950597e-07,"_Genus",4,"562_Genus"
566,9.04277096646966e-22,"zinb",260.637109780603,"BOG16","SAC16","BOG16_vs_SAC16",3.0209600099852e-19,"_Genus",5,"566_Genus"
