"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
41,1.05590645242118e-10,"nb",203.443704231895,"DOH17","ILR17","DOH17_vs_ILR17",1.02035760185633e-07,"AB_Genus",3,"41AB_Genus"
138,1.03130020150451e-12,"zip",93.1837510940214,"SAC16","SAN17","SAC16_vs_SAN17",1.45310198391985e-09,"AB_Family",2,"138AB_Family"
159,9.75089634517235e-19,"zip",51.5547586912327,"NYC17","TOK17","NYC17_vs_TOK17",5.0200864683729e-16,"AB_Family",5,"159AB_Family"
192,5.45510460965608e-31,"nb",285.172072305983,"SAC16","DEN17","SAC16_vs_DEN17",3.81584567445443e-28,"AB_Family",4,"192AB_Family"
286,4.19497551876712e-25,"nb",498.663523322044,"BOG16","ZRH17","BOG16_vs_ZRH17",3.03548428537989e-22,"AB_Genus",5,"286AB_Genus"
316,5.70175975280963e-21,"nb",392.127783347503,"AKL16","ILR16","AKL16_vs_ILR16",3.28991537737116e-18,"AB_Genus",5,"316AB_Genus"
316,4.20480338074224e-14,"nb",317.721161764818,"AKL16","LIS16","AKL16_vs_LIS16",2.7446854067795e-11,"AB_Genus",4,"316AB_Genus"
316,0,"nb",59565.2741972208,"BER16","BOG16","BER16_vs_BOG16",0,"AB_Genus",1,"316AB_Genus"
316,0,"nb",110912.571545124,"BER16","ILR16","BER16_vs_ILR16",0,"AB_Genus",1,"316AB_Genus"
316,0,"nb",34443.9123165607,"BER16","MIN17","BER16_vs_MIN17",0,"AB_Genus",1,"316AB_Genus"
316,7.18463344087358e-83,"nb",395.698212359863,"BOG16","SAC16","BOG16_vs_SAC16",2.60514808566076e-79,"AB_Genus",1,"316AB_Genus"
316,2.15592631547251e-43,"nb",376.327166578743,"BOG16","SAN17","BOG16_vs_SAN17",7.73330769359989e-40,"AB_Genus",1,"316AB_Genus"
316,1.67219582703998e-115,"nb",403.948119668188,"BOG16","TOK17","BOG16_vs_TOK17",6.00987180238169e-112,"AB_Genus",1,"316AB_Genus"
316,4.83926043969339e-48,"nb",419.606650049309,"BOG16","VIE17","BOG16_vs_VIE17",1.74552124059741e-44,"AB_Genus",1,"316AB_Genus"
316,1.54519333414934e-27,"nb",395.008764539171,"DEN17","ILR17","DEN17_vs_ILR17",1.11562958725582e-24,"AB_Genus",4,"316AB_Genus"
316,1.52713621040972e-46,"nb",282.942785664228,"DOH16","BAL17","DOH16_vs_BAL17",1.15298783885934e-43,"AB_Genus",3,"316AB_Genus"
316,4.6743699745129e-54,"nb",298.884905439032,"DOH16","DEN17","DOH16_vs_DEN17",1.05827736222972e-50,"AB_Genus",1,"316AB_Genus"
316,5.01441136821408e-68,"nb",311.622975586421,"DOH16","SAC16","DOH16_vs_SAC16",1.37645592057476e-64,"AB_Genus",1,"316AB_Genus"
316,1.86335797923003e-40,"nb",285.80182320154,"DOH16","SAN17","DOH16_vs_SAN17",2.22205439023181e-37,"AB_Genus",2,"316AB_Genus"
316,4.1119606731957e-36,"nb",498.022144269907,"DOH16","SAO17","DOH16_vs_SAO17",1.68318593191252e-33,"AB_Order",5,"316AB_Order"
316,2.13461783625032e-90,"nb",314.691249224571,"DOH16","TOK17","DOH16_vs_TOK17",5.91716064208589e-87,"AB_Genus",1,"316AB_Genus"
316,1.66282206013932e-50,"nb",325.092188468903,"DOH16","VIE17","DOH16_vs_VIE17",4.29839502546014e-47,"AB_Genus",1,"316AB_Genus"
316,6.50933442455714e-20,"nb",427.007731865913,"DOH16","ZRH17","DOH16_vs_ZRH17",3.50722938795139e-17,"AB_Family",5,"316AB_Family"
316,4.34082847711215e-20,"nb",314.10318403827,"DOH17","TOK17","DOH17_vs_TOK17",1.2384383645201e-16,"AB_Genus",1,"316AB_Genus"
316,1.56641166096716e-10,"nb",320.890424073993,"DOH17","VIE17","DOH17_vs_VIE17",1.04753779827179e-07,"AB_Genus",4,"316AB_Genus"
316,2.80327151129618e-116,"nb",410.632703335526,"ILR16","TOK17","ILR16_vs_TOK17",2.84251731245433e-113,"AB_Genus",3,"316AB_Genus"
316,4.34549464872762e-47,"nb",412.47921492346,"ILR17","TOK17","ILR17_vs_TOK17",1.33232865929989e-43,"AB_Genus",1,"316AB_Genus"
316,1.66779668664427e-24,"nb",421.469988395463,"ILR17","VIE17","ILR17_vs_VIE17",9.82332248433475e-22,"AB_Genus",5,"316AB_Genus"
316,1.48224923368223e-81,"nb",338.748886837602,"LIS16","TOK17","LIS16_vs_TOK17",1.43778175667176e-78,"AB_Genus",3,"316AB_Genus"
316,1.50213019402161e-52,"nb",538.077062944432,"NYC16","SAC16","NYC16_vs_SAC16",5.16582573724032e-49,"AB_Genus",1,"316AB_Genus"
316,5.1966122446679e-88,"nb",543.600613524621,"NYC16","TOK17","NYC16_vs_TOK17",5.94319220381852e-85,"AB_Genus",3,"316AB_Genus"
316,4.9339590882334e-42,"nb",556.652254709882,"NYC16","VIE17","NYC16_vs_VIE17",5.63129197270372e-39,"AB_Genus",3,"316AB_Genus"
316,6.98909321829469e-80,"nb",552.281079125924,"SAC16","TOK16","SAC16_vs_TOK16",2.48671936706925e-76,"AB_Genus",1,"316AB_Genus"
316,6.91458910399492e-56,"nb",526.898614318569,"TOK16","BAL17","TOK16_vs_BAL17",4.86372197575003e-53,"AB_Genus",5,"316AB_Genus"
316,9.15319100653058e-47,"nb",528.852106926279,"TOK16","SAN17","TOK16_vs_SAN17",1.0782459005693e-43,"AB_Genus",3,"316AB_Genus"
316,6.5992191479908e-118,"nb",557.27957046418,"TOK16","TOK17","TOK16_vs_TOK17",1.16575206249257e-114,"AB_Genus",2,"316AB_Genus"
316,8.13870292195598e-63,"nb",569.700041047199,"TOK16","VIE17","TOK16_vs_VIE17",8.61599134935494e-60,"AB_Genus",4,"316AB_Genus"
316,4.81505239794737e-14,"nb",298.276233794705,"TOK17","ZRH17","TOK17_vs_ZRH17",9.18480038023536e-11,"AB_Genus",1,"316AB_Genus"
408,2.15884153639864e-18,"nb",206.154862976226,"MIN17","VIE17","MIN17_vs_VIE17",1.12605174538553e-15,"AB_Genus",5,"408AB_Genus"
490,1.02262914709687e-24,"nb",230.600001456713,"BER16","SAC16","BER16_vs_SAC16",3.41455872215645e-21,"AB_Genus",1,"490AB_Genus"
490,7.84753014817469e-27,"nb",339.83444659292,"SAC16","NYC17","SAC16_vs_NYC17",4.90941486069809e-24,"AB_Genus",5,"490AB_Genus"
522,6.539266024753e-23,"p",109.675775516622,"BER16","SAN17","BER16_vs_SAN17",4.30414489749243e-20,"AB_Genus",5,"522AB_Genus"
549,4.75690087370437e-43,"nb",528.8520697595,"DEN16","NYC16","DEN16_vs_NYC16",8.10100218791854e-40,"AB_Genus",2,"549AB_Genus"
549,5.80630441089889e-14,"nb",244.144299466648,"DEN17","DOH17","DEN17_vs_DOH17",4.85213505270784e-11,"AB_Genus",3,"549AB_Genus"
549,0,"nb",16835.7568340898,"ILR16","MIN17","ILR16_vs_MIN17",0,"AB_Genus",3,"549AB_Genus"
549,0,"nb",20359.7627906203,"LIS16","MIN17","LIS16_vs_MIN17",0,"AB_Order",1,"549AB_Order"
549,9.58116795696469e-80,"nb",520.40995479231,"NYC16","DEN17","NYC16_vs_DEN17",8.0984822156244e-77,"AB_Genus",4,"549AB_Genus"
549,1.52558985117642e-58,"nb",516.615923411721,"NYC16","SAN17","NYC16_vs_SAN17",2.59579113177668e-55,"AB_Genus",2,"549AB_Genus"
