"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
56,0,"zip",2098.33468406698,"NYC16","ZRH17","NYC16_vs_ZRH17",0,"AB_Order",3,"56AB_Order"
192,0,"zip",44147.2683069821,"ILR16","BAL17","ILR16_vs_BAL17",0,"AB_Family",4,"192AB_Family"
297,0,"zip",10048.6105062483,"BOG16","SAO17","BOG16_vs_SAO17",0,"AB_Class",2,"297AB_Class"
297,0,"zip",3324.8850278768,"BOG16","TOK17","BOG16_vs_TOK17",0,"AB_Order",4,"297AB_Order"
316,0,"zip",29013.2861554568,"AKL16","DEN17","AKL16_vs_DEN17",0,"AB_Order",4,"316AB_Order"
316,0,"zip",44323.0182418285,"BAL17","DEN17","BAL17_vs_DEN17",0,"AB_Family",3,"316AB_Family"
316,0,"zip",25101.4386207519,"BAL17","ILR17","BAL17_vs_ILR17",0,"AB_Genus",3,"316AB_Genus"
316,0,"zip",34611.8506092794,"BER16","BAL17","BER16_vs_BAL17",0,"AB_Genus",4,"316AB_Genus"
316,0,"zip",25422.0960748649,"BOG16","BAL17","BOG16_vs_BAL17",0,"AB_Genus",3,"316AB_Genus"
316,0,"zip",18963.7964251718,"DEN16","DEN17","DEN16_vs_DEN17",0,"AB_Order",2,"316AB_Order"
316,0,"zip",14148.2569280897,"DOH16","DEN17","DOH16_vs_DEN17",0,"AB_Family",4,"316AB_Family"
316,0,"zip",19019.3131672645,"DOH17","VIE17","DOH17_vs_VIE17",0,"AB_Genus",2,"316AB_Genus"
316,0,"zip",55572.8302720482,"ILR16","DEN17","ILR16_vs_DEN17",0,"AB_Family",5,"316AB_Family"
316,0,"zip",11239.1204259784,"LIS16","DEN17","LIS16_vs_DEN17",0,"AB_Order",2,"316AB_Order"
316,0,"zip",28123.0133872642,"NYC16","BAL17","NYC16_vs_BAL17",0,"AB_Genus",3,"316AB_Genus"
316,0,"zip",43068.1824264868,"TOK16","BAL17","TOK16_vs_BAL17",0,"AB_Genus",2,"316AB_Genus"
408,0,"zip",831.26525657045,"BER16","MIN17","BER16_vs_MIN17",0,"AB_Genus",5,"408AB_Genus"
408,0,"zip",747.481263479357,"ILR16","MIN17","ILR16_vs_MIN17",0,"AB_Genus",5,"408AB_Genus"
408,0,"zip",745.106609866986,"MIN17","VIE17","MIN17_vs_VIE17",0,"AB_Genus",1,"408AB_Genus"
490,0,"zip",11536.1942311199,"ILR16","LIS16","ILR16_vs_LIS16",0,"AB_Order",4,"490AB_Order"
490,0,"zip",20826.8211499602,"ILR16","TOK16","ILR16_vs_TOK16",0,"AB_Family",5,"490AB_Family"
549,0,"zip",28275.1555939027,"BAL17","ZRH17","BAL17_vs_ZRH17",0,"AB_Genus",3,"549AB_Genus"
549,0,"zip",44503.679559841,"BER16","ZRH17","BER16_vs_ZRH17",0,"AB_Family",4,"549AB_Family"
549,0,"zip",72129.1327556225,"BOG16","ZRH17","BOG16_vs_ZRH17",0,"AB_Family",5,"549AB_Family"
549,0,"zip",9175.77107919756,"DOH16","SAO17","DOH16_vs_SAO17",0,"AB_Family",4,"549AB_Family"
549,0,"zip",3954.48225795421,"DOH16","TOK17","DOH16_vs_TOK17",0,"AB_Family",3,"549AB_Family"
549,0,"zip",25333.2250329511,"DOH17","TOK17","DOH17_vs_TOK17",0,"AB_Family",4,"549AB_Family"
