"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",316,"BAL17_vs_DEN17","AB_Order",5,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
"2",316,"BAL17_vs_TOK17","AB_Order",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
"3",851,"BOG16_vs_TOK16","AB_Phylum",5,"Bacteria","Fusobacteriota",NA,NA,NA,NA
"4",1270,"BAL17_vs_TOK17","AB_Order",5,"Bacteria","Actinomycetota","Actinomycetes","Micrococcales",NA,NA
"5",1282,"AKL16_vs_BAL17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"6",1282,"AKL16_vs_BER16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"7",1282,"AKL16_vs_BOG16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"8",1282,"AKL16_vs_DEN17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"9",1282,"AKL16_vs_DOH16","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"10",1282,"AKL16_vs_DOH17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"11",1282,"AKL16_vs_ILR16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"12",1282,"AKL16_vs_ILR17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"13",1282,"AKL16_vs_MIN17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"14",1282,"AKL16_vs_NYC16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"15",1282,"AKL16_vs_NYC17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"16",1282,"AKL16_vs_SAC16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"17",1282,"AKL16_vs_SAN17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"18",1282,"AKL16_vs_SAO17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"19",1282,"AKL16_vs_TOK16","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"20",1282,"AKL16_vs_TOK17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"21",1282,"AKL16_vs_VIE17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"22",1282,"AKL16_vs_ZRH17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"23",1282,"BAL17_vs_ILR17","AB_Phylum",2,"Bacteria","Bacillota",NA,NA,NA,NA
"24",1282,"BAL17_vs_NYC17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"25",1282,"BAL17_vs_SAN17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"26",1282,"BER16_vs_BAL17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"27",1282,"BER16_vs_BOG16","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"28",1282,"BER16_vs_DEN16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"29",1282,"BER16_vs_DEN17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"30",1282,"BER16_vs_ILR16","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"31",1282,"BER16_vs_LIS16","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"32",1282,"BER16_vs_MIN17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"33",1282,"BER16_vs_NYC17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"34",1282,"BER16_vs_SAC16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"35",1282,"BER16_vs_SAN17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"36",1282,"BER16_vs_SAO17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"37",1282,"BER16_vs_TOK17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"38",1282,"BOG16_vs_BAL17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"39",1282,"BOG16_vs_DEN16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"40",1282,"BOG16_vs_DEN17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"41",1282,"BOG16_vs_DOH16","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"42",1282,"BOG16_vs_DOH17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"43",1282,"BOG16_vs_LIS16","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"44",1282,"BOG16_vs_MIN17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"45",1282,"BOG16_vs_NYC17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"46",1282,"BOG16_vs_SAN17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"47",1282,"BOG16_vs_SAO17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"48",1282,"BOG16_vs_TOK17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"49",1282,"BOG16_vs_ZRH17","AB_Phylum",5,"Bacteria","Bacillota",NA,NA,NA,NA
"50",1282,"DEN16_vs_BAL17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"51",1282,"DEN16_vs_DEN17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"52",1282,"DEN16_vs_DOH17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"53",1282,"DEN16_vs_ILR16","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"54",1282,"DEN16_vs_ILR17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"55",1282,"DEN16_vs_MIN17","AB_Phylum",2,"Bacteria","Bacillota",NA,NA,NA,NA
"56",1282,"DEN16_vs_NYC16","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"57",1282,"DEN16_vs_NYC17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"58",1282,"DEN16_vs_SAC16","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"59",1282,"DEN16_vs_SAN17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"60",1282,"DEN16_vs_SAO17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"61",1282,"DEN16_vs_TOK17","AB_Phylum",2,"Bacteria","Bacillota",NA,NA,NA,NA
"62",1282,"DEN16_vs_VIE17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"63",1282,"DEN16_vs_ZRH17","AB_Phylum",2,"Bacteria","Bacillota",NA,NA,NA,NA
"64",1282,"DEN17_vs_SAO17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"65",1282,"DEN17_vs_TOK17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"66",1282,"DEN17_vs_ZRH17","AB_Phylum",4,"Bacteria","Bacillota",NA,NA,NA,NA
"67",1282,"DOH16_vs_BAL17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
"68",1282,"DOH16_vs_DEN17","AB_Phylum",2,"Bacteria","Bacillota",NA,NA,NA,NA
"69",1282,"DOH16_vs_DOH17","AB_Phylum",3,"Bacteria","Bacillota",NA,NA,NA,NA
