"","OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
"1",41,7.50848529652852e-11,"zinb",207.443897533,"DOH17","ILR17","DOH17_vs_ILR17",4.70406603827512e-08,"AB_Genus",1,"41AB_Genus"
"2",159,9.56690922944032e-19,"zinb",53.5547679649277,"NYC17","TOK17","NYC17_vs_TOK17",2.94014051903346e-16,"AB_Family",3,"159AB_Family"
"3",192,4.75282403650238e-29,"zinb",289.168197818421,"SAC16","DEN17","SAC16_vs_DEN17",1.67299406084884e-26,"AB_Family",3,"192AB_Family"
"4",210,5.2456266735925e-289,"zinb",112.452729051978,"DEN17","DOH17","DEN17_vs_DOH17",1.64188114883445e-286,"AB_Family",1,"210AB_Family"
"5",279,5.44447862500141e-68,"zinb",310.944497631207,"NYC16","SAO17","NYC16_vs_SAO17",3.8846354989385e-65,"AB_Genus",2,"279AB_Genus"
"6",316,2.17712136062643e-21,"zinb",396.127930664179,"AKL16","ILR16","AKL16_vs_ILR16",9.59384812916046e-19,"AB_Genus",3,"316AB_Genus"
"7",316,1.45290761940246e-16,"zinb",369.432124762471,"BER16","VIE17","BER16_vs_VIE17",1.05408447787649e-13,"AB_Genus",3,"316AB_Genus"
"8",316,2.08254578913166e-40,"zinb",380.327351422105,"BOG16","SAN17","BOG16_vs_SAN17",2.77811608270163e-37,"AB_Genus",1,"316AB_Genus"
"9",316,1.40402903306563e-110,"zinb",407.948152960752,"BOG16","TOK17","BOG16_vs_TOK17",2.31524387552523e-107,"AB_Genus",1,"316AB_Genus"
"10",316,1.39875392541672e-48,"zinb",423.606740624921,"BOG16","VIE17","BOG16_vs_VIE17",1.99182558979341e-45,"AB_Genus",1,"316AB_Genus"
"11",316,1.54836339970901e-47,"zinb",286.943027622505,"DOH16","BAL17","DOH16_vs_BAL17",6.01539180786951e-45,"AB_Genus",3,"316AB_Genus"
"12",316,1.59103294783905e-55,"zinb",302.884961284106,"DOH16","DEN17","DOH16_vs_DEN17",1.28078152301043e-52,"AB_Genus",1,"316AB_Genus"
"13",316,2.5690495967298e-39,"zinb",289.801981454075,"DOH16","SAN17","DOH16_vs_SAN17",1.0468877106674e-36,"AB_Genus",2,"316AB_Genus"
"14",316,5.37684227558649e-85,"zinb",318.691443842482,"DOH16","TOK17","DOH16_vs_TOK17",4.83915804802784e-82,"AB_Genus",1,"316AB_Genus"
"15",316,7.2436561286468e-51,"zinb",329.092232355269,"DOH16","VIE17","DOH16_vs_VIE17",6.05569652354873e-48,"AB_Genus",1,"316AB_Genus"
