"","OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
"1",56,0,"zip",2098.33468406698,"NYC16","ZRH17","NYC16_vs_ZRH17",0,"AB_Order",3,"56AB_Order"
"2",297,0,"zip",10048.6105062483,"BOG16","SAO17","BOG16_vs_SAO17",0,"AB_Class",2,"297AB_Class"
"3",297,0,"zip",3324.80219212881,"BOG16","TOK17","BOG16_vs_TOK17",0,"AB_Class",1,"297AB_Class"
"4",316,0,"zip",44323.0182418285,"BAL17","DEN17","BAL17_vs_DEN17",0,"AB_Family",3,"316AB_Family"
"5",316,0,"zip",25101.4386207519,"BAL17","ILR17","BAL17_vs_ILR17",0,"AB_Genus",3,"316AB_Genus"
"6",316,0,"zip",25422.0960748649,"BOG16","BAL17","BOG16_vs_BAL17",0,"AB_Genus",3,"316AB_Genus"
"7",316,0,"zip",18963.7964251718,"DEN16","DEN17","DEN16_vs_DEN17",0,"AB_Order",2,"316AB_Order"
"8",316,0,"zip",14212.2130983438,"DOH16","DEN17","DOH16_vs_DEN17",0,"AB_Order",1,"316AB_Order"
"9",316,0,"zip",19019.3131672645,"DOH17","VIE17","DOH17_vs_VIE17",0,"AB_Genus",2,"316AB_Genus"
"10",316,0,"zip",11239.1204259784,"LIS16","DEN17","LIS16_vs_DEN17",0,"AB_Order",2,"316AB_Order"
"11",316,0,"zip",28123.0133872642,"NYC16","BAL17","NYC16_vs_BAL17",0,"AB_Genus",3,"316AB_Genus"
"12",316,0,"zip",43068.1824264868,"TOK16","BAL17","TOK16_vs_BAL17",0,"AB_Genus",2,"316AB_Genus"
"13",408,0,"zip",745.106609866986,"MIN17","VIE17","MIN17_vs_VIE17",0,"AB_Genus",1,"408AB_Genus"
"14",549,0,"zip",28275.1555939027,"BAL17","ZRH17","BAL17_vs_ZRH17",0,"AB_Genus",3,"549AB_Genus"
"15",549,0,"zip",3954.48225795421,"DOH16","TOK17","DOH16_vs_TOK17",0,"AB_Family",3,"549AB_Family"
"16",549,0,"zip",52199.1538053711,"DOH17","ZRH17","DOH17_vs_ZRH17",0,"AB_Genus",3,"549AB_Genus"
"17",549,0,"zip",23500.23233338,"ILR16","TOK17","ILR16_vs_TOK17",0,"AB_Family",2,"549AB_Family"
