"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",56,"NYC16_vs_ZRH17","AB_Order",3,"Bacteria","Myxococcota","Myxococcia","Polyangiales",NA,NA
"2",297,"BOG16_vs_SAO17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"3",297,"BOG16_vs_TOK17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"4",316,"DEN16_vs_DEN17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
"5",316,"DOH16_vs_DEN17","AB_Order",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
"6",316,"LIS16_vs_DEN17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales",NA,NA
"7",316,"BAL17_vs_DEN17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA
"8",316,"BAL17_vs_ILR17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
"9",316,"BOG16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
"10",316,"DOH17_vs_VIE17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
"11",316,"NYC16_vs_BAL17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
"12",316,"TOK16_vs_BAL17","AB_Genus",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Stutzerimonas"
"13",408,"MIN17_vs_VIE17","AB_Genus",1,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum"
"14",549,"DOH16_vs_TOK17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"15",549,"ILR16_vs_TOK17","AB_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"16",549,"ILR17_vs_ZRH17","AB_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"17",549,"MIN17_vs_ZRH17","AB_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"18",549,"NYC16_vs_TOK17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"19",549,"SAC16_vs_ZRH17","AB_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"20",549,"TOK16_vs_ZRH17","AB_Family",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"21",549,"TOK17_vs_ZRH17","AB_Family",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"22",549,"VIE17_vs_ZRH17","AB_Family",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae",NA
"23",549,"BAL17_vs_ZRH17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"24",549,"DOH17_vs_ZRH17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"25",549,"NYC17_vs_ZRH17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Pantoea"
"26",566,"BOG16_vs_SAC16","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Pseudescherichia"
"27",570,"TOK17_vs_ZRH17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella"
"28",642,"BER16_vs_VIE17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
"29",642,"ILR17_vs_TOK17","AB_Order",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
"30",642,"NYC17_vs_SAN17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
"31",642,"NYC17_vs_TOK17","AB_Order",2,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
"32",642,"TOK17_vs_VIE17","AB_Order",1,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales",NA,NA
"33",642,"BAL17_vs_NYC17","AB_Genus",3,"Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"34",853,"NYC17_vs_VIE17","AB_Family",2,"Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae",NA
