"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",5761,"AKL16_vs_SAN17","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"2",5761,"AKL16_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"3",5761,"BAL17_vs_DOH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"4",5761,"BAL17_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"5",5761,"BAL17_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"6",5761,"BAL17_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"7",5761,"BAL17_vs_SAN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"8",5761,"BAL17_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"9",5761,"BAL17_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"10",5761,"BER16_vs_BAL17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"11",5761,"BER16_vs_BOG16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"12",5761,"BER16_vs_DEN16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"13",5761,"BER16_vs_DOH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"14",5761,"BER16_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"15",5761,"BER16_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"16",5761,"BER16_vs_NYC16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"17",5761,"BER16_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"18",5761,"BER16_vs_SAC16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"19",5761,"BER16_vs_TOK16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"20",5761,"BER16_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"21",5761,"BER16_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"22",5761,"BOG16_vs_BAL17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"23",5761,"BOG16_vs_DEN16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"24",5761,"BOG16_vs_DOH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"25",5761,"BOG16_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"26",5761,"BOG16_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"27",5761,"BOG16_vs_NYC16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"28",5761,"BOG16_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"29",5761,"BOG16_vs_SAC16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"30",5761,"BOG16_vs_TOK16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"31",5761,"BOG16_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"32",5761,"BOG16_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"33",5761,"DEN16_vs_BAL17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"34",5761,"DEN16_vs_DOH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"35",5761,"DEN16_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"36",5761,"DEN16_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"37",5761,"DEN16_vs_NYC16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"38",5761,"DEN16_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"39",5761,"DEN16_vs_SAC16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"40",5761,"DEN16_vs_SAN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"41",5761,"DEN16_vs_TOK16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"42",5761,"DEN16_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"43",5761,"DEN16_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"44",5761,"DOH17_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"45",5761,"DOH17_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"46",5761,"DOH17_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"47",5761,"DOH17_vs_SAN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"48",5761,"DOH17_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"49",5761,"DOH17_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"50",5761,"ILR17_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"51",5761,"ILR17_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"52",5761,"ILR17_vs_SAN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"53",5761,"ILR17_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"54",5761,"ILR17_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"55",5761,"MIN17_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"56",5761,"MIN17_vs_SAN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"57",5761,"MIN17_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"58",5761,"MIN17_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"59",5761,"NYC16_vs_BAL17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"60",5761,"NYC16_vs_DOH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"61",5761,"NYC16_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"62",5761,"NYC16_vs_MIN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"63",5761,"NYC16_vs_NYC17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"64",5761,"NYC16_vs_SAC16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"65",5761,"NYC16_vs_SAN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"66",5761,"NYC16_vs_TOK16","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"67",5761,"NYC16_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"68",5761,"NYC16_vs_ZRH17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"69",5761,"NYC17_vs_SAN17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
"70",5761,"NYC17_vs_VIE17","Eukarya_Genus",3,"Eukaryota","Heterolobosea","","","Vahlkampfiidae","Naegleria"
