"","OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
"1",10279,1.43869710148294e-05,"nb",121.317792860515,"BER16","NYC16","BER16_vs_NYC16",0.000445996101459712,"Viruses_Order",1,"10279Viruses_Order"
"2",10279,0.0323304435319494,"nb",27.4059418678706,"DOH16","ILR17","DOH16_vs_ILR17",0.452626209447292,"Viruses_Class",2,"10279Viruses_Class"
"3",10279,0.0326739822437793,"nb",26.8237104949826,"DOH16","ZRH17","DOH16_vs_ZRH17",0.772825975815502,"Viruses_Family",2,"10279Viruses_Family"
"4",10376,0.000436408631207764,"nb",62.7196793405069,"BER16","SAO17","BER16_vs_SAO17",0.0257481092412581,"Viruses_Family",1,"10376Viruses_Family"
"5",10376,7.66836203126595e-10,"nb",96.8889786410776,"BER16","TOK17","BER16_vs_TOK17",2.37719222969244e-08,"Viruses_Family",3,"10376Viruses_Family"
"6",10376,0.00054345301178447,"nb",66.6123080911057,"BER16","ZRH17","BER16_vs_ZRH17",0.0130428722828273,"Viruses_Order",2,"10376Viruses_Order"
"7",10376,0.0654276565924743,"nb",66.9559468595187,"DOH16","TOK17","DOH16_vs_TOK17",0.545230471603952,"Viruses_Family",3,"10376Viruses_Family"
"8",10376,0.00097134623697777,"nb",95.7273283755798,"ILR17","TOK17","ILR17_vs_TOK17",0.0359398107681775,"Viruses_Family",2,"10376Viruses_Family"
"9",10376,1.39909553338303e-09,"nb",134.848657679342,"NYC16","TOK17","NYC16_vs_TOK17",1.02133973936961e-07,"Viruses_Family",1,"10376Viruses_Family"
"10",10376,0.0280369612461653,"nb",79.6646226072056,"NYC17","SAO17","NYC17_vs_SAO17",0.196258728723157,"Viruses_Class",3,"10376Viruses_Class"
"11",10376,0.000776638970203853,"nb",127.457374112738,"NYC17","TOK17","NYC17_vs_TOK17",0.0116495845530578,"Viruses_Class",2,"10376Viruses_Class"
"12",10376,4.24634099120318e-10,"nb",142.339472474946,"TOK16","TOK17","TOK16_vs_TOK17",3.48199961278661e-08,"Viruses_Family",1,"10376Viruses_Family"
"13",10376,1.58412090550382e-05,"nb",92.6828415412573,"TOK17","VIE17","TOK17_vs_VIE17",0.000491077480706185,"Viruses_Family",1,"10376Viruses_Family"
"14",10376,0.00721749903261762,"nb",88.8313766436673,"TOK17","ZRH17","TOK17_vs_ZRH17",0.133523732103426,"Viruses_Family",2,"10376Viruses_Family"
"15",10449,0.00107379523050924,"nb",28.5726422849148,"AKL16","TOK17","AKL16_vs_TOK17",0.0944939802848128,"Viruses_Genus",3,"10449Viruses_Genus"
"16",10449,0.000573836316138927,"nb",31.3797305583503,"LIS16","TOK17","LIS16_vs_TOK17",0.0504975958202256,"Viruses_Genus",1,"10449Viruses_Genus"
"17",10449,5.19700943613165e-07,"nb",45.2789734179769,"MIN17","NYC17","MIN17_vs_NYC17",8.47112538089459e-05,"Viruses_Genus",2,"10449Viruses_Genus"
"18",10449,2.7380899296185e-06,"nb",35.3528333976066,"MIN17","TOK17","MIN17_vs_TOK17",0.000240951913806428,"Viruses_Genus",1,"10449Viruses_Genus"
"19",10449,1.36541756862261e-05,"nb",28.3611319059622,"MIN17","VIE17","MIN17_vs_VIE17",0.00152926767685732,"Viruses_Genus",3,"10449Viruses_Genus"
"20",10449,6.88404223440025e-06,"nb",35.5753964774631,"MIN17","ZRH17","MIN17_vs_ZRH17",0.000881157406003231,"Viruses_Genus",2,"10449Viruses_Genus"
"21",10449,0.00499249432142816,"nb",28.9187470057718,"SAC16","MIN17","SAC16_vs_MIN17",0.584121835607095,"Viruses_Genus",3,"10449Viruses_Genus"
