"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",10279,"BER16_vs_DEN17","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"2",10279,"BER16_vs_SAC16","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"3",10279,"DOH16_vs_BAL17","Viruses_Class",4,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"4",10279,"DOH16_vs_ILR17","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"5",10279,"DOH16_vs_TOK17","Viruses_Class",2,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"6",10279,"LIS16_vs_ZRH17","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"7",10279,"SAC16_vs_TOK17","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"8",10279,"BER16_vs_NYC17","Viruses_Order",2,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales",NA,NA
"9",10279,"ILR16_vs_NYC17","Viruses_Order",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales",NA,NA
"10",10279,"DOH16_vs_ZRH17","Viruses_Family",4,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"11",10279,"ILR17_vs_NYC17","Viruses_Family",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"12",10279,"TOK16_vs_NYC17","Viruses_Family",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"13",10279,"BOG16_vs_DEN17","Viruses_Genus",4,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"14",10376,"BER16_vs_LIS16","Viruses_Phylum",5,"Viruses","Peploviricota",NA,NA,NA,NA
"15",10376,"DEN16_vs_LIS16","Viruses_Phylum",2,"Viruses","Peploviricota",NA,NA,NA,NA
"16",10376,"DOH16_vs_SAN17","Viruses_Phylum",4,"Viruses","Peploviricota",NA,NA,NA,NA
"17",10376,"DOH16_vs_LIS16","Viruses_Class",5,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"18",10376,"ILR16_vs_LIS16","Viruses_Class",3,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"19",10376,"ILR16_vs_SAN17","Viruses_Class",4,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"20",10376,"LIS16_vs_NYC17","Viruses_Class",4,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"21",10376,"LIS16_vs_VIE17","Viruses_Class",5,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"22",10376,"NYC17_vs_SAO17","Viruses_Class",3,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"23",10376,"NYC17_vs_TOK17","Viruses_Class",2,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"24",10376,"BER16_vs_SAO17","Viruses_Family",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"25",10376,"BER16_vs_TOK17","Viruses_Family",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"26",10376,"DOH16_vs_TOK17","Viruses_Family",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"27",10376,"ILR17_vs_TOK17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"28",10376,"NYC16_vs_SAO17","Viruses_Family",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"29",10376,"NYC16_vs_TOK17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"30",10376,"SAO17_vs_VIE17","Viruses_Family",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"31",10376,"TOK16_vs_SAO17","Viruses_Family",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"32",10376,"TOK16_vs_TOK17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"33",10376,"TOK17_vs_VIE17","Viruses_Family",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"34",10376,"TOK17_vs_ZRH17","Viruses_Family",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"35",10449,"DEN17_vs_MIN17","Viruses_Genus",4,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"36",10449,"ILR17_vs_MIN17","Viruses_Genus",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
