"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",10261,"DOH16_vs_TOK16","Viruses_Genus",2,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Avipoxvirus"
"2",10279,"BAL17_vs_DEN17","Viruses_Class",2,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"3",10279,"DEN17_vs_ILR17","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"4",10279,"DOH16_vs_ILR17","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"5",10279,"ILR16_vs_BAL17","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"6",10279,"ILR16_vs_ILR17","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"7",10279,"ILR16_vs_LIS16","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"8",10279,"DEN16_vs_SAC16","Viruses_Order",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales",NA,NA
"9",10279,"BER16_vs_NYC17","Viruses_Family",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"10",10279,"BER16_vs_SAC16","Viruses_Family",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"11",10279,"DOH16_vs_DEN17","Viruses_Family",2,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"12",10279,"LIS16_vs_DEN17","Viruses_Family",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"13",10279,"LIS16_vs_SAC16","Viruses_Family",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"14",10279,"SAC16_vs_SAN17","Viruses_Family",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"15",10279,"TOK16_vs_DEN17","Viruses_Genus",2,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"16",10279,"TOK16_vs_NYC17","Viruses_Genus",2,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"17",10376,"LIS16_vs_ILR17","Viruses_Phylum",3,"Viruses","Peploviricota",NA,NA,NA,NA
"18",10376,"AKL16_vs_LIS16","Viruses_Class",2,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"19",10376,"BER16_vs_SAO17","Viruses_Family",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"20",10376,"BER16_vs_TOK17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"21",10376,"DEN16_vs_LIS16","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"22",10376,"DOH16_vs_LIS16","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"23",10376,"LIS16_vs_SAN17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"24",10376,"NYC16_vs_SAO17","Viruses_Family",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"25",10376,"NYC16_vs_TOK17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"26",10376,"TOK16_vs_SAO17","Viruses_Family",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"27",10376,"TOK16_vs_TOK17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"28",10376,"TOK17_vs_VIE17","Viruses_Family",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"29",10449,"AKL16_vs_NYC17","Viruses_Genus",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"30",10449,"AKL16_vs_TOK17","Viruses_Genus",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"31",10449,"DEN17_vs_NYC17","Viruses_Genus",3,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"32",10449,"DEN17_vs_TOK17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"33",10449,"ILR16_vs_NYC17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"34",10449,"ILR16_vs_TOK17","Viruses_Genus",3,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"35",10449,"LIS16_vs_NYC17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"36",10449,"LIS16_vs_TOK17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"37",10449,"LIS16_vs_VIE17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"38",10449,"LIS16_vs_ZRH17","Viruses_Genus",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"39",10449,"MIN17_vs_NYC17","Viruses_Genus",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"40",10449,"MIN17_vs_TOK17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"41",10449,"MIN17_vs_VIE17","Viruses_Genus",3,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"42",10449,"MIN17_vs_ZRH17","Viruses_Genus",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"43",10449,"SAC16_vs_MIN17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Alphabaculovirus"
"44",12657,"BER16_vs_TOK16","Viruses_Genus",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Percavirus"
"45",40058,"BOG16_vs_ILR16","Viruses_Phylum",2,"Viruses","Duplornaviricota",NA,NA,NA,NA
"46",40058,"ILR16_vs_TOK16","Viruses_Family",1,"Viruses","Duplornaviricota","Resentoviricetes","Reovirales","Sedoreoviridae",NA
"47",50292,"BOG16_vs_SAO17","Viruses_Genus",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus"
"48",50292,"ILR17_vs_SAO17","Viruses_Genus",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus"
"49",50292,"TOK16_vs_SAO17","Viruses_Genus",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Cytomegalovirus"
"50",56947,"AKL16_vs_DEN16","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"51",56947,"AKL16_vs_DOH17","Viruses_Class",3,"Viruses","","Naldaviricetes",NA,NA,NA
"52",56947,"AKL16_vs_ILR16","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"53",56947,"AKL16_vs_NYC16","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"54",56947,"AKL16_vs_NYC17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"55",56947,"AKL16_vs_VIE17","Viruses_Class",3,"Viruses","","Naldaviricetes",NA,NA,NA
"56",56947,"AKL16_vs_ZRH17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"57",56947,"BAL17_vs_MIN17","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"58",56947,"DEN17_vs_VIE17","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"59",56947,"ILR16_vs_LIS16","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"60",56947,"ILR16_vs_SAO17","Viruses_Class",3,"Viruses","","Naldaviricetes",NA,NA,NA
"61",56947,"ILR16_vs_VIE17","Viruses_Class",3,"Viruses","","Naldaviricetes",NA,NA,NA
"62",56947,"ILR16_vs_ZRH17","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"63",56947,"ILR17_vs_MIN17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"64",56947,"MIN17_vs_NYC17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"65",56947,"NYC17_vs_SAO17","Viruses_Class",3,"Viruses","","Naldaviricetes",NA,NA,NA
"66",56947,"SAC16_vs_VIE17","Viruses_Class",3,"Viruses","","Naldaviricetes",NA,NA,NA
"67",56947,"SAC16_vs_ZRH17","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"68",56947,"AKL16_vs_MIN17","Viruses_Order",1,"Viruses","","Naldaviricetes","Lefavirales",NA,NA
"69",56947,"DEN17_vs_SAO17","Viruses_Order",3,"Viruses","","Naldaviricetes","Lefavirales",NA,NA
"70",56947,"ILR16_vs_MIN17","Viruses_Order",1,"Viruses","","Naldaviricetes","Lefavirales",NA,NA
"71",56947,"MIN17_vs_SAN17","Viruses_Order",1,"Viruses","","Naldaviricetes","Lefavirales",NA,NA
"72",56947,"SAC16_vs_MIN17","Viruses_Order",3,"Viruses","","Naldaviricetes","Lefavirales",NA,NA
"73",56947,"AKL16_vs_DEN17","Viruses_Family",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae",NA
"74",56947,"BER16_vs_MIN17","Viruses_Family",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae",NA
"75",56947,"DEN16_vs_DEN17","Viruses_Family",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae",NA
"76",56947,"DEN16_vs_MIN17","Viruses_Family",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae",NA
"77",56947,"DEN17_vs_TOK17","Viruses_Family",3,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae",NA
