"","OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
"1",10279,3.32116581462346e-09,"zip",86.1837571296313,"BER16","NYC17","BER16_vs_NYC17",9.29926428094569e-08,"Viruses_Family",3,"10279Viruses_Family"
"2",10279,4.28905625058276e-10,"zip",57.755878564542,"BER16","SAC16","BER16_vs_SAC16",9.43592375128206e-09,"Viruses_Family",2,"10279Viruses_Family"
"3",10279,1.78725069846771e-05,"zip",69.0426776257902,"DEN16","NYC17","DEN16_vs_NYC17",0.000214470083816125,"Viruses_Order",1,"10279Viruses_Order"
"4",10279,0.000781089636780756,"zip",23.3546991210254,"ILR16","ILR17","ILR16_vs_ILR17",0.00195272409195189,"Viruses_Class",3,"10279Viruses_Class"
"5",10279,0.109212455553564,"zip",22.5941297171728,"ILR16","LIS16","ILR16_vs_LIS16",0.369666188694917,"Viruses_Class",3,"10279Viruses_Class"
"6",10279,0.0858820101403932,"zip",23.5735712199794,"ILR16","SAN17","ILR16_vs_SAN17",0.228792524684275,"Viruses_Family",3,"10279Viruses_Family"
"7",10279,0.0780979595865685,"zip",33.8648958449834,"LIS16","DEN17","LIS16_vs_DEN17",0.119588306852438,"Viruses_Family",3,"10279Viruses_Family"
"8",10279,0.000137419574598516,"zip",45.2232130332422,"SAC16","BAL17","SAC16_vs_BAL17",0.000545434918174271,"Viruses_Class",3,"10279Viruses_Class"
"9",10279,0.0176602181419881,"zip",33.1885156143877,"SAC16","SAN17","SAC16_vs_SAN17",0.229582835845846,"Viruses_Family",1,"10279Viruses_Family"
"10",10279,2.25231628321523e-10,"zip",34.9845995725877,"TOK16","NYC17","TOK16_vs_NYC17",7.65787536293179e-09,"Viruses_Genus",3,"10279Viruses_Genus"
"11",10376,0.153176421731584,"zip",18.791114912773,"AKL16","LIS16","AKL16_vs_LIS16",0.765882108657919,"Viruses_Class",2,"10376Viruses_Class"
"12",10376,0.00336249599479202,"zip",69.9272011876245,"BER16","LIS16","BER16_vs_LIS16",0.00840623998698005,"Viruses_Phylum",3,"10376Viruses_Phylum"
"13",10376,0.000325578367715192,"zip",64.7688470222476,"BER16","SAO17","BER16_vs_SAO17",0.00260462694172153,"Viruses_Family",1,"10376Viruses_Family"
"14",10376,1.34828590814399e-10,"zip",100.474629829915,"BER16","TOK17","BER16_vs_TOK17",1.34828590814399e-09,"Viruses_Family",3,"10376Viruses_Family"
"15",10376,0.029548694913459,"zip",27.3235313480627,"DEN16","LIS16","DEN16_vs_LIS16",0.236389559307672,"Viruses_Order",3,"10376Viruses_Order"
"16",10376,0.196651178245579,"zip",20.1305397405342,"DOH16","LIS16","DOH16_vs_LIS16",0.294976767368368,"Viruses_Family",2,"10376Viruses_Family"
"17",10376,0.00287221993968455,"zip",66.4378987284849,"ILR17","SAO17","ILR17_vs_SAO17",0.0172333196381073,"Viruses_Class",3,"10376Viruses_Class"
"18",10376,0.00296176604146117,"zip",46.1240955143237,"LIS16","ILR17","LIS16_vs_ILR17",0.00740441510365292,"Viruses_Phylum",3,"10376Viruses_Phylum"
"19",10376,0.253766042263252,"zip",27.8827400361201,"LIS16","SAN17","LIS16_vs_SAN17",0.507532084526504,"Viruses_Family",2,"10376Viruses_Family"
"20",10376,0.00683287933389489,"zip",103.484212415905,"NYC16","SAO17","NYC16_vs_SAO17",0.0273315173355796,"Viruses_Family",2,"10376Viruses_Family"
"21",10376,0.00515928008642979,"zip",81.6134510924247,"NYC17","SAO17","NYC17_vs_SAO17",0.0180574803025043,"Viruses_Class",3,"10376Viruses_Class"
"22",10376,8.50799718841693e-06,"zip",96.3597213187325,"TOK17","VIE17","TOK17_vs_VIE17",9.35879690725862e-05,"Viruses_Family",1,"10376Viruses_Family"
"23",10449,0.00120010450490942,"zip",40.5017823659757,"AKL16","NYC17","AKL16_vs_NYC17",0.00840073153436596,"Viruses_Genus",2,"10449Viruses_Genus"
"24",10449,0.00106914593114259,"zip",30.5712179223861,"AKL16","TOK17","AKL16_vs_TOK17",0.0128057037461763,"Viruses_Genus",2,"10449Viruses_Genus"
"25",10449,3.09619906012482e-06,"zip",36.2717848021393,"DEN17","TOK17","DEN17_vs_TOK17",4.02505877816227e-05,"Viruses_Genus",3,"10449Viruses_Genus"
"26",10449,0.577347023587866,"zip",27.6837433007268,"ILR16","MIN17","ILR16_vs_MIN17",0.577347023587866,"Viruses_Genus",3,"10449Viruses_Genus"
"27",10449,0.00421186859870244,"zip",44.99750395151,"ILR16","NYC17","ILR16_vs_NYC17",0.0182552887449293,"Viruses_Genus",2,"10449Viruses_Genus"
"28",10449,0.00271995340459473,"zip",35.0668403577375,"ILR16","TOK17","ILR16_vs_TOK17",0.0108798136183789,"Viruses_Genus",3,"10449Viruses_Genus"
"29",10449,0.00160262356461337,"zip",42.8545784056441,"LIS16","NYC17","LIS16_vs_NYC17",0.0048078706938401,"Viruses_Genus",1,"10449Viruses_Genus"
"30",10449,0.00112545124199075,"zip",32.923948610044,"LIS16","TOK17","LIS16_vs_TOK17",0.00562725620995374,"Viruses_Genus",1,"10449Viruses_Genus"
"31",10449,0.000922062118612242,"zip",25.9558038819043,"LIS16","VIE17","LIS16_vs_VIE17",0.00368824847444897,"Viruses_Genus",1,"10449Viruses_Genus"
"32",10449,0.00286833673538335,"zip",33.1442849425808,"LIS16","ZRH17","LIS16_vs_ZRH17",0.0200783571476834,"Viruses_Genus",3,"10449Viruses_Genus"
"33",10449,3.22221444903324e-06,"zip",46.8187801051212,"MIN17","NYC17","MIN17_vs_NYC17",4.51110022864653e-05,"Viruses_Genus",2,"10449Viruses_Genus"
"34",10449,7.00755127436305e-06,"zip",36.8881054629643,"MIN17","TOK17","MIN17_vs_TOK17",8.40906152923566e-05,"Viruses_Genus",1,"10449Viruses_Genus"
