"","OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
"1",72,5.71030776697441e-06,"zinb",187.683197416033,"MIN17","NYC17","MIN17_vs_NYC17",0.00299791157766157,"AB_Genus",1,"72AB_Genus"
"2",128,3.45460255336351e-81,"zinb",257.420836484221,"ILR16","DEN17","ILR16_vs_DEN17",9.81107125155236e-79,"AB_Genus",3,"128AB_Genus"
"3",128,1.17627880774518e-54,"zinb",347.150558563143,"ILR16","TOK16","ILR16_vs_TOK16",1.9369391034204e-52,"AB_Genus",3,"128AB_Genus"
"4",297,6.46386252152996e-61,"zinb",580.680278583266,"ILR16","SAO17","ILR16_vs_SAO17",1.50607996751648e-58,"AB_Family",3,"297AB_Family"
"5",565,1.49173510229311e-51,"zinb",405.502519414817,"DOH16","SAO17","DOH16_vs_SAO17",1.63344993701096e-48,"AB_Genus",1,"565AB_Genus"
"6",565,6.84231169788178e-50,"zinb",686.340864866924,"NYC16","SAO17","NYC16_vs_SAO17",7.20495421786952e-47,"AB_Genus",1,"565AB_Genus"
"7",565,6.89889628079308e-53,"zinb",652.740164506035,"TOK16","SAO17","TOK16_vs_SAO17",3.63226889183756e-50,"AB_Genus",2,"565AB_Genus"
"8",566,2.7887529928966e-57,"zinb",433.438427082439,"DOH16","TOK17","DOH16_vs_TOK17",2.41227133885556e-54,"AB_Genus",1,"566AB_Genus"
"9",566,5.30741739852845e-43,"zinb",817.945000286507,"NYC16","TOK17","NYC16_vs_TOK17",4.29900809280804e-40,"AB_Genus",1,"566AB_Genus"
"10",566,2.71531332847243e-33,"zinb",506.537858035077,"SAC16","TOK17","SAC16_vs_TOK17",2.1966884827342e-30,"AB_Genus",1,"566AB_Genus"
"11",566,3.2966808655988e-25,"zinb",624.437821970933,"TOK16","TOK17","TOK16_vs_TOK17",1.33515575056752e-22,"AB_Genus",2,"566AB_Genus"
"12",833,5.73739655489054e-06,"zinb",244.988734904693,"DOH17","ZRH17","DOH17_vs_ZRH17",0.000344243793293432,"AB_Order",3,"833AB_Order"
"13",1260,5.14951670718841e-59,"zinb",259.520740331985,"AKL16","BAL17","AKL16_vs_BAL17",7.65218182688197e-56,"AB_Genus",1,"1260AB_Genus"
"14",1260,1.14994578642978e-75,"zinb",357.884097088927,"AKL16","BER16","AKL16_vs_BER16",1.70996938442109e-72,"AB_Genus",1,"1260AB_Genus"
"15",1260,4.71952927769779e-53,"zinb",382.604036460975,"AKL16","BOG16","AKL16_vs_BOG16",3.47357354838557e-50,"AB_Genus",2,"1260AB_Genus"
"16",1260,1.30645481314684e-64,"zinb",352.773855716807,"AKL16","DEN17","AKL16_vs_DEN17",1.93616603308361e-61,"AB_Genus",1,"1260AB_Genus"
"17",1260,1.30565109177984e-35,"zinb",267.955157319553,"AKL16","DOH17","AKL16_vs_DOH17",9.65528982371188e-33,"AB_Genus",3,"1260AB_Genus"
"18",1260,8.22509346993166e-100,"zinb",570.381749230719,"AKL16","TOK16","AKL16_vs_TOK16",1.21320128681492e-96,"AB_Genus",1,"1260AB_Genus"
"19",1379,6.47457279650903e-59,"zinb",395.09374727109,"BER16","LIS16","BER16_vs_LIS16",3.48116197358969e-56,"AB_Genus",3,"1379AB_Genus"
"20",1379,1.40640284362276e-52,"zinb",387.622523179183,"DEN16","LIS16","DEN16_vs_LIS16",7.5945753555629e-50,"AB_Genus",3,"1379AB_Genus"
"21",1379,2.82486003418508e-64,"zinb",577.120889423753,"LIS16","TOK16","LIS16_vs_TOK16",4.40678165332872e-61,"AB_Genus",1,"1379AB_Genus"
"22",1382,1.08894833308025e-16,"zinb",276.29887450321,"BER16","SAN17","BER16_vs_SAN17",2.76229893824691e-14,"AB_Genus",3,"1382AB_Genus"
"23",1382,1.67712904197964e-13,"zinb",333.167346059641,"DEN17","SAN17","DEN17_vs_SAN17",6.87622907211654e-11,"AB_Genus",2,"1382AB_Genus"
"24",1382,1.86630658070921e-12,"zinb",450.010720053699,"NYC16","SAN17","NYC16_vs_SAN17",6.51340996667516e-10,"AB_Genus",2,"1382AB_Genus"
"25",1382,4.68821299391964e-12,"zinb",262.572145988568,"SAN17","ZRH17","SAN17_vs_ZRH17",1.62446580239315e-09,"AB_Genus",2,"1382AB_Genus"
"26",1505,9.25975804791701e-27,"zinb",254.969721626963,"BER16","VIE17","BER16_vs_VIE17",1.9754150502223e-24,"AB_Genus",3,"1505AB_Genus"
"27",1505,6.67465531017905e-24,"zinb",261.890473343317,"BER16","ZRH17","BER16_vs_ZRH17",4.43197112595889e-21,"AB_Genus",1,"1505AB_Genus"
"28",1505,9.69992440459723e-50,"zinb",269.319636756616,"BOG16","VIE17","BOG16_vs_VIE17",2.60442970263436e-47,"AB_Genus",2,"1505AB_Genus"
