"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",297,"AKL16_vs_DOH16","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"2",297,"AKL16_vs_SAO17","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"3",297,"AKL16_vs_TOK17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"4",297,"BER16_vs_ILR16","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"5",297,"BOG16_vs_ILR16","AB_Class",1,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"6",297,"DEN16_vs_SAO17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"7",297,"DOH16_vs_ILR16","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"8",297,"ILR16_vs_DEN17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"9",297,"ILR16_vs_DOH17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"10",297,"ILR16_vs_SAO17","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"11",297,"ILR16_vs_TOK16","AB_Class",2,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"12",297,"LIS16_vs_SAO17","AB_Class",3,"Bacteria","Pseudomonadota","Hydrogenophilia",NA,NA,NA
"13",297,"ILR16_vs_BAL17","AB_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
"14",297,"ILR16_vs_ILR17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
"15",297,"ILR16_vs_MIN17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
"16",297,"ILR16_vs_NYC16","AB_Order",2,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
"17",297,"ILR16_vs_NYC17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
"18",297,"ILR16_vs_TOK17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
"19",297,"ILR16_vs_ZRH17","AB_Order",3,"Bacteria","Pseudomonadota","Hydrogenophilia","Hydrogenophilales",NA,NA
"20",500,"ILR16_vs_SAN17","AB_Order",3,"Bacteria","Thermomicrobiota","Thermomicrobia","Thermomicrobiales",NA,NA
