"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",3708,"DOH16_vs_ILR17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"2",3708,"DOH16_vs_MIN17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"3",3708,"DOH17_vs_ILR17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"4",3708,"DOH17_vs_MIN17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"5",3708,"ILR17_vs_SAO17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"6",3708,"ILR17_vs_ZRH17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"7",3708,"LIS16_vs_SAN17","Eukarya_Phylum",3,"Eukaryota","Streptophyta",NA,NA,NA,NA
"8",3708,"MIN17_vs_SAO17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"9",3708,"MIN17_vs_ZRH17","Eukarya_Phylum",5,"Eukaryota","Streptophyta",NA,NA,NA,NA
"10",3708,"BAL17_vs_MIN17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"11",3708,"BAL17_vs_SAN17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"12",3708,"BAL17_vs_TOK17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"13",3708,"BER16_vs_ILR17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"14",3708,"BER16_vs_TOK16","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"15",3708,"BOG16_vs_ILR17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"16",3708,"BOG16_vs_MIN17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"17",3708,"BOG16_vs_SAC16","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"18",3708,"BOG16_vs_TOK16","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"19",3708,"BOG16_vs_TOK17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"20",3708,"DEN16_vs_ILR17","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"21",3708,"DEN16_vs_LIS16","Eukarya_Class",5,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"22",3708,"LIS16_vs_ILR17","Eukarya_Class",4,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
