"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",3708,"MIN17_vs_SAN17","Eukarya_Phylum",2,"Eukaryota","Streptophyta",NA,NA,NA,NA
"2",3708,"SAC16_vs_TOK17","Eukarya_Phylum",2,"Eukaryota","Streptophyta",NA,NA,NA,NA
"3",3708,"BER16_vs_DEN16","Eukarya_Class",3,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"4",3708,"BER16_vs_NYC16","Eukarya_Class",2,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"5",3708,"DEN16_vs_NYC16","Eukarya_Class",3,"Eukaryota","Streptophyta","Magnoliopsida",NA,NA,NA
"6",3708,"BER16_vs_ILR17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"7",3708,"BER16_vs_MIN17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"8",3708,"BER16_vs_TOK16","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"9",3708,"BER16_vs_TOK17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"10",3708,"BOG16_vs_BAL17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"11",3708,"BOG16_vs_ILR17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"12",3708,"BOG16_vs_NYC16","Eukarya_Order",3,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"13",3708,"BOG16_vs_SAC16","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"14",3708,"BOG16_vs_TOK16","Eukarya_Order",3,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"15",3708,"DEN16_vs_ILR17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"16",3708,"DEN16_vs_MIN17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"17",3708,"ILR17_vs_MIN17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"18",3708,"ILR17_vs_SAN17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"19",3708,"ILR17_vs_TOK17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"20",3708,"MIN17_vs_TOK17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"21",3708,"NYC16_vs_BAL17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"22",3708,"NYC16_vs_ILR17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"23",3708,"NYC16_vs_MIN17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"24",3708,"NYC16_vs_SAC16","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"25",3708,"NYC16_vs_TOK17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"26",3708,"SAC16_vs_BAL17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"27",3708,"SAC16_vs_MIN17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"28",3708,"SAC16_vs_SAN17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"29",3708,"SAC16_vs_TOK16","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"30",3708,"TOK16_vs_BAL17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"31",3708,"TOK16_vs_ILR17","Eukarya_Order",2,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales",NA,NA
"32",3708,"BAL17_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica"
"33",3708,"BER16_vs_BAL17","Eukarya_Genus",3,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica"
"34",3708,"BER16_vs_SAC16","Eukarya_Genus",3,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica"
"35",3708,"SAC16_vs_ILR17","Eukarya_Genus",3,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica"
"36",5761,"BOG16_vs_DEN16","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"37",5761,"BOG16_vs_DOH16","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"38",5761,"BOG16_vs_DOH17","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"39",5761,"DEN16_vs_MIN17","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"40",5761,"DEN16_vs_NYC17","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"41",5761,"DEN16_vs_VIE17","Eukarya_Phylum",2,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"42",5761,"DEN16_vs_ZRH17","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"43",5761,"DEN17_vs_NYC17","Eukarya_Phylum",2,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"44",5761,"DEN17_vs_VIE17","Eukarya_Phylum",1,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"45",5761,"DEN17_vs_ZRH17","Eukarya_Phylum",2,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"46",5761,"DOH16_vs_DOH17","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
"47",5761,"DOH17_vs_SAO17","Eukarya_Phylum",3,"Eukaryota","Heterolobosea",NA,NA,NA,NA
