"","OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
"1",10265,1.25048992491353e-08,"zip",50.8842856592033,"SAO17","TOK17","SAO17_vs_TOK17",1.071007841573e-06,"Viruses_Genus",5,"10265Viruses_Genus"
"2",10279,9.72854937054375e-12,"nb",224.155688537941,"BAL17","SAN17","BAL17_vs_SAN17",8.66369406720858e-11,"Viruses_Class",3,"10279Viruses_Class"
"3",10279,2.11863637624249e-14,"nb",230.272940634737,"DOH17","SAN17","DOH17_vs_SAN17",1.12161229497403e-12,"Viruses_Class",2,"10279Viruses_Class"
"4",10279,1.12904174673716e-12,"nb",262.495670335033,"SAN17","ZRH17","SAN17_vs_ZRH17",1.30505646007465e-10,"Viruses_Class",4,"10279Viruses_Class"
"5",10279,6.60609976445198e-15,"nb",277.384441877623,"TOK16","DEN17","TOK16_vs_DEN17",3.51631201592623e-13,"Viruses_Genus",4,"10279Viruses_Genus"
"6",10288,3.03877602668819e-15,"nb",152.345151519253,"BOG16","ILR17","BOG16_vs_ILR17",4.71485092890839e-14,"Viruses_Genus",5,"10288Viruses_Genus"
"7",10288,2.03709480335729e-14,"nb",170.090148710771,"BOG16","VIE17","BOG16_vs_VIE17",3.36631619511317e-13,"Viruses_Genus",5,"10288Viruses_Genus"
"8",10288,5.29180995947033e-27,"nb",211.249339032527,"DEN16","TOK17","DEN16_vs_TOK17",3.86806108942236e-25,"Viruses_Genus",3,"10288Viruses_Genus"
"9",10288,1.74041955276669e-11,"zip",94.1676680241218,"DOH16","BAL17","DOH16_vs_BAL17",6.75344944314646e-10,"Viruses_Genus",3,"10288Viruses_Genus"
"10",10288,2.71626259708951e-15,"nb",105.920609147182,"ILR17","SAN17","ILR17_vs_SAN17",9.6374681448672e-14,"Viruses_Genus",3,"10288Viruses_Genus"
"11",10288,5.39726024369101e-21,"nb",281.966489345576,"NYC16","TOK17","NYC16_vs_TOK17",7.06046859773369e-19,"Viruses_Genus",5,"10288Viruses_Genus"
"12",10288,4.00937063660625e-16,"nb",116.81516685678,"SAC16","ILR17","SAC16_vs_ILR17",6.90868417904764e-15,"Viruses_Genus",3,"10288Viruses_Genus"
"13",10298,1.72670367019044e-14,"p",101.692288354346,"BAL17","MIN17","BAL17_vs_MIN17",7.70473353467082e-13,"Viruses_Genus",5,"10298Viruses_Genus"
"14",10298,1.27832030139697e-11,"nb",157.87885368384,"DEN16","DEN17","DEN16_vs_DEN17",9.10187690717319e-11,"Viruses_Genus",3,"10298Viruses_Genus"
"15",10345,2.1695887915553e-24,"p",112.720478654102,"DEN16","MIN17","DEN16_vs_MIN17",4.43397493121009e-23,"Viruses_Genus",4,"10345Viruses_Genus"
