"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",10265,"SAO17_vs_TOK17","Viruses_Genus",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Capripoxvirus"
"2",10279,"BAL17_vs_SAN17","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"3",10279,"DOH17_vs_SAN17","Viruses_Class",2,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"4",10279,"SAN17_vs_ZRH17","Viruses_Class",4,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"5",10279,"TOK16_vs_DEN17","Viruses_Genus",4,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"6",10288,"BOG16_vs_ILR17","Viruses_Genus",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"7",10288,"BOG16_vs_VIE17","Viruses_Genus",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"8",10288,"DEN16_vs_TOK17","Viruses_Genus",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"9",10288,"DOH16_vs_BAL17","Viruses_Genus",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"10",10288,"ILR17_vs_SAN17","Viruses_Genus",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"11",10288,"NYC16_vs_TOK17","Viruses_Genus",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"12",10288,"SAC16_vs_ILR17","Viruses_Genus",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"13",10298,"BAL17_vs_MIN17","Viruses_Genus",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus"
"14",10298,"DEN16_vs_DEN17","Viruses_Genus",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus"
"15",10345,"DEN16_vs_MIN17","Viruses_Genus",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus"
"16",10376,"BAL17_vs_SAN17","Viruses_Phylum",4,"Viruses","Peploviricota",NA,NA,NA,NA
"17",10376,"DEN17_vs_SAN17","Viruses_Phylum",4,"Viruses","Peploviricota",NA,NA,NA,NA
"18",10376,"DOH16_vs_SAN17","Viruses_Phylum",4,"Viruses","Peploviricota",NA,NA,NA,NA
"19",10376,"NYC16_vs_SAN17","Viruses_Phylum",5,"Viruses","Peploviricota",NA,NA,NA,NA
"20",10376,"BAL17_vs_MIN17","Viruses_Class",4,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"21",10376,"LIS16_vs_MIN17","Viruses_Class",2,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"22",10376,"DEN16_vs_DOH17","Viruses_Order",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"23",10376,"DEN16_vs_ILR17","Viruses_Order",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"24",10376,"DEN16_vs_VIE17","Viruses_Order",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"25",10376,"DOH16_vs_ILR17","Viruses_Order",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"26",10376,"NYC16_vs_TOK17","Viruses_Order",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"27",10376,"DEN16_vs_MIN17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"28",10376,"DEN16_vs_SAO17","Viruses_Family",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"29",10376,"DEN16_vs_TOK17","Viruses_Family",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"30",10376,"DOH16_vs_MIN17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"31",10376,"NYC16_vs_ILR17","Viruses_Family",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"32",10397,"NYC17_vs_SAN17","Viruses_Genus",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Quwivirus"
"33",10491,"DEN17_vs_TOK17","Viruses_Genus",1,"Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae","Chloriridovirus"
"34",10491,"DEN17_vs_ZRH17","Viruses_Genus",4,"Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae","Chloriridovirus"
"35",10491,"DOH16_vs_TOK17","Viruses_Genus",5,"Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae","Chloriridovirus"
"36",10491,"DOH16_vs_ZRH17","Viruses_Genus",5,"Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae","Chloriridovirus"
