"","OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
"1",10279,9.72854937054375e-12,"nb",224.155688537941,"BAL17","SAN17","BAL17_vs_SAN17",3.01585030486856e-10,"Viruses_Class",3,"10279Viruses_Class"
"2",10279,5.36671660797156e-10,"nb",214.274279111868,"BER16","DEN17","BER16_vs_DEN17",2.75133671435342e-07,"Viruses_Genus",3,"10279Viruses_Genus"
"3",10279,6.67406647237598e-08,"nb",309.964000721537,"BOG16","SAN17","BOG16_vs_SAN17",2.53614525950287e-06,"Viruses_Class",5,"10279Viruses_Class"
"4",10279,2.11863637624249e-14,"nb",230.272940634737,"DOH17","SAN17","DOH17_vs_SAN17",6.56777276635173e-13,"Viruses_Class",2,"10279Viruses_Class"
"5",10279,8.29745368775149e-14,"nb",279.329676587247,"ILR17","SAN17","ILR17_vs_SAN17",9.68036263571007e-13,"Viruses_Class",5,"10279Viruses_Class"
"6",10279,9.09804039832217e-09,"nb",280.020520487442,"SAN17","SAO17","SAN17_vs_SAO17",1.50117666572316e-07,"Viruses_Class",5,"10279Viruses_Class"
"7",10279,1.12904174673716e-12,"nb",262.495670335033,"SAN17","ZRH17","SAN17_vs_ZRH17",3.61293358955891e-11,"Viruses_Class",4,"10279Viruses_Class"
"8",10279,6.60609976445198e-15,"nb",277.384441877623,"TOK16","DEN17","TOK16_vs_DEN17",3.37326857592215e-12,"Viruses_Genus",5,"10279Viruses_Genus"
"9",10288,5.29180995947033e-27,"nb",211.249339032527,"DEN16","TOK17","DEN16_vs_TOK17",2.37073086184271e-24,"Viruses_Genus",4,"10288Viruses_Genus"
"10",10298,7.71337010511757e-13,"nb",103.604707944599,"BAL17","MIN17","BAL17_vs_MIN17",4.0610893603444e-10,"Viruses_Genus",4,"10298Viruses_Genus"
"11",10298,1.27832030139697e-11,"nb",157.87885368384,"DEN16","DEN17","DEN16_vs_DEN17",8.68618644799239e-09,"Viruses_Genus",3,"10298Viruses_Genus"
"12",10298,1.17465265459219e-16,"nb",124.482165325016,"DEN16","SAN17","DEN16_vs_SAN17",7.89953910213249e-14,"Viruses_Genus",4,"10298Viruses_Genus"
