"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",10279,"BAL17_vs_SAN17","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"2",10279,"BOG16_vs_SAN17","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"3",10279,"DOH17_vs_SAN17","Viruses_Class",2,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"4",10279,"ILR17_vs_SAN17","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"5",10279,"SAN17_vs_SAO17","Viruses_Class",5,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"6",10279,"SAN17_vs_ZRH17","Viruses_Class",4,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"7",10279,"BER16_vs_DEN17","Viruses_Genus",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"8",10279,"TOK16_vs_DEN17","Viruses_Genus",5,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"9",10288,"DEN16_vs_TOK17","Viruses_Genus",4,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Betaentomopoxvirus"
"10",10298,"BAL17_vs_MIN17","Viruses_Genus",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus"
"11",10298,"DEN16_vs_DEN17","Viruses_Genus",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus"
"12",10298,"DEN16_vs_SAN17","Viruses_Genus",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus"
"13",10376,"BAL17_vs_SAN17","Viruses_Phylum",4,"Viruses","Peploviricota",NA,NA,NA,NA
"14",10376,"DEN17_vs_SAN17","Viruses_Phylum",3,"Viruses","Peploviricota",NA,NA,NA,NA
"15",10376,"LIS16_vs_SAN17","Viruses_Phylum",5,"Viruses","Peploviricota",NA,NA,NA,NA
"16",10376,"NYC16_vs_SAN17","Viruses_Phylum",4,"Viruses","Peploviricota",NA,NA,NA,NA
"17",10376,"BAL17_vs_MIN17","Viruses_Class",2,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"18",10376,"DOH16_vs_SAN17","Viruses_Class",5,"Viruses","Peploviricota","Herviviricetes",NA,NA,NA
"19",10376,"AKL16_vs_MIN17","Viruses_Order",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"20",10376,"DEN16_vs_DOH17","Viruses_Order",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"21",10376,"DEN16_vs_ILR17","Viruses_Order",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"22",10376,"DEN16_vs_TOK17","Viruses_Order",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"23",10376,"DEN16_vs_VIE17","Viruses_Order",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"24",10376,"DOH16_vs_ILR17","Viruses_Order",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"25",10376,"DOH16_vs_VIE17","Viruses_Order",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"26",10376,"LIS16_vs_ILR17","Viruses_Order",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"27",10376,"NYC16_vs_TOK17","Viruses_Order",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"28",10376,"DEN16_vs_MIN17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"29",10376,"DEN16_vs_SAO17","Viruses_Family",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"30",10376,"DOH16_vs_MIN17","Viruses_Family",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"31",10376,"DOH16_vs_SAO17","Viruses_Family",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"32",10376,"LIS16_vs_MIN17","Viruses_Family",5,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"33",10376,"NYC16_vs_SAO17","Viruses_Family",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"34",10397,"NYC17_vs_SAN17","Viruses_Genus",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Quwivirus"
"35",50294,"ILR17_vs_MIN17","Viruses_Genus",4,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Iltovirus"
"36",55510,"ILR16_vs_TOK17","Viruses_Genus",5,"Viruses","Uroviricota","Caudoviricetes","","Herelleviridae","Twortvirus"
"37",56947,"BAL17_vs_DOH17","Viruses_Genus",5,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Betabaculovirus"
"38",56947,"DOH17_vs_SAN17","Viruses_Genus",4,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Betabaculovirus"
"39",56947,"SAC16_vs_DOH17","Viruses_Genus",4,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Betabaculovirus"
"40",107324,"DOH16_vs_BAL17","Viruses_Genus",3,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Solendovirus"
"41",107324,"DOH16_vs_DOH17","Viruses_Genus",5,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Solendovirus"
"42",107324,"DOH16_vs_NYC17","Viruses_Genus",5,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Solendovirus"
"43",107324,"DOH16_vs_SAO17","Viruses_Genus",5,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Solendovirus"
"44",107324,"DOH16_vs_ZRH17","Viruses_Genus",1,"Viruses","Artverviricota","Revtraviricetes","Ortervirales","Caulimoviridae","Solendovirus"
"45",119164,"DOH16_vs_BAL17","Viruses_Phylum",4,"Viruses","Pisuviricota",NA,NA,NA,NA
