"","OTU","locs","hlevel","sign_rank","Kingdom","Phylum","Class","Order","Family","Genus"
"1",10279,"AKL16_vs_DOH16","Viruses_Class",1,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"2",10279,"AKL16_vs_SAO17","Viruses_Class",1,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"3",10279,"SAN17_vs_SAO17","Viruses_Class",3,"Viruses","Nucleocytoviricota","Pokkesviricetes",NA,NA,NA
"4",10279,"SAO17_vs_ZRH17","Viruses_Family",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae",NA
"5",10279,"BAL17_vs_DEN17","Viruses_Genus",3,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"6",10279,"BER16_vs_DEN17","Viruses_Genus",2,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"7",10279,"BOG16_vs_DEN17","Viruses_Genus",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"8",10279,"NYC16_vs_DEN17","Viruses_Genus",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"9",10279,"SAC16_vs_DEN17","Viruses_Genus",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"10",10279,"TOK16_vs_DEN17","Viruses_Genus",1,"Viruses","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Molluscipoxvirus"
"11",10298,"TOK16_vs_MIN17","Viruses_Genus",1,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Simplexvirus"
"12",10345,"MIN17_vs_NYC17","Viruses_Genus",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus"
"13",10345,"MIN17_vs_VIE17","Viruses_Genus",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus"
"14",10345,"MIN17_vs_ZRH17","Viruses_Genus",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus"
"15",10345,"NYC16_vs_SAN17","Viruses_Genus",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Varicellovirus"
"16",10376,"LIS16_vs_MIN17","Viruses_Phylum",3,"Viruses","Peploviricota",NA,NA,NA,NA
"17",10376,"DEN16_vs_DOH16","Viruses_Order",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"18",10376,"DEN16_vs_DOH17","Viruses_Order",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales",NA,NA
"19",10376,"DEN16_vs_MIN17","Viruses_Family",2,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"20",10376,"DEN16_vs_SAC16","Viruses_Family",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae",NA
"21",10492,"AKL16_vs_MIN17","Viruses_Genus",1,"Viruses","Nucleocytoviricota","Megaviricetes","Pimascovirales","Iridoviridae","Ranavirus"
"22",50294,"BAL17_vs_MIN17","Viruses_Genus",3,"Viruses","Peploviricota","Herviviricetes","Herpesvirales","Herpesviridae","Iltovirus"
"23",56947,"DOH17_vs_SAN17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"24",56947,"ILR16_vs_SAN17","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"25",56947,"ILR17_vs_SAN17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"26",56947,"NYC16_vs_SAO17","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"27",56947,"NYC17_vs_SAN17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"28",56947,"SAN17_vs_TOK17","Viruses_Class",3,"Viruses","","Naldaviricetes",NA,NA,NA
"29",56947,"SAN17_vs_VIE17","Viruses_Class",1,"Viruses","","Naldaviricetes",NA,NA,NA
"30",56947,"SAN17_vs_ZRH17","Viruses_Class",2,"Viruses","","Naldaviricetes",NA,NA,NA
"31",56947,"BAL17_vs_ILR17","Viruses_Genus",2,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Betabaculovirus"
"32",56947,"BAL17_vs_VIE17","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Betabaculovirus"
"33",56947,"BER16_vs_NYC16","Viruses_Genus",1,"Viruses","","Naldaviricetes","Lefavirales","Baculoviridae","Betabaculovirus"
