"V1","aro","pvalues","score","loc1","loc2","locs","adj_pvalues","sign_rank"
"msrE",3003109,0.000452893049480381,23.3924199790201,"AKL16","BER16","AKL16_vs_BER16",0.144925775833722,1
"vanB",3000013,0.000452893049480377,26.4276300828092,"AKL16","BER16","AKL16_vs_BER16",0.144925775833722,2
"Staphylococcus aureus rpoC conferring resistance to daptomycin",3003291,0.000255187722208584,17.5545144074477,"AKL16","BER16","AKL16_vs_BER16",0.144925775833722,3
"msrA",3000251,0.000255187722208585,16.7003355678221,"AKL16","BER16","AKL16_vs_BER16",0.144925775833722,4
"ErmC",3000250,0.000388609250073987,20.0974251276125,"AKL16","BER16","AKL16_vs_BER16",0.144925775833722,5
"ErmT",3000595,0.00231840257668484,17.8278962482057,"AKL16","BOG16","AKL16_vs_BOG16",0.209217754369363,1
"APH(4)-Ia",3002655,0.0041532060420717,21.9561294370747,"AKL16","BOG16","AKL16_vs_BOG16",0.209217754369363,2
"mdsA",3000789,0.00415320604207171,22.2143921119153,"AKL16","BOG16","AKL16_vs_BOG16",0.209217754369363,3
"vgbC",3003990,0.00415320604207171,21.7016756311008,"AKL16","BOG16","AKL16_vs_BOG16",0.209217754369363,4
"Helicobacter pylori gyrB conferring resistance to fluoroquinolones",3007053,0.00231840257668485,17.6065218228559,"AKL16","BOG16","AKL16_vs_BOG16",0.209217754369363,5
"gadX",3000508,0.0204501981653367,23.4384426843021,"AKL16","DEN16","AKL16_vs_DEN16",0.631399868354775,1
"mdtG",3001329,0.0175711977892426,22.4379925557882,"AKL16","DEN16","AKL16_vs_DEN16",0.631399868354775,2
"vanS gene in vanG cluster",3002937,0.0175711977892426,26.7366561960114,"AKL16","DEN16","AKL16_vs_DEN16",0.631399868354775,3
"MdtK",3001327,0.00481947597752794,15.4380242292234,"AKL16","DEN16","AKL16_vs_DEN16",0.631399868354775,4
"vanS gene in vanA cluster",3002931,0.00481947597752792,16.9103093168634,"AKL16","DEN16","AKL16_vs_DEN16",0.631399868354775,5
"vanS gene in vanF cluster",3002936,0.0280788641862054,25.5138714030836,"AKL16","DOH16","AKL16_vs_DOH16",0.585912299352153,1
"gadX",3000508,0.0280788641862052,25.1045192555989,"AKL16","DOH16","AKL16_vs_DOH16",0.585912299352153,2
"emrR",3000516,0.0280788641862054,23.3898962340107,"AKL16","DOH16","AKL16_vs_DOH16",0.585912299352153,3
"mdtG",3001329,0.0249648732327297,24.3347552647483,"AKL16","DOH16","AKL16_vs_DOH16",0.585912299352153,4
"MdtK",3001327,0.00587236293373844,18.8095644868483,"AKL16","DOH16","AKL16_vs_DOH16",0.585912299352153,5
"ErmT",3000595,0.00153950094525471,18.0130268920054,"AKL16","ILR16","AKL16_vs_ILR16",0.279945246240255,1
"tmrB",3003059,0.00588855833478647,24.1346856037588,"AKL16","ILR16","AKL16_vs_ILR16",0.279945246240255,2
"msrE",3003109,0.00405894431778028,25.9914875164695,"AKL16","ILR16","AKL16_vs_ILR16",0.279945246240255,3
"catB8",3002680,0.00588855833478642,24.1058601182922,"AKL16","ILR16","AKL16_vs_ILR16",0.279945246240255,4
"cmeA",3000783,0.00588855833478645,24.0837649120939,"AKL16","ILR16","AKL16_vs_ILR16",0.279945246240255,5
"macB",3000535,0.999999216078054,4.00000000045087,"AKL16","LIS16","AKL16_vs_LIS16",0.999999216078054,1
"RanA",3005091,0.999999216078054,4.00000000045087,"AKL16","LIS16","AKL16_vs_LIS16",0.999999216078054,2
"evgS",3000833,0.999999216078054,4.00000000045087,"AKL16","LIS16","AKL16_vs_LIS16",0.999999216078054,3
"bcrA",3002987,0.999999216078054,4.00000000045087,"AKL16","LIS16","AKL16_vs_LIS16",0.999999216078054,4
"adeL",3000620,0.999999216078054,4.00000000045087,"AKL16","LIS16","AKL16_vs_LIS16",0.999999216078054,5
"ICR-Mo",3004569,0.000216778168330025,26.6770733864271,"AKL16","NYC16","AKL16_vs_NYC16",0.0661770251139746,1
"mphE",3003741,0.000422032247392462,28.2803701599983,"AKL16","NYC16","AKL16_vs_NYC16",0.0661770251139746,2
"Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones",3003295,0.000490349588519815,32.2585644887844,"AKL16","NYC16","AKL16_vs_NYC16",0.0661770251139746,3
"sul2",3000412,0.000575765308223813,25.7365411066749,"AKL16","NYC16","AKL16_vs_NYC16",0.0661770251139746,4
"tet(W/N/W)",3004442,0.000575765308223809,25.4167391594347,"AKL16","NYC16","AKL16_vs_NYC16",0.0661770251139746,5
"Helicobacter pylori rdxA mutation conferring resistance to metronidazole",3007055,0.00104898708926273,25.1001051180892,"AKL16","SAC16","AKL16_vs_SAC16",0.157697725752498,1
"MecC-type methicillin resistance repressor MecI",3005046,0.000827504122787991,20.4748422399672,"AKL16","SAC16","AKL16_vs_SAC16",0.157697725752498,2
"msrE",3003109,0.000851555300919591,30.4415272055294,"AKL16","SAC16","AKL16_vs_SAC16",0.157697725752498,3
"Mycobacterium tuberculosis gidB mutation conferring resistance to streptomycin",3003470,0.000803439259844763,21.3402971051676,"AKL16","SAC16","AKL16_vs_SAC16",0.157697725752498,4
"Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones",3003295,0.000384706580596957,24.7909287018371,"AKL16","SAC16","AKL16_vs_SAC16",0.157697725752498,5
"ICR-Mo",3004569,0.000390264510009447,22.126344331645,"AKL16","TOK16","AKL16_vs_TOK16",0.0959979606361277,1
"msrE",3003109,0.000390264510009447,22.4613772139415,"AKL16","TOK16","AKL16_vs_TOK16",0.0959979606361277,2
"APH(6)-Id",3002660,0.000851660573308039,31.7277828846858,"AKL16","TOK16","AKL16_vs_TOK16",0.0959979606361277,3
"tet(J)",3000177,0.000851660573308043,30.3850085854962,"AKL16","TOK16","AKL16_vs_TOK16",0.0959979606361277,4
"sul2",3000412,0.000887419973254035,25.0171085938718,"AKL16","TOK16","AKL16_vs_TOK16",0.0959979606361277,5
"Mycobacterium tuberculosis gyrA conferring resistance to fluoroquinolones",3003295,0.000788185961207217,22.1973059996673,"AKL16","BAL17","AKL16_vs_BAL17",0.268318608347242,1
"tet(J)",3000177,0.00102961860455579,26.8056371714353,"AKL16","BAL17","AKL16_vs_BAL17",0.268318608347242,2
"vanK gene in vanI cluster",3003727,0.000788185961207225,22.6006120272919,"AKL16","BAL17","AKL16_vs_BAL17",0.268318608347242,3
