"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
46124,0,"nb",9268.69871174544,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Family",1,"46124AB_Family"
1028416,0,"nb",40748.3024365008,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Genus",2,"1028416AB_Genus"
2936682,0,"nb",22745.4189947248,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Genus",3,"2936682AB_Genus"
147709,0,"nb",5533.31948547065,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Genus",4,"147709AB_Genus"
2829187,1.06169738246629e-156,"nb",1558.71140661091,"AKL16","BER16","AKL16_vs_BER16",5.25009355629579e-154,"AB_Genus",5,"2829187AB_Genus"
28090,0,"nb",97664.5370184183,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Order",1,"28090AB_Order"
28090,0,"nb",97323.2206959724,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Family",2,"28090AB_Family"
46124,0,"nb",8393.67928319797,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Family",3,"46124AB_Family"
1028416,0,"nb",50617.7787412405,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Genus",4,"1028416AB_Genus"
28090,0,"nb",67199.6816151142,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Genus",5,"28090AB_Genus"
28090,0,"nb",58509.7431294322,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Order",1,"28090AB_Order"
28090,0,"nb",58324.8578966856,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Family",2,"28090AB_Family"
51665,0,"nb",18767.616096817,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Genus",3,"51665AB_Genus"
1028416,2.49691929988152e-195,"nb",33037.1344478726,"AKL16","DEN16","AKL16_vs_DEN16",2.05121920485267e-192,"AB_Genus",4,"1028416AB_Genus"
2861282,8.59693526278081e-106,"nb",3536.1667111218,"AKL16","DEN16","AKL16_vs_DEN16",4.70825487891629e-103,"AB_Genus",5,"2861282AB_Genus"
1028416,0,"nb",33480.0740126669,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Genus",1,"1028416AB_Genus"
76853,2.21718885559267e-138,"nb",17944.0287571698,"AKL16","DOH16","AKL16_vs_DOH16",1.72053855193992e-135,"AB_Genus",2,"76853AB_Genus"
46124,1.11578285162291e-93,"nb",5506.65101133287,"AKL16","DOH16","AKL16_vs_DOH16",4.89828671862458e-91,"AB_Family",3,"46124AB_Family"
147709,9.72371674011133e-62,"nb",5480.45779973269,"AKL16","DOH16","AKL16_vs_DOH16",5.03040279355093e-59,"AB_Genus",4,"147709AB_Genus"
1270,6.66141229782201e-41,"nb",315.417859966633,"AKL16","DOH16","AKL16_vs_DOH16",1.46217999937193e-38,"AB_Family",5,"1270AB_Family"
2861282,0,"nb",46318.4925475717,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Family",1,"2861282AB_Family"
46124,0,"nb",5580.10111749172,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Family",2,"46124AB_Family"
1028416,0,"nb",33055.7494308352,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Genus",3,"1028416AB_Genus"
28090,0,"nb",90185.2466825247,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Genus",4,"28090AB_Genus"
2861282,0,"nb",38976.57735008,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Genus",5,"2861282AB_Genus"
29370,0,"nb",31289.0513148606,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Class",1,"29370AB_Class"
28090,0,"nb",74012.6063504219,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Order",2,"28090AB_Order"
29370,0,"nb",31216.2249734104,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Order",3,"29370AB_Order"
28090,0,"nb",73950.5315334797,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Family",4,"28090AB_Family"
2861282,0,"nb",22037.5762686133,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Family",5,"2861282AB_Family"
28090,0,"nb",616071.987503052,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Order",1,"28090AB_Order"
28090,0,"nb",609942.455879688,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Family",2,"28090AB_Family"
1028416,0,"nb",53668.2940143347,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Genus",3,"1028416AB_Genus"
1275,2.00210565817124e-53,"nb",536.795845836267,"AKL16","NYC16","AKL16_vs_NYC16",1.97908144310227e-50,"AB_Genus",4,"1275AB_Genus"
1270,1.50909006415537e-47,"nb",627.065617538945,"AKL16","NYC16","AKL16_vs_NYC16",4.01417957065329e-45,"AB_Family",5,"1270AB_Family"
1028416,0,"nb",33110.8635334373,"AKL16","SAC16","AKL16_vs_SAC16",0,"AB_Genus",1,"1028416AB_Genus"
2861282,8.917158746804e-142,"nb",7527.6282338053,"AKL16","SAC16","AKL16_vs_SAC16",8.05219434836401e-139,"AB_Genus",2,"2861282AB_Genus"
147709,2.80097536438316e-97,"nb",5484.96682509407,"AKL16","SAC16","AKL16_vs_SAC16",1.68618716935866e-94,"AB_Genus",3,"147709AB_Genus"
37921,1.71150164699063e-41,"nb",323.575833412712,"AKL16","SAC16","AKL16_vs_SAC16",7.72742993616271e-39,"AB_Genus",4,"37921AB_Genus"
1270,3.24263781593363e-39,"nb",386.640704080867,"AKL16","SAC16","AKL16_vs_SAC16",1.60186308107121e-36,"AB_Family",5,"1270AB_Family"
28090,1.12939225603677e-76,"nb",72992.8699896336,"AKL16","TOK16","AKL16_vs_TOK16",2.64277787912604e-74,"AB_Order",1,"28090AB_Order"
28090,7.15081665874122e-71,"nb",72735.3881292343,"AKL16","TOK16","AKL16_vs_TOK16",3.84713936240278e-68,"AB_Family",2,"28090AB_Family"
34062,2.38470879826581e-55,"nb",474.161765452755,"AKL16","TOK16","AKL16_vs_TOK16",4.75749405254028e-52,"AB_Genus",3,"34062AB_Genus"
1747,6.44951877691572e-53,"nb",447.277880514764,"AKL16","TOK16","AKL16_vs_TOK16",6.43339497997343e-50,"AB_Genus",4,"1747AB_Genus"
1270,1.79055856000795e-45,"nb",480.910433093262,"AKL16","TOK16","AKL16_vs_TOK16",1.19072144240528e-42,"AB_Genus",5,"1270AB_Genus"
1028416,0,"nb",33298.697360903,"AKL16","BAL17","AKL16_vs_BAL17",0,"AB_Genus",1,"1028416AB_Genus"
28454,2.26777614787485e-229,"nb",4040.84165453166,"AKL16","BAL17","AKL16_vs_BAL17",2.10903181752361e-227,"AB_Class",2,"28454AB_Class"
28454,2.25597509051676e-229,"nb",4040.59438463673,"AKL16","BAL17","AKL16_vs_BAL17",4.55706968284386e-227,"AB_Order",3,"28454AB_Order"
2754694,5.07338300380965e-228,"nb",5236.03238659352,"AKL16","BAL17","AKL16_vs_BAL17",4.18300428664105e-225,"AB_Genus",4,"2754694AB_Genus"
28454,1.99702745824819e-227,"nb",4037.32232256979,"AKL16","BAL17","AKL16_vs_BAL17",9.10644520961172e-225,"AB_Family",5,"28454AB_Family"
1028416,2.59716177640642e-121,"nb",33025.273927927,"AKL16","DEN17","AKL16_vs_DEN17",4.22558221021325e-118,"AB_Genus",1,"1028416AB_Genus"
1747,8.86675045479047e-73,"nb",373.156691738985,"AKL16","DEN17","AKL16_vs_DEN17",7.21310149497204e-70,"AB_Genus",2,"1747AB_Genus"
288000,3.24493715898651e-36,"nb",470.747623021368,"AKL16","DEN17","AKL16_vs_DEN17",1.75983758589035e-33,"AB_Genus",3,"288000AB_Genus"
288000,2.49848469326209e-34,"nb",474.362666221973,"AKL16","DEN17","AKL16_vs_DEN17",5.67156025370494e-32,"AB_Family",4,"288000AB_Family"
1270,1.4866456194157e-34,"nb",424.520333944108,"AKL16","DEN17","AKL16_vs_DEN17",5.67156025370494e-32,"AB_Family",5,"1270AB_Family"
1028416,0,"nb",33900.4925847948,"AKL16","DOH17","AKL16_vs_DOH17",0,"AB_Genus",1,"1028416AB_Genus"
2861282,0,"nb",3881.9344226867,"AKL16","DOH17","AKL16_vs_DOH17",0,"AB_Genus",2,"2861282AB_Genus"
237,8.15254945187565e-187,"nb",2247.35524518415,"AKL16","DOH17","AKL16_vs_DOH17",4.6415181546012e-184,"AB_Genus",3,"237AB_Genus"
28454,8.7045689963362e-121,"nb",1678.03810536116,"AKL16","DOH17","AKL16_vs_DOH17",3.71685096143556e-118,"AB_Genus",4,"28454AB_Genus"
1747,9.56073967571154e-38,"nb",265.238006377356,"AKL16","DOH17","AKL16_vs_DOH17",3.26594867322306e-35,"AB_Genus",5,"1747AB_Genus"
28090,0,"nb",84199.8535928726,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Order",1,"28090AB_Order"
28090,0,"nb",83944.4142537117,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Family",2,"28090AB_Family"
46124,0,"nb",5583.00222093612,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Family",3,"46124AB_Family"
1028416,0,"nb",33118.4528063834,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Genus",4,"1028416AB_Genus"
2936682,7.24693557008414e-184,"nb",8776.41962209344,"AKL16","ILR17","AKL16_vs_ILR17",6.59833483656161e-181,"AB_Genus",5,"2936682AB_Genus"
2596915,0,"nb",10875.9177063853,"AKL16","MIN17","AKL16_vs_MIN17",0,"AB_Phylum",1,"2596915AB_Phylum"
29370,0,"nb",7881.39702124894,"AKL16","MIN17","AKL16_vs_MIN17",0,"AB_Class",2,"29370AB_Class"
28090,0,"nb",37184.5057006776,"AKL16","MIN17","AKL16_vs_MIN17",0,"AB_Order",3,"28090AB_Order"
29370,0,"nb",7913.16090358049,"AKL16","MIN17","AKL16_vs_MIN17",0,"AB_Order",4,"29370AB_Order"
28090,0,"nb",37072.4241780043,"AKL16","MIN17","AKL16_vs_MIN17",0,"AB_Family",5,"28090AB_Family"
1028416,0,"nb",48835.3064720184,"AKL16","NYC17","AKL16_vs_NYC17",0,"AB_Genus",1,"1028416AB_Genus"
29370,1.15554103280008e-117,"nb",2764.10206061974,"AKL16","NYC17","AKL16_vs_NYC17",1.08331971825007e-114,"AB_Genus",2,"29370AB_Genus"
1747,5.53395922757758e-49,"nb",383.454645872546,"AKL16","NYC17","AKL16_vs_NYC17",3.45872451723599e-46,"AB_Genus",3,"1747AB_Genus"
1270,3.11843727665808e-41,"nb",481.485800470174,"AKL16","NYC17","AKL16_vs_NYC17",1.59040301109562e-38,"AB_Family",4,"1270AB_Family"
1275,6.54701063403545e-35,"nb",388.198658096823,"AKL16","NYC17","AKL16_vs_NYC17",3.06891123470412e-32,"AB_Genus",5,"1275AB_Genus"
28090,0,"nb",38391.3471768498,"AKL16","SAN17","AKL16_vs_SAN17",0,"AB_Order",1,"28090AB_Order"
28090,0,"nb",38282.5893910229,"AKL16","SAN17","AKL16_vs_SAN17",0,"AB_Family",2,"28090AB_Family"
34073,5.59701989096357e-35,"nb",268.852608241626,"AKL16","SAN17","AKL16_vs_SAN17",9.39739639692783e-32,"AB_Genus",3,"34073AB_Genus"
1747,5.29871508163316e-25,"nb",206.185168101657,"AKL16","SAN17","AKL16_vs_SAN17",4.44827131103104e-22,"AB_Genus",4,"1747AB_Genus"
34073,3.89942052420976e-24,"nb",323.607326460816,"AKL16","SAN17","AKL16_vs_SAN17",9.08564982140875e-22,"AB_Family",5,"34073AB_Family"
2861282,4.73565256531878e-308,"nb",3728.51709220558,"AKL16","SAO17","AKL16_vs_SAO17",8.02693109821534e-305,"AB_Genus",1,"2861282AB_Genus"
1019,7.57260714270113e-168,"nb",2792.72851138562,"AKL16","SAO17","AKL16_vs_SAO17",3.52126232135602e-165,"AB_Family",2,"1019AB_Family"
2861282,7.92992926466182e-162,"nb",3998.58525419235,"AKL16","SAO17","AKL16_vs_SAO17",1.84370855403387e-159,"AB_Family",3,"2861282AB_Family"
