"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
1747,0,"p",85918.9547117913,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Phylum",1,"1747AB_Phylum"
288000,0,"p",51395.0391884625,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Phylum",2,"288000AB_Phylum"
1282,0,"p",72625.2755709149,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",67828.2205241908,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Class",4,"28090AB_Class"
1747,0,"p",85635.8082493679,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Class",5,"1747AB_Class"
1747,0,"p",59514.5943359006,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Phylum",1,"1747AB_Phylum"
288000,0,"p",51672.8407967414,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Phylum",2,"288000AB_Phylum"
1282,0,"p",141263.550297824,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",132068.77581182,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Class",4,"28090AB_Class"
1747,0,"p",58954.6135908173,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Class",5,"1747AB_Class"
1747,0,"p",55523.5548011449,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Phylum",1,"1747AB_Phylum"
288000,0,"p",42565.1077492117,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Phylum",2,"288000AB_Phylum"
2596915,0,"p",14464.7814377638,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Phylum",3,"2596915AB_Phylum"
1747,0,"p",55579.0721386966,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Class",4,"1747AB_Class"
288000,0,"p",39829.8820116061,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Class",5,"288000AB_Class"
1747,0,"p",50696.0856363752,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Phylum",1,"1747AB_Phylum"
288000,0,"p",35499.5829371616,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Phylum",2,"288000AB_Phylum"
2596915,0,"p",10814.3164804069,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Phylum",3,"2596915AB_Phylum"
1282,0,"p",53224.8716122229,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Phylum",4,"1282AB_Phylum"
28090,0,"p",56551.8276537982,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Class",5,"28090AB_Class"
1747,0,"p",63579.7086242773,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Phylum",1,"1747AB_Phylum"
2596915,0,"p",21643.190730418,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Phylum",2,"2596915AB_Phylum"
1282,0,"p",163831.832626277,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Phylum",3,"1282AB_Phylum"
1747,0,"p",63728.6761093328,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Class",4,"1747AB_Class"
288000,0,"p",82580.7654665275,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Class",5,"288000AB_Class"
1747,0,"p",112034.779709973,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Phylum",1,"1747AB_Phylum"
2596915,0,"p",17039.2799100303,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Phylum",2,"2596915AB_Phylum"
28090,0,"p",74788.1703615697,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Class",3,"28090AB_Class"
1747,0,"p",112251.971550796,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Class",4,"1747AB_Class"
288000,0,"p",52612.4889551234,"AKL16","LIS16","AKL16_vs_LIS16",0,"AB_Class",5,"288000AB_Class"
1747,0,"p",379533.310589758,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Phylum",1,"1747AB_Phylum"
2596915,0,"p",46374.907514896,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Phylum",2,"2596915AB_Phylum"
1282,0,"p",206151.072825948,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",442789.646056499,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Class",4,"28090AB_Class"
1747,0,"p",378819.255114291,"AKL16","NYC16","AKL16_vs_NYC16",0,"AB_Class",5,"1747AB_Class"
1747,0,"p",55874.3867519534,"AKL16","SAC16","AKL16_vs_SAC16",0,"AB_Phylum",1,"1747AB_Phylum"
288000,0,"p",39073.6590455526,"AKL16","SAC16","AKL16_vs_SAC16",0,"AB_Phylum",2,"288000AB_Phylum"
1282,0,"p",40870.0711400973,"AKL16","SAC16","AKL16_vs_SAC16",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",68157.5896835824,"AKL16","SAC16","AKL16_vs_SAC16",0,"AB_Class",4,"28090AB_Class"
1747,0,"p",55623.8862923677,"AKL16","SAC16","AKL16_vs_SAC16",0,"AB_Class",5,"1747AB_Class"
1747,0,"p",101853.566276411,"AKL16","TOK16","AKL16_vs_TOK16",0,"AB_Phylum",1,"1747AB_Phylum"
288000,0,"p",71873.2195391748,"AKL16","TOK16","AKL16_vs_TOK16",0,"AB_Phylum",2,"288000AB_Phylum"
2596915,0,"p",70555.5157710299,"AKL16","TOK16","AKL16_vs_TOK16",0,"AB_Phylum",3,"2596915AB_Phylum"
119532,0,"p",94476.6799947556,"AKL16","TOK16","AKL16_vs_TOK16",0,"AB_Phylum",4,"119532AB_Phylum"
1282,0,"p",68487.7415400155,"AKL16","TOK16","AKL16_vs_TOK16",0,"AB_Phylum",5,"1282AB_Phylum"
1747,0,"p",56260.9785764298,"AKL16","BAL17","AKL16_vs_BAL17",0,"AB_Phylum",1,"1747AB_Phylum"
2596915,0,"p",13561.0552372841,"AKL16","BAL17","AKL16_vs_BAL17",0,"AB_Phylum",2,"2596915AB_Phylum"
1282,0,"p",40997.4717689482,"AKL16","BAL17","AKL16_vs_BAL17",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",79489.8535892002,"AKL16","BAL17","AKL16_vs_BAL17",0,"AB_Class",4,"28090AB_Class"
1747,0,"p",56271.1704859176,"AKL16","BAL17","AKL16_vs_BAL17",0,"AB_Class",5,"1747AB_Class"
1747,0,"p",55938.9358301458,"AKL16","DEN17","AKL16_vs_DEN17",0,"AB_Phylum",1,"1747AB_Phylum"
2596915,0,"p",14014.8774206148,"AKL16","DEN17","AKL16_vs_DEN17",0,"AB_Phylum",2,"2596915AB_Phylum"
1282,0,"p",35683.6551377536,"AKL16","DEN17","AKL16_vs_DEN17",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",90536.6326497273,"AKL16","DEN17","AKL16_vs_DEN17",0,"AB_Class",4,"28090AB_Class"
1747,0,"p",55330.392577678,"AKL16","DEN17","AKL16_vs_DEN17",0,"AB_Class",5,"1747AB_Class"
1747,0,"p",72073.5286099618,"AKL16","DOH17","AKL16_vs_DOH17",0,"AB_Phylum",1,"1747AB_Phylum"
2596915,0,"p",18195.1578556308,"AKL16","DOH17","AKL16_vs_DOH17",0,"AB_Phylum",2,"2596915AB_Phylum"
1282,0,"p",42319.3791120337,"AKL16","DOH17","AKL16_vs_DOH17",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",95299.1348733761,"AKL16","DOH17","AKL16_vs_DOH17",0,"AB_Class",4,"28090AB_Class"
1747,0,"p",72329.4515200365,"AKL16","DOH17","AKL16_vs_DOH17",0,"AB_Class",5,"1747AB_Class"
1747,0,"p",73236.5445522098,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Phylum",1,"1747AB_Phylum"
2596915,0,"p",19837.3083227185,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Phylum",2,"2596915AB_Phylum"
1282,0,"p",46482.09434129,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Phylum",3,"1282AB_Phylum"
28090,0,"p",164075.422851333,"AKL16","ILR17","AKL16_vs_ILR17",0,"AB_Class",4,"28090AB_Class"
