"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
543,0,"nb",12641134.71138,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Order",1,"543AB_Order"
2962858,0,"nb",180232.456508636,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Genus",2,"2962858AB_Genus"
2939494,0,"nb",2885.62245325744,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Genus",3,"2939494AB_Genus"
2734232,1.77362462131946e-168,"nb",784.215305797756,"AKL16","BER16","AKL16_vs_BER16",2.58949194712641e-165,"Viruses_Genus",4,"2734232Viruses_Genus"
1747,1.26759437198174e-75,"nb",482.983616944601,"AKL16","BER16","AKL16_vs_BER16",8.52668480886386e-73,"AB_Genus",5,"1747AB_Genus"
2734232,8.09684269642936e-166,"nb",792.396291429177,"AKL16","BOG16","AKL16_vs_BOG16",1.19347461345369e-162,"Viruses_Genus",1,"2734232Viruses_Genus"
2946820,1.19689983079456e-138,"nb",9989.48271411657,"AKL16","BOG16","AKL16_vs_BOG16",8.82115175295592e-136,"Viruses_Genus",2,"2946820Viruses_Genus"
2742204,1.66475166703472e-104,"nb",993.824756041169,"AKL16","BOG16","AKL16_vs_BOG16",3.36113361574311e-101,"AB_Genus",3,"2742204AB_Genus"
2948935,3.98534107131444e-80,"nb",798.348514784127,"AKL16","BOG16","AKL16_vs_BOG16",1.95813091303916e-77,"Viruses_Genus",4,"2948935Viruses_Genus"
446807,3.98555479721102e-74,"nb",300.8221175652,"AKL16","BOG16","AKL16_vs_BOG16",1.46867694277226e-71,"Viruses_Genus",5,"446807Viruses_Genus"
489910,1.36714256465907e-65,"nb",189.528550590608,"AKL16","DEN16","AKL16_vs_DEN16",2.74522226983541e-62,"AB_Genus",1,"489910AB_Genus"
1817405,2.29120755642002e-51,"nb",144.171569534891,"AKL16","DEN16","AKL16_vs_DEN16",2.3003723866457e-48,"AB_Genus",2,"1817405AB_Genus"
22,3.033372794161e-50,"nb",445.741477501302,"AKL16","DEN16","AKL16_vs_DEN16",7.12842606627836e-48,"AB_Order",3,"22AB_Order"
1747,2.7076032223454e-49,"nb",461.795817655267,"AKL16","DEN16","AKL16_vs_DEN16",1.81228909015652e-46,"AB_Genus",4,"1747AB_Genus"
