"OTU","pvalues","model","score","loc1","loc2","locs","adj_pvalues","hlevel","sign_rank","OtuClass"
225148,0,"zip",9292.5566078075,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Phylum",1,"225148AB_Phylum"
2984951,0,"zip",6114.47799588072,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Phylum",2,"2984951AB_Phylum"
42253,0,"zip",5447.68134327194,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Phylum",3,"42253AB_Phylum"
2899133,0,"zip",10207.4580839832,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Phylum",4,"2899133AB_Phylum"
2807512,0,"zip",15893.9445259468,"AKL16","BER16","AKL16_vs_BER16",0,"AB_Class",5,"2807512AB_Class"
2057,0,"zip",2212.36654384081,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Phylum",1,"2057AB_Phylum"
42253,0,"zip",1767.77217823494,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Phylum",2,"42253AB_Phylum"
2899133,0,"zip",6615.04766359916,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Phylum",3,"2899133AB_Phylum"
3004094,0,"zip",2150.9874326828,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Class",4,"3004094AB_Class"
2057,0,"zip",2212.76787993697,"AKL16","BOG16","AKL16_vs_BOG16",0,"AB_Class",5,"2057AB_Class"
225148,0,"zip",1805.01158814747,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Phylum",1,"225148AB_Phylum"
2984951,0,"zip",6080.8587660672,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Phylum",2,"2984951AB_Phylum"
197162,0,"zip",1168.71892904325,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Phylum",3,"197162AB_Phylum"
2807512,0,"zip",4386.30107276278,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Class",4,"2807512AB_Class"
225148,0,"zip",1807.88593554459,"AKL16","DEN16","AKL16_vs_DEN16",0,"AB_Class",5,"225148AB_Class"
297,0,"zip",3008.92887319344,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Class",1,"297AB_Class"
2807512,0,"zip",1516.80499159553,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Class",2,"2807512AB_Class"
2173,0,"zip",1611.7110359633,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Class",3,"2173AB_Class"
297,0,"zip",3008.96475986127,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Order",4,"297AB_Order"
1891644,0,"zip",719.652374151379,"AKL16","DOH16","AKL16_vs_DOH16",0,"AB_Order",5,"1891644AB_Order"
2984951,0,"zip",39643.7995718605,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Phylum",1,"2984951AB_Phylum"
2984951,0,"zip",39646.6264859136,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Class",2,"2984951AB_Class"
673862,0,"zip",8102.44352563643,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Class",3,"673862AB_Class"
1608957,0,"zip",1838.53546211756,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Order",4,"1608957AB_Order"
673862,0,"zip",8103.08405696175,"AKL16","ILR16","AKL16_vs_ILR16",0,"AB_Order",5,"673862AB_Order"
