Sample	City	Taxon	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
BAL_Kl_2015_GCF_003334885.1	BAL	Kl	2.0	19.583333333333336	1.0	1910.118924480328	0.0	907.1643162393162	12.25	78.85104617604617	64.86923076923077	15.555555555555555	7.0	34.03333333333333	8.25
BAL_Kl_2015_GCF_003334895.1	BAL	Kl	2.0	19.166666666666664	1.0	1906.204891129014	1.3333333333333333	909.1550421800422	12.5	78.45068542568542	66.76346153846154	16.5	6.857142857142858	35.5	8.3
BAL_Kl_2015_GCF_003334925.1	BAL	Kl	2.0	19.083333333333336	1.0	1931.2986703517406	0.0	891.428601953602	12.5	78.3498556998557	62.792307692307695	15.11111111111111	7.0	34.6	8.25
BAL_Kl_2015_GCF_003334945.1	BAL	Kl	2.0	18.666666666666664	1.0	1885.2112195147283	1.3333333333333333	863.3583388833389	13.0	74.88401875901876	62.63846153846154	15.11111111111111	6.714285714285714	34.83333333333333	8.05
BAL_Kl_2015_GCF_003334955.1	BAL	Kl	2.0	18.666666666666664	1.0	1822.802264889107	1.3333333333333333	870.1599261849262	12.25	74.71735209235209	64.63846153846154	15.555555555555555	6.714285714285714	34.83333333333333	8.05
BAL_Kl_2015_GCF_003334965.1	BAL	Kl	2.0	19.333333333333336	1.0	1854.3690395536887	1.3333333333333333	876.0361166611167	12.25	75.63401875901876	65.03846153846153	15.555555555555555	7.857142857142857	34.83333333333333	8.05
BAL_Kl_2015_GCF_003335005.1	BAL	Kl	2.0	19.25	1.0	1910.3047269494639	0.0	906.7714590964591	12.25	77.76652236652237	64.79230769230769	15.555555555555555	7.0	33.93333333333333	8.25
BAL_Kl_2015_GCF_003335025.1	BAL	Kl	2.0	19.25	1.0	1916.4963936161305	0.0	909.7714590964591	12.25	77.76652236652237	64.79230769230769	15.555555555555555	7.0	33.93333333333333	8.25
BAL_Kl_2015_GCF_003335065.1	BAL	Kl	2.0	19.583333333333336	1.0	1867.304753839403	1.3333333333333333	878.9527833277833	12.25	76.05068542568543	64.63846153846154	16.055555555555557	6.714285714285714	34.83333333333333	8.05
BAL_Kl_2015_GCF_003345685.1	BAL	Kl	2.0	19.25	1.0	1927.0523459970827	0.0	905.032548007548	12.25	75.18874458874458	64.79230769230769	15.555555555555555	7.0	33.93333333333333	8.25
