Sample	City	2-Aminoethylphosphonate-Degradation	Activation-Inactivation-Interconversion	All-Trans-Farnesyl-PP-Biosynthesis	Biosynthesis	Citrulline-Biosynthesis	Degradation	Detoxification	Energy-Metabolism	Fermentation	Macromolecule-Modification	Metabolic-Clusters	Photosynthesis	Respiration	Super-Pathways
CAMDA23_MetaSUB_gCSD16_AKL_1	AKL	12.0	99.58333333333334	4.5	9271.744456420773	4.666666666666667	3300.0373737373734	76.5	348.02027417027415	240.76818181818186	0.0	54.27777777777778	18.904761904761905	116.44444444444443	34.875
CAMDA23_MetaSUB_gCSD16_AKL_10	AKL	14.666666666666666	150.33333333333331	8.0	13833.472504117664	7.0	5682.416919191922	107.25	526.3768037518038	415.33006895065716	0.0	104.0	37.90833333333333	205.63333333333333	57.75
CAMDA23_MetaSUB_gCSD16_AKL_11	AKL	7.0	79.33333333333334	4.0	6992.035233479967	3.2	3173.0285714285733	40.5	247.56212121212118	208.38333333333335	0.0	42.77777777777778	30.285714285714285	126.46666666666667	40.25
CAMDA23_MetaSUB_gCSD16_AKL_12	AKL	11.0	85.91666666666666	1.5	7208.377811369917	6.333333333333333	4294.647077922079	33.75	336.8354617604618	295.69718614718613	0.0	49.22222222222222	19.916666666666668	179.93333333333334	57.138888888888886
CAMDA23_MetaSUB_gCSD16_AKL_13	AKL	8.0	39.41666666666667	3.5	3863.810642433125	1.75	1675.8174297924304	15.0	130.10833333333332	122.11255411255411	0.0	25.555555555555557	14.085714285714285	58.666666666666664	15.625
CAMDA23_MetaSUB_gCSD16_AKL_14	AKL	12.333333333333332	133.5	7.0	13722.535066640208	6.166666666666667	5680.727236652234	130.5	514.8667388167388	378.1907670760612	0.0	95.11111111111111	40.29166666666667	210.76666666666668	62.97222222222222
CAMDA23_MetaSUB_gCSD16_AKL_2	AKL	5.0	19.416666666666664	1.0	2177.9373572117925	1.75	814.3923382173382	11.0	66.72579365079365	49.613461538461536	0.0	15.88888888888889	6.8	30.476190476190474	7.5
CAMDA23_MetaSUB_gCSD16_AKL_3	AKL	8.5	91.16666666666666	5.5	9253.440248269504	4.0	3733.417568542569	73.5	326.99552669552673	248.93095238095236	0.0	59.22222222222222	25.404761904761905	132.23333333333335	39.375
CAMDA23_MetaSUB_gCSD16_AKL_4	AKL	9.833333333333332	107.33333333333334	6.0	11377.259798242698	4.428571428571429	4581.393956043958	88.0	400.85995670995675	315.7138278388278	0.0	78.5	37.67857142857143	176.63333333333333	56.31111111111111
CAMDA23_MetaSUB_gCSD16_AKL_5	AKL	6.5	53.33333333333333	3.5	4588.8923985210085	2.1666666666666665	1929.440046065047	37.5	164.18867243867248	123.9452380952381	0.0	33.83333333333333	10.607142857142858	65.2	16.875
